rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,1,False,9525,1,False,5300,578,False,90,2015,2024
27-05-2024,2,False,8770,1,False,4500,583,False,90,2015,2024
20-05-2024,2,False,8770,1,False,4500,579,False,90,2015,2024
06-05-2024,2,False,8860,1,False,4500,577,True,90,2015,2024
22-04-2024,2,False,8660,1,False,4300,578,False,90,2015,2024
15-04-2024,2,False,8750,1,False,4300,582,False,90,2015,2024
08-04-2024,2,False,8710,1,False,3900,342,False,180,2015,2024
01-04-2024,2,False,8710,1,False,3900,342,False,180,2015,2024
18-03-2024,3,False,8310,1,False,2900,342,True,180,2015,2024
04-03-2024,3,False,8270,1,False,2500,577,False,90,2015,2024
26-02-2024,3,False,8270,1,False,2500,574,False,90,2015,2024
19-02-2024,3,False,8270,1,False,2500,579,False,90,2015,2024
12-02-2024,4,False,8070,1,False,2000,586,False,90,2015,2024
05-02-2024,4,False,8310,1,False,2000,584,False,90,2015,2024
29-01-2024,4,False,8310,1,False,2000,591,False,90,2015,2024
15-01-2024,4,False,6490,0,False,0,584,False,90,2015,2024
08-01-2024,4,False,6490,0,False,0,584,False,90,2015,2024
01-01-2024,4,False,6490,0,False,0,495,False,110,2015,2024
25-12-2023,4,False,6490,0,False,0,495,False,110,2015,2024
18-12-2023,4,False,6490,0,False,0,496,False,110,2015,2024
11-12-2023,4,False,6490,0,False,0,497,False,110,2015,2024
04-12-2023,4,False,6490,0,False,0,496,False,110,2015,2024
27-11-2023,4,False,6490,0,False,0,494,False,110,2015,2024
20-11-2023,4,False,6490,0,False,0,500,False,110,2015,2024
13-11-2023,4,False,5490,4,False,5490,497,False,110,2015,2024
06-11-2023,4,False,5490,4,False,5490,502,False,110,2015,2024
30-10-2023,4,False,5410,4,False,5400,497,False,110,2015,2024
23-10-2023,4,False,5000,4,False,4945,505,False,110,2015,2024
16-10-2023,4,False,5000,4,False,4945,499,False,110,2015,2024
02-10-2023,4,False,4910,4,False,4855,504,False,110,2015,2024
25-09-2023,7,False,4465,4,False,4365,500,False,110,2015,2024
18-09-2023,7,False,4465,4,False,4365,497,False,110,2015,2024
11-09-2023,7,False,4465,4,False,4365,489,False,110,2015,2024
28-08-2023,6,False,4645,4,False,4185,489,False,110,2015,2024
21-08-2023,6,False,4645,4,False,4185,484,False,110,2015,2024
14-08-2023,6,False,4725,4,False,4175,485,False,110,2015,2024
07-08-2023,8,False,3815,6,False,3175,488,False,110,2015,2024
31-07-2023,8,False,3815,6,False,3175,487,False,110,2015,2024
24-07-2023,8,False,3975,6,False,3175,486,False,110,2015,2024
17-07-2023,8,False,3975,5,False,3175,483,False,110,2015,2024
03-07-2023,8,False,3345,7,False,2455,483,False,110,2015,2024
26-06-2023,8,False,3345,7,False,2455,476,False,110,2015,2024
19-06-2023,9,False,3300,6,False,2365,478,False,110,2015,2024
12-06-2023,9,False,3300,6,False,2320,478,False,110,2015,2024
29-05-2023,9,False,3435,5,False,2275,476,False,110,2015,2024
22-05-2023,8,False,3435,5,False,2275,472,False,110,2015,2024
08-05-2023,8,False,3525,5,False,2185,481,False,110,2015,2024
24-04-2023,8,False,3615,4,False,2185,485,False,110,2015,2024
17-04-2023,8,False,3525,3,False,2095,479,False,110,2015,2024
10-04-2023,8,False,3345,4,False,1735,1154,False,20,2015,2024
03-04-2023,9,False,3345,4,False,1735,1154,False,20,2015,2024
20-03-2023,11,False,2925,7,False,1135,1147,False,20,2015,2024
06-03-2023,13,False,2655,9,False,775,1151,False,20,2015,2024
27-02-2023,13,False,2655,7,False,775,1142,False,20,2015,2024
20-02-2023,12,False,2745,5,False,775,1144,False,20,2015,2024
13-02-2023,14,False,2445,8,False,475,1151,False,20,2015,2024
06-02-2023,17,False,2195,23,False,225,1157,False,20,2015,2024
30-01-2023,17,False,2195,23,False,225,1155,False,20,2015,2024
16-01-2023,16,False,2375,95,True,45,1158,False,20,2015,2024
09-01-2023,16,False,2375,74,True,45,1159,False,20,2015,2024
02-01-2023,15,False,2410,0,False,0,831,True,45,2015,2024
26-12-2022,15,False,2410,0,False,0,830,True,45,2015,2024
19-12-2022,15,False,2410,0,False,0,833,True,45,2015,2024
12-12-2022,15,False,2410,0,False,0,834,True,45,2015,2024
05-12-2022,15,False,2410,0,False,0,837,True,45,2015,2024
28-11-2022,15,False,2410,0,False,0,834,True,45,2015,2024
21-11-2022,15,False,2410,0,False,0,833,True,45,2015,2024
14-11-2022,15,False,2410,0,False,0,831,True,45,2015,2024
07-11-2022,15,False,2410,15,False,2410,830,True,45,2015,2024
31-10-2022,12,False,2610,13,False,2400,822,True,45,2015,2024
24-10-2022,12,False,2700,15,False,2310,823,True,45,2015,2024
17-10-2022,12,False,2950,14,False,2310,820,True,45,2015,2024
10-10-2022,12,False,3040,13,False,2310,817,True,45,2015,2024
03-10-2022,12,False,3040,12,False,2310,800,True,45,2015,2024
26-09-2022,10,False,3200,14,False,2220,797,True,45,2015,2024
19-09-2022,11,False,3200,14,False,2220,796,True,45,2015,2024
12-09-2022,11,False,3200,14,False,2220,789,True,45,2015,2024
29-08-2022,13,False,3020,15,False,1860,790,False,45,2015,2024
22-08-2022,13,False,3020,15,False,1860,785,False,45,2015,2024
15-08-2022,12,False,2975,15,False,1770,259,False,225,2015,2024
08-08-2022,12,False,2895,14,False,1680,259,False,225,2015,2024
01-08-2022,10,False,3395,13,False,1680,170,False,405,2015,2024
25-07-2022,10,False,3185,16,False,1430,125,False,655,2015,2024
18-07-2022,10,False,3185,16,False,1430,128,False,655,2015,2024
11-07-2022,10,False,3185,15,False,1430,127,False,655,2015,2024
27-06-2022,13,False,3185,15,False,1430,131,False,655,2015,2024
20-06-2022,13,False,3185,15,False,1430,132,False,655,2015,2024
13-06-2022,13,False,3185,12,False,1430,124,False,700,2015,2024
06-06-2022,12,False,3355,12,False,1430,135,False,700,2015,2024
23-05-2022,12,False,3185,13,False,1250,134,False,700,2015,2024
16-05-2022,12,False,3195,12,False,1250,136,False,700,2015,2024
09-05-2022,13,False,3060,14,False,1070,135,False,700,2015,2024
02-05-2022,12,False,3015,14,False,980,135,False,700,2015,2024
25-04-2022,12,False,3029,14,False,980,134,False,700,2015,2024
18-04-2022,12,False,3189,12,False,980,134,False,700,2015,2024
11-04-2022,12,False,3054,15,False,800,136,False,700,2015,2024
04-04-2022,12,False,3054,14,False,800,139,False,700,2015,2024
21-03-2022,11,False,3474,15,False,620,139,False,700,2015,2024
07-03-2022,10,False,3495,14,False,530,126,False,790,2015,2024
28-02-2022,11,False,3495,14,False,530,126,False,815,2015,2024
21-02-2022,10,False,3429,14,False,440,128,False,815,2015,2024
14-02-2022,10,False,3429,10,False,440,129,False,815,2015,2024
07-02-2022,10,False,3495,10,False,440,128,False,815,2015,2024
31-01-2022,10,False,3705,9,False,440,127,False,835,2015,2024
17-01-2022,10,False,3390,29,True,80,129,False,835,2015,2024
10-01-2022,11,False,3390,23,True,80,130,False,835,2015,2024
03-01-2022,10,False,3350,0,False,0,132,False,790,2015,2024
27-12-2021,10,False,3350,9,False,3015,132,False,790,2015,2024
20-12-2021,10,False,3350,9,False,3015,132,False,790,2015,2024
13-12-2021,10,False,3350,9,False,3015,132,False,790,2015,2024
06-12-2021,10,False,3350,9,False,3015,131,False,790,2015,2024
29-11-2021,10,False,3350,9,False,3015,130,False,790,2015,2024
22-11-2021,10,False,3350,9,False,3015,130,False,790,2015,2024
15-11-2021,11,False,3150,9,False,3015,129,False,790,2015,2024
08-11-2021,10,False,3395,9,False,3015,129,False,790,2015,2024
01-11-2021,9,False,3395,8,False,3015,131,False,790,2015,2024
25-10-2021,11,False,3260,10,False,2845,130,False,790,2015,2024
18-10-2021,13,False,3100,11,False,2595,134,False,790,2015,2024
04-10-2021,14,False,3100,10,False,2505,125,False,880,2015,2024
