rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,262,False,216,313,False,78,374,False,165,2017,2024
27-05-2024,192,False,316,351,False,63,375,False,165,2017,2024
20-05-2024,193,False,316,342,False,63,376,False,165,2017,2024
06-05-2024,193,False,310,331,False,57,370,False,165,2017,2024
22-04-2024,185,False,333,307,False,57,320,False,195,2017,2024
15-04-2024,168,False,363,292,False,57,320,False,195,2017,2024
08-04-2024,167,False,363,280,False,57,322,False,195,2017,2024
01-04-2024,170,False,363,266,False,57,325,False,195,2017,2024
18-03-2024,172,False,363,244,False,57,322,False,195,2017,2024
04-03-2024,174,False,363,217,False,57,321,False,195,2017,2024
26-02-2024,177,False,351,235,False,45,320,False,195,2017,2024
19-02-2024,178,False,344,250,False,38,322,False,195,2017,2024
12-02-2024,174,False,353,224,False,38,330,False,190,2017,2024
05-02-2024,186,False,328,404,False,13,327,False,190,2017,2024
29-01-2024,194,False,315,0,False,0,327,False,190,2017,2024
15-01-2024,165,False,385,0,False,0,327,False,190,2017,2024
08-01-2024,166,False,385,0,False,0,326,False,190,2017,2024
01-01-2024,164,False,385,0,False,0,325,False,190,2017,2024
25-12-2023,164,False,385,0,False,0,325,False,190,2017,2024
18-12-2023,164,False,385,0,False,0,323,False,190,2017,2024
11-12-2023,164,False,385,0,False,0,321,False,190,2017,2024
04-12-2023,165,False,385,0,False,0,321,False,190,2017,2024
27-11-2023,165,False,385,0,False,0,319,False,190,2017,2024
20-11-2023,161,False,392,0,False,0,320,False,190,2017,2024
13-11-2023,159,False,392,161,False,392,315,False,190,2017,2024
06-11-2023,159,False,392,156,False,392,320,False,190,2017,2024
30-10-2023,162,False,392,157,False,392,321,False,190,2017,2024
23-10-2023,167,False,376,160,False,376,321,False,190,2017,2024
16-10-2023,167,False,369,157,False,369,291,False,215,2017,2024
02-10-2023,154,False,398,145,False,369,276,False,233,2017,2024
25-09-2023,158,False,398,143,False,369,280,False,233,2017,2024
18-09-2023,167,False,378,149,False,349,280,False,233,2017,2024
11-09-2023,163,False,378,148,False,349,277,False,233,2017,2024
28-08-2023,164,False,377,139,False,340,294,False,213,2017,2024
21-08-2023,165,False,377,138,False,340,296,False,213,2017,2024
14-08-2023,167,False,366,139,False,329,314,False,188,2017,2024
07-08-2023,164,False,366,131,False,329,316,False,188,2017,2024
31-07-2023,170,False,350,130,False,313,314,False,188,2017,2024
24-07-2023,167,False,350,124,False,313,464,False,113,2017,2024
17-07-2023,193,False,300,144,False,263,462,False,113,2017,2024
03-07-2023,193,False,300,139,False,254,400,False,138,2017,2024
26-06-2023,192,False,300,137,False,254,391,False,138,2017,2024
19-06-2023,193,False,300,135,False,254,391,False,138,2017,2024
12-06-2023,192,False,300,131,False,254,386,False,138,2017,2024
29-05-2023,232,False,253,205,False,139,356,False,158,2017,2024
22-05-2023,228,False,253,202,False,139,351,False,158,2017,2024
08-05-2023,229,False,253,183,False,139,356,False,158,2017,2024
24-04-2023,219,False,260,199,False,116,417,False,128,2017,2024
17-04-2023,203,False,280,240,False,86,415,False,128,2017,2024
10-04-2023,207,False,280,227,False,86,417,False,128,2017,2024
03-04-2023,208,False,280,212,False,86,417,False,128,2017,2024
20-03-2023,187,False,312,180,False,86,363,False,153,2017,2024
06-03-2023,181,False,328,160,False,86,350,False,161,2017,2024
27-02-2023,178,False,328,147,False,86,313,False,186,2017,2024
20-02-2023,181,False,328,127,False,86,311,False,186,2017,2024
13-02-2023,187,False,319,129,False,77,348,False,166,2017,2024
06-02-2023,184,False,319,108,False,77,345,False,166,2017,2024
30-01-2023,184,False,319,98,False,77,347,False,166,2017,2024
16-01-2023,216,False,249,441,True,7,349,False,166,2017,2024
09-01-2023,219,False,249,416,True,7,347,False,166,2017,2024
02-01-2023,222,False,249,321,True,7,346,False,166,2017,2024
26-12-2022,222,False,249,314,True,7,347,False,166,2017,2024
19-12-2022,222,False,249,307,True,7,347,False,166,2017,2024
12-12-2022,223,False,249,301,True,7,349,False,166,2017,2024
05-12-2022,224,False,249,286,True,7,350,False,166,2017,2024
28-11-2022,221,False,253,245,True,7,350,False,166,2017,2024
21-11-2022,226,False,246,0,False,0,348,False,166,2017,2024
14-11-2022,222,False,246,0,False,0,345,False,166,2017,2024
07-11-2022,207,False,259,207,False,259,341,False,166,2017,2024
31-10-2022,204,False,259,200,False,259,344,False,166,2017,2024
24-10-2022,203,False,259,199,False,259,346,False,166,2017,2024
17-10-2022,203,False,259,194,False,259,385,False,141,2017,2024
10-10-2022,217,False,244,206,False,237,437,False,119,2017,2024
03-10-2022,217,False,237,211,False,230,474,False,103,2017,2024
26-09-2022,216,False,237,207,False,230,479,False,103,2017,2024
19-09-2022,212,False,239,195,False,230,483,False,103,2017,2024
12-09-2022,217,False,239,191,False,230,489,False,103,2017,2024
29-08-2022,222,False,231,186,False,222,477,False,103,2017,2024
22-08-2022,218,False,237,181,False,222,456,False,109,2017,2024
15-08-2022,215,False,237,178,False,222,457,False,109,2017,2024
08-08-2022,184,False,287,172,False,222,460,False,109,2017,2024
01-08-2022,183,False,294,170,False,222,452,False,109,2017,2024
25-07-2022,169,False,316,164,False,222,460,False,109,2017,2024
18-07-2022,167,False,317,159,False,222,470,False,109,2017,2024
11-07-2022,172,False,308,160,False,213,479,False,109,2017,2024
27-06-2022,178,False,308,156,False,213,563,False,84,2017,2024
20-06-2022,184,False,309,152,False,213,557,False,84,2017,2024
13-06-2022,172,False,327,146,False,213,559,False,84,2017,2024
06-06-2022,173,False,343,138,False,205,570,False,84,2017,2024
23-05-2022,202,False,283,165,False,145,632,False,67,2017,2024
16-05-2022,201,False,289,160,False,145,618,False,70,2017,2024
09-05-2022,202,False,289,155,False,145,617,False,70,2017,2024
02-05-2022,199,False,289,148,False,145,616,False,70,2017,2024
25-04-2022,213,False,260,174,False,115,617,False,70,2017,2024
18-04-2022,246,False,210,258,False,65,613,False,70,2017,2024
11-04-2022,249,False,210,253,False,48,621,False,70,2017,2024
04-04-2022,250,False,214,221,False,48,607,False,74,2017,2024
21-03-2022,271,False,183,366,True,16,702,False,53,2017,2024
07-03-2022,291,False,168,0,False,0,758,False,48,2017,2024
28-02-2022,292,False,169,0,False,0,1089,False,23,2017,2024
21-02-2022,289,False,172,0,False,0,1008,False,27,2017,2024
14-02-2022,300,False,172,0,False,0,1016,False,27,2017,2024
07-02-2022,300,False,172,0,False,0,1016,False,27,2017,2024
31-01-2022,300,False,172,0,False,0,1017,False,27,2017,2024
17-01-2022,305,False,172,0,False,0,1020,False,27,2017,2024
10-01-2022,302,False,172,0,False,0,988,False,29,2017,2024
03-01-2022,306,False,172,0,False,0,989,False,29,2017,2024
27-12-2021,306,False,172,243,False,164,990,False,29,2017,2024
20-12-2021,306,False,172,243,False,164,992,False,29,2017,2024
13-12-2021,304,False,172,242,False,164,992,False,29,2017,2024
06-12-2021,299,False,175,237,False,164,849,False,39,2017,2024
29-11-2021,299,False,172,240,False,160,823,False,43,2017,2024
22-11-2021,298,False,172,237,False,160,820,False,43,2017,2024
15-11-2021,298,False,172,236,False,160,816,False,43,2017,2024
08-11-2021,314,False,160,241,False,147,815,False,43,2017,2024
01-11-2021,314,False,160,237,False,147,818,False,43,2017,2024
25-10-2021,316,False,160,236,True,147,803,False,45,2017,2024
18-10-2021,315,False,160,233,False,147,798,False,45,2017,2024
04-10-2021,318,False,154,233,True,140,802,False,45,2017,2024
27-09-2021,323,False,154,229,True,140,811,False,45,2017,2024
20-09-2021,324,False,153,227,True,138,820,False,45,2017,2024
13-09-2021,325,False,153,224,True,138,821,False,45,2017,2024
30-08-2021,333,False,153,214,True,138,565,False,90,2017,2024
23-08-2021,335,False,148,212,True,132,584,False,84,2017,2024
16-08-2021,334,False,148,212,False,132,590,False,84,2017,2024
09-08-2021,424,False,98,275,False,82,587,False,84,2017,2024
02-08-2021,441,False,91,282,False,75,588,False,84,2017,2024
26-07-2021,519,False,69,321,False,53,586,False,84,2017,2024
19-07-2021,519,False,69,307,True,53,586,False,84,2017,2024
12-07-2021,518,False,69,295,True,53,580,False,84,2017,2024
28-06-2021,520,False,69,283,True,53,570,False,84,2017,2024
21-06-2021,517,False,70,276,True,53,571,False,84,2017,2024
14-06-2021,588,False,52,321,True,35,568,False,84,2017,2024
31-05-2021,746,False,28,455,True,11,568,False,84,2017,2024
24-05-2021,744,False,28,444,True,11,581,False,81,2017,2024
17-05-2021,797,False,23,574,True,5,593,False,78,2017,2024
10-05-2021,798,False,23,558,True,5,597,False,78,2017,2024
03-05-2021,800,False,23,553,True,5,600,False,78,2017,2024
26-04-2021,796,False,23,539,True,5,600,False,78,2017,2024
19-04-2021,796,False,23,516,True,5,600,False,78,2017,2024
12-04-2021,798,False,23,501,True,5,600,False,78,2017,2024
05-04-2021,856,False,19,661,True,1,612,False,74,2017,2024
22-03-2021,863,False,18,0,False,0,631,False,70,2017,2024
15-03-2021,857,False,18,0,False,0,626,False,70,2017,2024
08-03-2021,858,False,18,0,False,0,618,False,71,2017,2024
01-03-2021,855,False,18,0,False,0,613,False,71,2017,2024
22-02-2021,853,False,18,0,False,0,608,False,71,2017,2024
08-02-2021,849,False,18,0,False,0,599,False,71,2017,2024
01-02-2021,848,False,18,0,False,0,595,False,71,2017,2024
25-01-2021,847,False,18,0,False,0,593,False,71,2017,2024
18-01-2021,847,False,18,0,False,0,590,False,71,2017,2024
11-01-2021,843,False,18,0,False,0,588,False,71,2017,2024
04-01-2021,843,False,18,0,False,13,588,False,71,2017,2024
28-12-2020,843,False,18,0,False,0,587,False,71,2017,2024
21-12-2020,841,False,18,0,False,0,586,False,71,2017,2024
14-12-2020,840,False,18,0,False,0,585,False,71,2017,2024
07-12-2020,839,False,18,0,False,0,582,False,71,2017,2024
30-11-2020,837,False,18,0,False,0,582,False,71,2017,2024
23-11-2020,836,False,18,0,False,0,576,False,71,2017,2024
16-11-2020,855,False,17,0,False,0,575,False,71,2017,2024
09-11-2020,851,False,17,0,False,0,573,False,71,2017,2024
02-11-2020,849,False,17,0,False,0,569,False,71,2017,2024
26-10-2020,849,False,17,0,False,0,567,False,71,2017,2024
19-10-2020,849,False,17,0,False,0,563,False,71,2017,2024
12-10-2020,849,False,17,0,False,0,559,False,71,2017,2024
