rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,234,False,257,212,False,135,870,True,45,2017,2024
27-05-2024,199,False,303,192,False,135,885,True,45,2017,2024
20-05-2024,242,False,253,265,False,85,878,True,45,2017,2024
06-05-2024,247,False,237,287,False,69,876,True,45,2017,2024
22-04-2024,271,False,215,354,False,47,872,True,45,2017,2024
15-04-2024,267,False,219,333,False,47,873,True,45,2017,2024
08-04-2024,267,False,219,319,False,47,878,True,45,2017,2024
01-04-2024,277,False,203,448,False,25,880,True,45,2017,2024
18-03-2024,273,False,205,866,True,3,878,True,45,2017,2024
04-03-2024,269,False,205,812,True,3,877,True,45,2017,2024
26-02-2024,272,False,205,791,True,3,875,True,45,2017,2024
19-02-2024,277,False,205,779,True,3,877,True,45,2017,2024
12-02-2024,276,False,205,756,True,3,876,True,45,2017,2024
05-02-2024,275,False,205,742,True,3,875,True,45,2017,2024
29-01-2024,278,False,205,705,True,3,879,True,45,2017,2024
15-01-2024,227,False,273,572,True,3,881,True,45,2017,2024
08-01-2024,228,False,273,532,True,3,879,True,45,2017,2024
01-01-2024,222,False,285,0,False,0,877,True,45,2017,2024
25-12-2023,222,False,285,0,False,0,876,True,45,2017,2024
18-12-2023,222,False,285,0,False,0,875,True,45,2017,2024
11-12-2023,222,False,285,0,False,0,874,True,45,2017,2024
04-12-2023,222,False,285,0,False,0,866,True,45,2017,2024
27-11-2023,214,False,292,0,False,0,858,True,45,2017,2024
20-11-2023,215,False,292,0,False,0,854,True,45,2017,2024
13-11-2023,214,False,292,216,False,292,850,True,45,2017,2024
06-11-2023,216,False,292,210,False,292,855,True,45,2017,2024
30-10-2023,211,False,292,209,False,292,851,True,45,2017,2024
23-10-2023,207,False,299,205,False,292,851,True,45,2017,2024
16-10-2023,194,False,329,201,False,292,850,True,45,2017,2024
02-10-2023,134,False,450,191,False,292,852,True,45,2017,2024
25-09-2023,130,False,474,189,False,292,855,True,45,2017,2024
18-09-2023,123,False,498,180,False,292,652,False,75,2017,2024
11-09-2023,123,False,498,176,False,292,652,False,75,2017,2024
28-08-2023,129,False,477,207,False,232,653,False,75,2017,2024
21-08-2023,128,False,477,206,False,232,656,False,75,2017,2024
14-08-2023,132,False,477,201,False,232,652,False,75,2017,2024
07-08-2023,132,False,477,197,False,228,647,False,75,2017,2024
31-07-2023,131,False,474,196,False,223,642,False,75,2017,2024
24-07-2023,136,False,475,196,False,217,638,False,75,2017,2024
17-07-2023,134,False,473,190,False,211,627,False,75,2017,2024
03-07-2023,138,False,443,212,False,170,749,False,55,2017,2024
26-06-2023,138,False,443,206,False,170,739,False,55,2017,2024
19-06-2023,137,False,443,203,False,170,743,False,55,2017,2024
12-06-2023,135,False,446,198,False,170,745,False,55,2017,2024
29-05-2023,147,False,412,225,False,124,760,False,55,2017,2024
22-05-2023,147,False,412,219,False,124,758,False,55,2017,2024
08-05-2023,144,False,412,201,False,124,760,False,55,2017,2024
24-04-2023,144,False,412,189,False,124,760,False,55,2017,2024
17-04-2023,146,False,408,183,False,120,757,False,55,2017,2024
10-04-2023,141,False,408,169,False,120,756,False,55,2017,2024
03-04-2023,144,False,402,164,False,114,762,False,55,2017,2024
20-03-2023,155,False,385,175,False,90,769,False,55,2017,2024
06-03-2023,140,False,431,155,False,90,756,False,55,2017,2024
27-02-2023,134,False,431,141,False,90,745,False,55,2017,2024
20-02-2023,129,False,431,121,False,90,743,False,55,2017,2024
13-02-2023,125,False,431,107,False,90,745,False,55,2017,2024
06-02-2023,127,False,431,89,False,90,742,False,55,2017,2024
30-01-2023,129,False,431,83,False,90,729,False,55,2017,2024
16-01-2023,144,False,398,226,False,22,724,False,55,2017,2024
09-01-2023,144,False,398,193,False,22,727,False,55,2017,2024
02-01-2023,142,False,387,321,True,7,736,False,55,2017,2024
26-12-2022,142,False,387,314,True,7,739,False,55,2017,2024
19-12-2022,142,False,387,307,True,7,737,False,55,2017,2024
12-12-2022,142,False,387,301,True,7,740,False,55,2017,2024
05-12-2022,143,False,387,286,True,7,745,False,55,2017,2024
28-11-2022,146,False,380,0,False,0,741,False,55,2017,2024
21-11-2022,146,False,380,0,False,0,741,False,55,2017,2024
14-11-2022,142,False,395,0,False,0,741,False,55,2017,2024
07-11-2022,141,False,402,141,False,402,747,False,55,2017,2024
31-10-2022,141,False,402,138,False,402,744,False,55,2017,2024
24-10-2022,146,False,395,138,False,395,746,False,55,2017,2024
17-10-2022,158,False,365,146,False,365,744,False,55,2017,2024
10-10-2022,152,False,372,142,False,365,743,False,55,2017,2024
03-10-2022,209,False,247,196,False,240,732,False,55,2017,2024
26-09-2022,233,False,217,218,False,210,732,False,55,2017,2024
19-09-2022,242,False,207,242,False,180,1052,False,25,2017,2024
12-09-2022,243,False,207,237,False,180,1036,False,25,2017,2024
29-08-2022,250,False,203,278,False,147,829,False,40,2017,2024
22-08-2022,250,False,203,269,False,147,827,False,40,2017,2024
15-08-2022,248,False,203,260,False,147,821,False,40,2017,2024
08-08-2022,246,False,203,253,False,147,826,False,40,2017,2024
01-08-2022,245,False,207,244,False,147,829,False,40,2017,2024
25-07-2022,216,False,239,240,False,140,823,False,40,2017,2024
18-07-2022,221,False,240,237,False,140,802,False,42,2017,2024
11-07-2022,227,False,240,233,False,140,804,False,42,2017,2024
27-06-2022,226,False,248,228,False,129,1178,False,17,2017,2024
20-06-2022,225,False,248,228,False,129,1171,False,17,2017,2024
13-06-2022,231,False,241,229,False,122,1166,False,17,2017,2024
06-06-2022,207,False,289,222,False,122,1185,False,17,2017,2024
23-05-2022,187,False,298,213,False,114,1163,True,17,2017,2024
16-05-2022,191,False,300,209,False,114,1161,True,17,2017,2024
09-05-2022,193,False,300,199,False,114,1170,True,17,2017,2024
02-05-2022,190,False,304,188,False,114,1177,True,17,2017,2024
25-04-2022,194,False,304,176,False,114,1176,False,17,2017,2024
18-04-2022,191,False,304,169,False,114,1113,False,20,2017,2024
11-04-2022,193,False,304,163,False,92,1120,False,20,2017,2024
04-04-2022,193,False,304,151,False,92,1119,False,20,2017,2024
21-03-2022,193,False,299,135,False,85,1088,False,22,2017,2024
07-03-2022,221,False,257,194,False,39,1064,False,24,2017,2024
28-02-2022,220,False,265,186,False,39,747,False,49,2017,2024
21-02-2022,225,False,265,168,False,39,756,False,49,2017,2024
14-02-2022,230,False,265,156,False,39,764,False,49,2017,2024
07-02-2022,234,False,265,133,True,39,768,False,49,2017,2024
31-01-2022,236,False,265,114,True,39,758,False,49,2017,2024
17-01-2022,253,False,240,175,True,4,746,False,51,2017,2024
10-01-2022,255,False,240,119,True,4,745,False,51,2017,2024
03-01-2022,257,False,238,0,False,0,746,False,51,2017,2024
27-12-2021,257,False,238,209,False,216,746,False,51,2017,2024
20-12-2021,257,False,238,209,False,216,748,False,51,2017,2024
13-12-2021,257,False,238,208,False,216,752,False,51,2017,2024
06-12-2021,252,False,238,205,False,216,749,False,51,2017,2024
29-11-2021,249,False,238,202,False,216,750,False,51,2017,2024
22-11-2021,246,False,238,201,False,216,749,False,51,2017,2024
15-11-2021,259,False,225,210,True,201,745,False,51,2017,2024
08-11-2021,262,False,220,211,False,194,747,False,51,2017,2024
01-11-2021,264,False,220,206,False,194,740,False,51,2017,2024
25-10-2021,266,False,220,202,False,194,744,False,51,2017,2024
18-10-2021,269,False,222,199,False,194,741,False,51,2017,2024
04-10-2021,271,False,225,199,True,187,749,False,51,2017,2024
27-09-2021,269,False,229,195,True,187,750,False,51,2017,2024
20-09-2021,280,False,211,199,True,167,756,False,51,2017,2024
13-09-2021,274,False,219,197,False,167,747,False,53,2017,2024
30-08-2021,299,False,193,214,True,138,919,False,38,2017,2024
23-08-2021,294,False,193,208,False,138,917,False,38,2017,2024
16-08-2021,293,False,193,207,False,138,919,False,38,2017,2024
09-08-2021,291,False,193,205,False,138,920,False,38,2017,2024
02-08-2021,291,False,195,201,False,136,913,False,38,2017,2024
26-07-2021,308,False,170,234,False,103,917,False,38,2017,2024
19-07-2021,308,False,170,221,True,103,899,False,39,2017,2024
12-07-2021,306,False,170,213,False,103,893,False,39,2017,2024
28-06-2021,325,False,153,230,True,84,891,False,39,2017,2024
21-06-2021,324,False,153,224,True,84,892,False,39,2017,2024
14-06-2021,324,False,153,206,True,84,890,False,39,2017,2024
31-05-2021,399,False,107,291,True,36,881,False,39,2017,2024
24-05-2021,441,False,92,368,True,19,875,False,39,2017,2024
17-05-2021,442,False,92,379,True,17,872,False,39,2017,2024
10-05-2021,442,False,92,383,True,16,875,False,39,2017,2024
03-05-2021,436,False,93,411,True,12,880,False,39,2017,2024
26-04-2021,437,False,93,408,False,12,878,False,39,2017,2024
19-04-2021,436,False,93,388,False,12,920,False,36,2017,2024
12-04-2021,434,False,94,378,False,12,921,False,36,2017,2024
05-04-2021,435,False,94,361,False,12,921,False,36,2017,2024
22-03-2021,438,False,93,369,False,10,894,False,38,2017,2024
15-03-2021,435,False,93,337,False,10,887,False,38,2017,2024
08-03-2021,433,False,93,309,False,10,886,False,38,2017,2024
