rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,59,False,860,61,False,468,710,True,65,2017,2024
27-05-2024,59,False,855,62,False,418,714,True,65,2017,2024
20-05-2024,61,False,825,73,False,368,708,True,65,2017,2024
06-05-2024,60,False,848,73,False,338,698,False,65,2017,2024
22-04-2024,59,False,879,78,False,295,702,False,65,2017,2024
15-04-2024,63,False,879,70,False,295,710,True,65,2017,2024
08-04-2024,55,False,934,62,False,295,710,True,65,2017,2024
01-04-2024,56,False,934,59,False,295,713,False,65,2017,2024
18-03-2024,58,False,924,55,False,265,717,False,65,2017,2024
04-03-2024,51,False,1000,56,False,235,719,False,65,2017,2024
26-02-2024,47,False,1000,48,False,235,710,False,65,2017,2024
19-02-2024,45,False,1000,39,False,235,713,False,65,2017,2024
12-02-2024,57,False,920,68,False,135,714,True,65,2017,2024
05-02-2024,56,False,915,66,False,110,621,True,81,2017,2024
29-01-2024,59,False,885,112,True,60,627,False,81,2017,2024
15-01-2024,48,False,975,80,True,50,452,False,126,2017,2024
08-01-2024,48,False,961,137,True,25,452,False,126,2017,2024
01-01-2024,48,False,947,0,False,0,450,False,126,2017,2024
25-12-2023,48,False,947,0,False,0,448,False,126,2017,2024
18-12-2023,48,False,947,0,False,0,447,False,126,2017,2024
11-12-2023,48,False,947,0,False,0,445,False,126,2017,2024
04-12-2023,48,False,947,0,False,0,448,False,126,2017,2024
27-11-2023,49,False,947,0,False,0,444,False,126,2017,2024
20-11-2023,49,False,947,0,False,0,447,False,126,2017,2024
13-11-2023,49,False,947,50,False,947,445,False,126,2017,2024
06-11-2023,63,False,807,62,False,807,445,False,126,2017,2024
30-10-2023,63,False,807,62,False,797,441,False,126,2017,2024
23-10-2023,83,False,707,77,False,697,447,False,126,2017,2024
16-10-2023,84,False,699,77,False,687,617,False,81,2017,2024
02-10-2023,84,False,709,74,False,677,613,False,81,2017,2024
25-09-2023,85,False,697,74,False,665,622,False,81,2017,2024
18-09-2023,86,False,705,74,False,665,620,False,81,2017,2024
11-09-2023,86,False,705,79,False,620,625,False,81,2017,2024
28-08-2023,83,False,699,79,False,599,624,False,81,2017,2024
21-08-2023,84,False,699,79,False,599,618,False,81,2017,2024
14-08-2023,88,False,670,83,False,564,616,False,81,2017,2024
07-08-2023,93,False,671,79,False,564,617,False,81,2017,2024
31-07-2023,93,False,632,80,False,519,612,False,81,2017,2024
24-07-2023,93,False,632,78,False,519,615,False,81,2017,2024
17-07-2023,96,False,622,77,False,499,610,False,81,2017,2024
03-07-2023,97,False,623,68,False,489,607,False,81,2017,2024
26-06-2023,97,False,623,66,False,489,598,False,81,2017,2024
19-06-2023,93,False,647,60,False,489,596,False,81,2017,2024
12-06-2023,92,False,647,58,False,489,703,False,61,2017,2024
29-05-2023,87,False,703,59,False,444,717,False,61,2017,2024
22-05-2023,84,False,703,56,False,444,709,False,61,2017,2024
08-05-2023,93,False,657,60,False,391,542,False,91,2017,2024
24-04-2023,96,False,610,62,False,330,549,False,91,2017,2024
17-04-2023,98,False,610,61,False,310,547,False,91,2017,2024
