rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,233,False,257,211,False,135,462,False,123,2018,2024
27-05-2024,237,False,261,191,False,135,468,False,123,2018,2024
20-05-2024,237,False,261,189,False,135,471,False,123,2018,2024
06-05-2024,224,False,270,176,False,135,469,False,123,2018,2024
22-04-2024,224,False,270,164,False,135,474,False,123,2018,2024
15-04-2024,221,False,270,157,False,135,477,False,123,2018,2024
08-04-2024,225,False,266,154,False,127,542,False,98,2018,2024
01-04-2024,223,False,274,145,False,127,544,False,98,2018,2024
18-03-2024,205,False,295,120,False,127,506,False,109,2018,2024
04-03-2024,206,False,295,101,False,127,501,False,109,2018,2024
26-02-2024,202,False,298,104,False,121,444,False,129,2018,2024
19-02-2024,218,False,277,102,False,96,440,False,129,2018,2024
12-02-2024,194,False,309,91,False,96,440,False,129,2018,2024
05-02-2024,224,False,269,142,False,52,436,False,129,2018,2024
29-01-2024,233,False,260,179,True,40,442,False,129,2018,2024
15-01-2024,257,False,228,0,False,0,444,False,129,2018,2024
08-01-2024,257,False,228,0,False,0,443,False,129,2018,2024
01-01-2024,256,False,234,0,False,0,364,False,165,2018,2024
25-12-2023,256,False,234,0,False,0,365,False,165,2018,2024
18-12-2023,256,False,234,0,False,0,364,False,165,2018,2024
11-12-2023,256,False,234,0,False,0,364,False,165,2018,2024
04-12-2023,256,False,234,0,False,0,362,False,165,2018,2024
27-11-2023,253,False,234,0,False,0,357,False,165,2018,2024
20-11-2023,255,False,234,0,False,0,359,False,165,2018,2024
13-11-2023,254,False,234,257,False,234,358,False,165,2018,2024
06-11-2023,256,False,230,253,False,230,316,False,195,2018,2024
30-10-2023,261,False,223,256,False,223,359,False,165,2018,2024
23-10-2023,259,False,230,252,False,223,362,False,165,2018,2024
16-10-2023,246,False,252,250,False,223,360,False,165,2018,2024
02-10-2023,273,False,214,275,False,182,360,False,165,2018,2024
