rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,96,False,625,78,False,403,0,False,0,2021,2024
27-05-2024,92,False,660,72,False,403,0,False,0,2021,2024
20-05-2024,89,False,660,67,False,403,0,False,0,2021,2024
06-05-2024,105,False,590,75,False,333,0,False,0,2021,2024
22-04-2024,111,False,560,75,False,303,0,False,0,2021,2024
15-04-2024,114,False,544,72,False,287,0,False,0,2021,2024
08-04-2024,115,False,537,66,False,280,0,False,0,2021,2024
01-04-2024,113,False,537,62,False,280,0,False,0,2021,2024
18-03-2024,124,False,507,60,False,250,0,False,0,2021,2024
04-03-2024,139,False,465,64,False,200,0,False,0,2021,2024
26-02-2024,139,False,465,56,False,200,0,False,0,2021,2024
19-02-2024,141,False,465,51,False,200,0,False,0,2021,2024
12-02-2024,139,False,465,41,False,200,0,False,0,2021,2024
05-02-2024,141,False,465,30,False,200,0,False,0,2021,2024
29-01-2024,141,False,465,27,False,200,0,False,0,2021,2024
15-01-2024,140,False,435,24,True,100,0,False,0,2021,2024
08-01-2024,142,False,435,16,True,100,0,False,0,2021,2024
01-01-2024,183,False,335,0,False,0,0,False,0,2021,2024
25-12-2023,183,False,335,0,False,0,0,False,0,2021,2024
18-12-2023,183,False,335,0,False,0,0,False,0,2021,2024
11-12-2023,183,False,335,0,False,0,0,False,0,2021,2024
04-12-2023,185,False,335,0,False,0,0,False,0,2021,2024
27-11-2023,184,False,335,0,False,0,0,False,0,2021,2024
20-11-2023,184,False,335,0,False,0,0,False,0,2021,2024
13-11-2023,185,False,335,187,False,335,0,False,0,2021,2024
06-11-2023,184,False,335,183,False,335,0,False,0,2021,2024
30-10-2023,176,False,351,183,False,335,0,False,0,2021,2024
23-10-2023,165,False,381,182,False,335,0,False,0,2021,2024
16-10-2023,162,False,381,180,False,335,0,False,0,2021,2024
02-10-2023,156,False,397,167,False,335,0,False,0,2021,2024
25-09-2023,160,False,397,165,False,335,0,False,0,2021,2024
18-09-2023,158,False,397,157,False,335,0,False,0,2021,2024
11-09-2023,155,False,397,160,False,328,0,False,0,2021,2024
28-08-2023,178,False,345,173,False,276,0,False,0,2021,2024
21-08-2023,160,False,395,172,False,276,0,False,0,2021,2024
14-08-2023,156,False,395,165,False,276,0,False,0,2021,2024
07-08-2023,154,False,395,158,False,276,0,False,0,2021,2024
31-07-2023,149,False,420,198,False,221,0,False,0,2021,2024
24-07-2023,156,False,388,215,False,189,0,False,0,2021,2024
17-07-2023,150,False,399,209,False,189,0,False,0,2021,2024
03-07-2023,155,False,373,220,False,159,0,False,0,2021,2024
26-06-2023,155,False,373,215,False,159,0,False,0,2021,2024
19-06-2023,162,False,349,240,False,129,0,False,0,2021,2024
12-06-2023,176,False,333,258,False,113,0,False,0,2021,2024
29-05-2023,200,False,303,303,False,78,0,False,0,2021,2024
22-05-2023,200,False,303,297,False,78,0,False,0,2021,2024
08-05-2023,194,False,312,285,False,78,0,False,0,2021,2024
24-04-2023,189,False,312,272,False,78,0,False,0,2021,2024
17-04-2023,187,False,312,260,False,78,0,False,0,2021,2024
10-04-2023,182,False,323,250,False,78,0,False,0,2021,2024
03-04-2023,182,False,323,233,False,78,0,False,0,2021,2024
20-03-2023,181,False,323,193,False,78,0,False,0,2021,2024
06-03-2023,171,False,341,195,False,70,0,False,0,2021,2024
27-02-2023,165,False,356,175,False,70,0,False,0,2021,2024
20-02-2023,166,False,356,160,False,70,0,False,0,2021,2024
13-02-2023,165,False,358,141,False,70,0,False,0,2021,2024
06-02-2023,165,False,358,119,False,70,0,False,0,2021,2024
30-01-2023,167,False,359,107,False,70,0,False,0,2021,2024
16-01-2023,194,False,289,0,False,0,0,False,0,2021,2024
09-01-2023,194,False,289,0,False,0,0,False,0,2021,2024
02-01-2023,192,False,289,0,False,0,0,False,0,2021,2024
26-12-2022,192,False,289,0,False,0,0,False,0,2021,2024
19-12-2022,192,False,289,0,False,0,0,False,0,2021,2024
12-12-2022,194,False,289,0,False,0,0,False,0,2021,2024
05-12-2022,194,False,289,0,False,0,0,False,0,2021,2024
28-11-2022,193,False,289,0,False,0,0,False,0,2021,2024
21-11-2022,188,False,296,0,False,0,0,False,0,2021,2024
14-11-2022,187,False,296,0,False,0,0,False,0,2021,2024
07-11-2022,184,False,296,184,False,296,0,False,0,2021,2024
31-10-2022,195,False,280,191,False,280,0,False,0,2021,2024
24-10-2022,202,False,260,206,False,250,0,False,0,2021,2024
17-10-2022,198,False,270,204,False,250,0,False,0,2021,2024
10-10-2022,206,False,255,209,False,234,0,False,0,2021,2024
03-10-2022,203,False,255,201,False,234,0,False,0,2021,2024
26-09-2022,197,False,265,197,False,234,0,False,0,2021,2024
19-09-2022,195,False,265,189,False,234,0,False,0,2021,2024
12-09-2022,202,False,258,195,False,227,0,False,0,2021,2024
29-08-2022,202,False,258,181,False,227,0,False,0,2021,2024
22-08-2022,246,False,208,225,False,177,0,False,0,2021,2024
15-08-2022,245,False,208,220,False,177,0,False,0,2021,2024
08-08-2022,241,False,208,213,False,177,0,False,0,2021,2024
01-08-2022,344,False,128,344,False,97,0,False,0,2021,2024
25-07-2022,346,False,128,337,False,97,0,False,0,2021,2024
18-07-2022,362,False,117,349,False,86,0,False,0,2021,2024
11-07-2022,374,False,113,351,False,82,0,False,0,2021,2024
27-06-2022,374,False,113,331,False,82,0,False,0,2021,2024
20-06-2022,388,False,107,336,False,76,0,False,0,2021,2024
13-06-2022,392,False,107,327,False,76,0,False,0,2021,2024
06-06-2022,406,False,102,338,False,71,0,False,0,2021,2024
23-05-2022,400,False,102,304,False,71,0,False,0,2021,2024
16-05-2022,401,False,102,292,False,71,0,False,0,2021,2024
09-05-2022,424,False,93,302,False,62,0,False,0,2021,2024
02-05-2022,424,False,93,291,False,62,0,False,0,2021,2024
25-04-2022,420,False,93,277,False,62,0,False,0,2021,2024
18-04-2022,419,False,93,265,False,62,0,False,0,2021,2024
11-04-2022,449,False,82,269,False,44,0,False,0,2021,2024
04-04-2022,446,False,82,236,False,44,0,False,0,2021,2024
21-03-2022,441,False,82,203,False,44,0,False,0,2021,2024
07-03-2022,543,False,56,304,True,18,0,False,0,2021,2024
28-02-2022,637,False,41,549,True,3,0,False,0,2021,2024
21-02-2022,641,False,41,521,True,3,0,False,0,2021,2024
14-02-2022,663,False,39,564,True,1,0,False,0,2021,2024
07-02-2022,663,False,39,516,True,1,0,False,0,2021,2024
31-01-2022,668,False,38,0,False,0,0,False,0,2021,2024
17-01-2022,667,False,38,0,False,0,0,False,0,2021,2024
10-01-2022,666,False,38,0,False,0,0,False,0,2021,2024
03-01-2022,666,False,38,0,False,0,0,False,0,2021,2024
27-12-2021,666,False,38,525,False,38,0,False,0,2021,2024
20-12-2021,667,False,38,524,False,38,0,False,0,2021,2024
13-12-2021,669,False,38,516,False,38,0,False,0,2021,2024
06-12-2021,664,False,38,507,False,38,0,False,0,2021,2024
29-11-2021,662,False,38,504,False,38,0,False,0,2021,2024
22-11-2021,715,False,31,544,True,31,0,False,0,2021,2024
15-11-2021,713,False,31,536,True,31,0,False,0,2021,2024
08-11-2021,721,False,31,526,True,31,0,False,0,2021,2024
01-11-2021,721,False,31,523,False,31,0,False,0,2021,2024
25-10-2021,826,False,21,594,True,21,0,False,0,2021,2024
18-10-2021,1008,False,11,706,False,11,0,False,0,2021,2024
04-10-2021,1041,False,10,702,True,10,0,False,0,2021,2024
27-09-2021,0,False,0,0,False,0,0,False,0,2021,2024
20-09-2021,0,False,0,0,False,0,0,False,0,2021,2024
13-09-2021,0,False,0,0,False,0,0,False,0,2021,2024
30-08-2021,0,False,0,0,False,0,0,False,0,2021,2024
23-08-2021,0,False,0,0,False,0,0,False,0,2021,2024
16-08-2021,0,False,0,0,False,0,0,False,0,2021,2024
09-08-2021,0,False,0,0,False,0,0,False,0,2021,2024
02-08-2021,0,False,0,0,False,0,0,False,0,2021,2024
26-07-2021,0,False,0,0,False,0,0,False,0,2021,2024
19-07-2021,0,False,0,0,False,0,0,False,0,2021,2024
12-07-2021,0,False,0,0,False,0,0,False,0,2021,2024
28-06-2021,0,False,0,0,False,0,0,False,0,2021,2024
21-06-2021,0,False,0,0,False,0,0,False,0,2021,2024
14-06-2021,0,False,0,0,False,0,0,False,0,2021,2024
31-05-2021,0,False,0,0,False,0,0,False,0,2021,2024
24-05-2021,0,False,0,0,False,0,0,False,0,2021,2024
17-05-2021,0,False,0,0,False,0,0,False,0,2021,2024
10-05-2021,0,False,0,0,False,0,0,False,0,2021,2024
03-05-2021,0,False,0,0,False,0,0,False,0,2021,2024
26-04-2021,0,False,0,0,False,0,0,False,0,2021,2024
19-04-2021,0,False,0,0,False,0,0,False,0,2021,2024
12-04-2021,0,False,0,0,False,0,0,False,0,2021,2024
05-04-2021,0,False,0,0,False,0,0,False,0,2021,2024
