rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,14,False,2590,23,False,1000,77,False,1085,2021,2024
27-05-2024,15,False,2500,23,False,900,68,False,1175,2021,2024
20-05-2024,15,False,2500,23,False,900,68,False,1175,2021,2024
06-05-2024,14,False,2460,23,False,850,94,False,905,2021,2024
22-04-2024,15,False,2480,19,False,800,93,False,905,2021,2024
15-04-2024,14,False,2490,19,False,800,93,False,905,2021,2024
08-04-2024,14,False,2490,16,False,800,91,False,905,2021,2024
01-04-2024,16,False,2260,22,False,550,102,False,860,2021,2024
18-03-2024,17,False,2220,24,False,500,90,False,950,2021,2024
04-03-2024,16,False,2145,28,False,400,91,False,950,2021,2024
26-02-2024,17,False,2055,32,False,300,80,False,1040,2021,2024
19-02-2024,16,False,2055,24,False,300,79,False,1040,2021,2024
12-02-2024,16,False,2055,21,False,300,80,False,1040,2021,2024
05-02-2024,16,False,1965,31,True,200,86,False,950,2021,2024
29-01-2024,16,False,1965,28,True,200,85,False,950,2021,2024
15-01-2024,16,False,2225,28,True,100,88,False,950,2021,2024
08-01-2024,16,False,2145,0,False,0,88,False,950,2021,2024
01-01-2024,17,False,2145,0,False,0,95,False,930,2021,2024
25-12-2023,17,False,2145,0,False,0,95,False,930,2021,2024
18-12-2023,17,False,2145,0,False,0,95,False,930,2021,2024
11-12-2023,17,False,2145,0,False,0,95,False,930,2021,2024
04-12-2023,17,False,2145,0,False,0,95,False,930,2021,2024
27-11-2023,17,False,2145,0,False,0,92,False,930,2021,2024
20-11-2023,17,False,2145,0,False,0,92,False,930,2021,2024
13-11-2023,17,False,2215,17,False,2295,89,False,946,2021,2024
06-11-2023,17,False,2285,17,False,2215,87,False,962,2021,2024
30-10-2023,16,False,2355,16,False,2275,87,False,962,2021,2024
23-10-2023,15,False,2355,14,False,2275,85,False,992,2021,2024
16-10-2023,19,False,1865,18,False,1785,86,False,992,2021,2024
02-10-2023,20,False,1735,18,False,1605,86,False,992,2021,2024
25-09-2023,20,False,1735,17,False,1605,86,False,992,2021,2024
18-09-2023,19,False,1735,17,False,1605,84,False,992,2021,2024
11-09-2023,19,False,1735,17,False,1605,84,False,992,2021,2024
28-08-2023,47,False,1015,40,False,885,80,False,1082,2021,2024
21-08-2023,46,False,1015,39,False,885,80,False,1082,2021,2024
14-08-2023,40,False,1060,37,False,840,92,False,902,2021,2024
07-08-2023,41,False,1065,38,False,795,90,False,918,2021,2024
31-07-2023,43,False,1065,35,False,795,134,False,618,2021,2024
24-07-2023,41,False,1075,31,False,795,139,False,618,2021,2024
17-07-2023,39,False,1095,29,False,795,140,False,618,2021,2024
03-07-2023,36,False,1094,30,False,750,134,False,634,2021,2024
26-06-2023,35,False,1094,30,False,750,132,False,634,2021,2024
19-06-2023,35,False,1069,29,False,715,129,False,634,2021,2024
12-06-2023,35,False,1069,28,False,715,129,False,634,2021,2024
29-05-2023,36,False,1095,25,False,705,141,False,580,2021,2024
22-05-2023,35,False,1095,20,False,705,141,False,580,2021,2024
08-05-2023,35,False,1095,17,False,695,160,False,490,2021,2024
24-04-2023,38,False,1042,19,False,625,161,False,490,2021,2024
17-04-2023,37,False,1029,19,False,605,161,False,490,2021,2024
10-04-2023,39,False,1019,18,False,595,159,False,490,2021,2024
03-04-2023,39,False,999,18,False,575,159,False,490,2021,2024
20-03-2023,39,False,989,16,False,565,213,False,310,2021,2024
06-03-2023,41,False,964,14,False,540,217,False,310,2021,2024
27-02-2023,41,False,964,11,False,540,277,False,220,2021,2024
20-02-2023,42,False,964,9,False,540,282,False,220,2021,2024
13-02-2023,42,False,964,5,False,540,282,False,220,2021,2024
06-02-2023,41,False,964,5,False,540,283,False,220,2021,2024
30-01-2023,44,False,964,5,False,540,282,False,220,2021,2024
16-01-2023,89,False,604,12,False,180,283,False,220,2021,2024
09-01-2023,92,False,584,11,False,160,283,False,220,2021,2024
02-01-2023,96,False,584,2,False,160,287,False,220,2021,2024
26-12-2022,96,False,584,2,False,160,287,False,220,2021,2024
19-12-2022,96,False,584,2,False,160,287,False,220,2021,2024
12-12-2022,96,False,584,2,False,160,288,False,220,2021,2024
05-12-2022,97,False,584,2,False,160,288,False,220,2021,2024
28-11-2022,97,False,584,2,False,160,287,False,220,2021,2024
21-11-2022,97,False,584,1,False,160,285,False,220,2021,2024
14-11-2022,108,False,523,5,False,80,280,False,219,2021,2024
07-11-2022,128,False,443,128,False,443,291,False,203,2021,2024
31-10-2022,156,False,365,152,False,363,284,False,207,2021,2024
24-10-2022,158,False,360,150,False,356,312,False,183,2021,2024
17-10-2022,159,False,360,147,False,356,304,False,183,2021,2024
10-10-2022,160,False,353,144,False,349,304,False,183,2021,2024
03-10-2022,177,False,303,163,False,299,297,False,183,2021,2024
26-09-2022,177,False,303,158,False,299,302,False,183,2021,2024
19-09-2022,172,False,303,154,False,299,304,False,183,2021,2024
12-09-2022,173,False,303,152,False,299,309,False,183,2021,2024
29-08-2022,165,False,311,142,False,299,516,False,93,2021,2024
22-08-2022,171,False,311,141,False,299,516,False,93,2021,2024
