rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,1184,False,7,0,False,0,0,False,0,2003,2024
27-05-2024,1175,False,7,0,False,0,0,False,0,2003,2024
20-05-2024,1168,False,7,0,False,0,0,False,0,2003,2024
06-05-2024,1163,False,7,0,False,0,0,False,0,2003,2024
22-04-2024,1156,False,7,0,False,0,0,False,0,2003,2024
15-04-2024,630,False,52,0,False,0,0,False,0,2003,2024
08-04-2024,634,False,52,0,False,0,0,False,0,2003,2024
01-04-2024,569,False,64,0,False,0,0,False,0,2003,2024
18-03-2024,564,False,64,0,False,0,0,False,0,2003,2024
04-03-2024,566,False,64,0,False,0,0,False,0,2003,2024
26-02-2024,561,False,65,0,False,0,0,False,0,2003,2024
19-02-2024,559,False,65,0,False,0,0,False,0,2003,2024
12-02-2024,561,False,65,0,False,0,0,False,0,2003,2024
05-02-2024,557,False,65,0,False,0,0,False,0,2003,2024
29-01-2024,560,False,65,0,False,0,0,False,0,2003,2024
15-01-2024,564,False,65,0,False,0,0,False,0,2003,2024
08-01-2024,497,False,81,0,False,0,0,False,0,2003,2024
01-01-2024,496,False,81,0,False,0,1592,True,9,2003,2024
25-12-2023,497,False,81,0,False,0,1591,True,9,2003,2024
18-12-2023,498,False,81,0,False,0,1590,True,9,2003,2024
11-12-2023,497,False,81,0,False,0,1593,True,9,2003,2024
04-12-2023,492,False,81,0,False,0,1585,True,9,2003,2024
27-11-2023,463,False,88,0,False,0,1592,False,9,2003,2024
20-11-2023,464,False,88,0,False,0,1588,False,9,2003,2024
13-11-2023,466,False,88,470,False,88,1585,False,9,2003,2024
06-11-2023,469,False,88,463,False,88,1578,False,9,2003,2024
30-10-2023,471,False,88,460,False,88,1589,False,9,2003,2024
23-10-2023,472,False,88,457,False,88,1594,False,9,2003,2024
16-10-2023,473,False,88,450,False,88,1596,False,9,2003,2024
02-10-2023,493,False,81,454,False,81,1596,False,9,2003,2024
25-09-2023,497,False,81,448,False,81,1597,False,9,2003,2024
18-09-2023,497,False,81,443,False,81,1589,False,9,2003,2024
11-09-2023,495,False,81,438,False,81,1572,False,9,2003,2024
28-08-2023,451,False,98,426,False,81,1567,False,9,2003,2024
21-08-2023,447,False,98,418,False,81,1562,False,9,2003,2024
14-08-2023,447,False,98,407,False,81,1555,False,9,2003,2024
07-08-2023,441,False,98,390,False,81,1556,False,9,2003,2024
31-07-2023,439,False,98,382,False,81,1547,False,9,2003,2024
24-07-2023,440,False,98,374,False,81,1541,False,9,2003,2024
17-07-2023,439,False,98,363,False,81,1538,False,9,2003,2024
03-07-2023,416,False,110,344,False,81,1530,False,9,2003,2024
26-06-2023,409,False,110,336,False,81,1512,False,9,2003,2024
19-06-2023,406,False,110,323,False,81,1512,False,9,2003,2024
12-06-2023,403,False,110,315,False,81,1508,False,9,2003,2024
29-05-2023,369,False,126,294,False,81,1524,False,9,2003,2024
22-05-2023,367,False,126,290,False,81,1512,False,9,2003,2024
08-05-2023,362,False,131,277,False,81,1522,False,9,2003,2024
24-04-2023,365,False,131,266,False,81,1503,False,9,2003,2024
17-04-2023,462,False,90,410,False,36,1501,False,9,2003,2024
10-04-2023,454,False,94,400,False,36,1497,False,9,2003,2024
03-04-2023,475,False,82,480,False,24,1499,False,9,2003,2024
20-03-2023,467,False,89,446,False,24,1494,False,9,2003,2024
06-03-2023,461,False,89,417,False,24,1488,False,9,2003,2024
27-02-2023,466,False,88,404,False,23,1486,False,9,2003,2024
20-02-2023,462,False,88,378,False,23,1486,False,9,2003,2024
13-02-2023,463,False,88,349,False,23,1485,False,9,2003,2024
06-02-2023,464,False,88,331,False,23,1493,False,9,2003,2024
