rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
06-11-2023,0,False,0,0,False,0,0,False,0,2002,2023
30-10-2023,464,False,90,0,False,0,0,False,0,2002,2023
23-10-2023,418,False,108,0,False,0,0,False,0,2002,2023
16-10-2023,415,False,108,0,False,0,0,False,0,2002,2023
02-10-2023,418,False,108,0,False,0,0,False,0,2002,2023
25-09-2023,418,False,108,0,False,0,0,False,0,2002,2023
18-09-2023,382,False,128,0,False,0,0,False,0,2002,2023
11-09-2023,383,False,128,0,False,0,0,False,0,2002,2023
28-08-2023,362,False,136,0,False,0,0,False,0,2002,2023
21-08-2023,364,False,136,0,False,0,0,False,0,2002,2023
14-08-2023,325,False,161,0,False,0,0,False,0,2002,2023
07-08-2023,330,False,161,0,False,0,0,False,0,2002,2023
31-07-2023,324,False,161,0,False,0,0,False,0,2002,2023
24-07-2023,324,False,161,0,False,0,0,False,0,2002,2023
17-07-2023,317,False,161,0,False,0,0,False,0,2002,2023
03-07-2023,322,False,161,0,False,0,0,False,0,2002,2023
26-06-2023,318,False,161,0,False,0,0,False,0,2002,2023
19-06-2023,320,False,161,0,False,0,0,False,0,2002,2023
12-06-2023,317,False,161,0,False,0,0,False,0,2002,2023
29-05-2023,211,False,283,0,False,0,0,False,0,2002,2023
22-05-2023,211,False,283,0,False,0,0,False,0,2002,2023
08-05-2023,200,False,295,0,False,0,0,False,0,2002,2023
24-04-2023,197,False,295,0,False,0,0,False,0,2002,2023
17-04-2023,194,False,295,0,False,0,0,False,0,2002,2023
10-04-2023,195,False,295,0,False,0,0,False,0,2002,2023
03-04-2023,198,False,295,0,False,0,0,False,0,2002,2023
20-03-2023,190,False,305,0,False,0,0,False,0,2002,2023
06-03-2023,191,False,310,0,False,0,0,False,0,2002,2023
27-02-2023,193,False,310,0,False,0,0,False,0,2002,2023
20-02-2023,179,False,330,0,False,0,0,False,0,2002,2023
13-02-2023,181,False,330,0,False,0,0,False,0,2002,2023
06-02-2023,176,False,337,0,False,0,0,False,0,2002,2023
30-01-2023,156,False,369,0,False,0,0,False,0,2002,2023
16-01-2023,155,False,369,0,False,0,0,False,0,2002,2023
09-01-2023,156,False,369,0,False,0,0,False,0,2002,2023
02-01-2023,143,False,385,0,False,0,0,False,0,2002,2023
26-12-2022,143,False,385,0,False,0,0,False,0,2002,2023
19-12-2022,143,False,385,0,False,0,0,False,0,2002,2023
12-12-2022,143,False,385,0,False,0,0,False,0,2002,2023
05-12-2022,144,False,385,0,False,0,0,False,0,2002,2023
28-11-2022,143,False,385,0,False,0,0,False,0,2002,2023
21-11-2022,143,False,385,0,False,0,0,False,0,2002,2023
14-11-2022,145,False,385,0,False,0,0,False,0,2002,2023
07-11-2022,147,False,385,147,False,385,0,False,0,2002,2023
31-10-2022,188,False,295,182,False,295,0,False,0,2002,2023
24-10-2022,195,False,277,190,False,277,0,False,0,2002,2023
17-10-2022,169,False,322,186,False,277,0,False,0,2002,2023
10-10-2022,174,False,322,183,False,277,0,False,0,2002,2023
03-10-2022,169,False,322,179,False,277,0,False,0,2002,2023
26-09-2022,168,False,322,174,False,277,0,False,0,2002,2023
19-09-2022,175,False,302,175,False,257,0,False,0,2002,2023
12-09-2022,175,False,302,171,False,257,910,False,33,2002,2023
29-08-2022,182,False,294,166,False,249,901,False,33,2002,2023
22-08-2022,177,False,304,166,False,249,887,False,33,2002,2023
15-08-2022,193,False,279,174,False,224,881,False,33,2002,2023
08-08-2022,182,False,287,169,False,224,885,False,33,2002,2023
01-08-2022,184,False,292,168,False,224,894,False,33,2002,2023
25-07-2022,182,False,292,162,False,224,895,False,33,2002,2023
18-07-2022,175,False,292,157,False,224,891,False,33,2002,2023
11-07-2022,177,False,297,153,False,224,896,False,33,2002,2023
27-06-2022,170,False,320,147,False,224,899,False,33,2002,2023
20-06-2022,163,False,343,142,False,224,891,False,33,2002,2023
13-06-2022,126,False,493,137,False,224,901,False,33,2002,2023
06-06-2022,134,False,481,147,False,192,906,False,33,2002,2023
23-05-2022,157,False,391,237,False,102,898,False,33,2002,2023
16-05-2022,159,False,379,250,False,90,894,False,33,2002,2023
09-05-2022,160,False,379,235,False,90,892,False,33,2002,2023
02-05-2022,158,False,384,221,False,90,887,False,33,2002,2023
25-04-2022,158,False,384,211,False,90,889,False,33,2002,2023
18-04-2022,159,False,384,203,False,90,890,False,33,2002,2023
11-04-2022,154,False,407,167,False,90,891,False,33,2002,2023
04-04-2022,136,False,467,156,False,90,892,False,33,2002,2023
21-03-2022,139,False,462,142,False,80,884,False,33,2002,2023
07-03-2022,139,False,462,130,False,75,897,False,33,2002,2023
28-02-2022,142,False,462,124,False,75,900,False,33,2002,2023
21-02-2022,148,False,442,140,False,55,906,False,33,2002,2023
14-02-2022,132,False,537,125,False,55,917,False,33,2002,2023
07-02-2022,124,False,575,114,False,48,923,False,33,2002,2023
31-01-2022,130,False,553,193,True,16,919,False,33,2002,2023
17-01-2022,123,False,588,97,True,16,912,False,33,2002,2023
10-01-2022,122,False,588,70,True,16,912,False,33,2002,2023
03-01-2022,122,False,597,0,False,0,914,False,33,2002,2023
27-12-2021,122,False,597,298,False,123,915,False,33,2002,2023
20-12-2021,122,False,597,298,False,123,914,False,33,2002,2023
13-12-2021,122,False,597,294,False,123,912,False,33,2002,2023
06-12-2021,122,False,597,289,False,123,911,False,33,2002,2023
29-11-2021,124,False,597,283,False,123,909,False,33,2002,2023
22-11-2021,124,False,597,276,True,123,914,False,33,2002,2023
15-11-2021,123,False,597,271,True,123,915,False,33,2002,2023
08-11-2021,118,False,624,264,True,123,916,False,33,2002,2023
01-11-2021,120,False,629,259,False,123,923,False,33,2002,2023
25-10-2021,122,False,629,257,True,123,929,False,33,2002,2023
18-10-2021,117,False,669,338,False,78,938,False,33,2002,2023
04-10-2021,109,False,729,328,True,78,951,False,33,2002,2023
27-09-2021,99,False,764,320,True,78,954,False,33,2002,2023
20-09-2021,99,False,764,315,True,78,957,False,33,2002,2023
13-09-2021,100,False,764,306,True,78,815,True,45,2002,2023
30-08-2021,103,False,789,295,True,78,832,True,45,2002,2023
23-08-2021,103,False,789,308,True,68,831,True,45,2002,2023
16-08-2021,104,False,789,304,False,68,832,True,45,2002,2023
09-08-2021,104,False,789,316,False,60,829,True,45,2002,2023
02-08-2021,102,False,779,315,False,60,827,False,45,2002,2023
26-07-2021,102,False,779,304,False,60,828,False,45,2002,2023
19-07-2021,102,False,779,293,True,60,829,False,45,2002,2023
12-07-2021,100,False,779,283,True,60,821,False,45,2002,2023
28-06-2021,97,False,801,290,True,50,820,False,45,2002,2023
21-06-2021,93,False,823,284,True,50,819,False,45,2002,2023
14-06-2021,71,False,973,268,True,50,817,False,45,2002,2023
31-05-2021,69,False,995,273,True,40,811,False,45,2002,2023
24-05-2021,69,False,995,266,True,40,806,False,45,2002,2023
17-05-2021,68,False,995,263,True,40,807,False,45,2002,2023
10-05-2021,70,False,995,256,True,40,414,False,135,2002,2023
03-05-2021,70,False,982,251,True,40,417,False,135,2002,2023
26-04-2021,69,False,982,245,False,40,414,False,135,2002,2023
19-04-2021,70,False,982,236,False,40,414,False,135,2002,2023
12-04-2021,68,False,1002,227,False,40,416,False,135,2002,2023
05-04-2021,63,False,1047,298,False,20,414,False,135,2002,2023
22-03-2021,69,False,1025,263,True,20,410,False,135,2002,2023
15-03-2021,67,False,1025,246,True,20,409,False,135,2002,2023
08-03-2021,69,False,990,231,True,20,405,False,135,2002,2023
01-03-2021,69,False,990,216,True,20,402,False,135,2002,2023
22-02-2021,68,False,990,183,True,20,397,True,135,2002,2023
08-02-2021,66,False,990,125,True,10,389,False,135,2002,2023
01-02-2021,64,False,990,0,False,0,386,False,135,2002,2023
25-01-2021,64,False,990,0,False,0,384,False,135,2002,2023
18-01-2021,64,False,990,0,False,0,380,False,135,2002,2023
11-01-2021,64,False,990,0,False,0,380,False,135,2002,2023
04-01-2021,64,False,990,0,False,383,379,False,135,2002,2023
28-12-2020,63,False,1005,0,False,0,378,False,135,2002,2023
21-12-2020,63,False,1005,0,False,0,378,False,135,2002,2023
14-12-2020,63,False,1005,0,False,0,378,False,135,2002,2023
07-12-2020,63,False,1005,0,False,0,378,False,135,2002,2023
30-11-2020,63,False,1005,0,False,0,376,False,135,2002,2023
23-11-2020,63,False,1005,0,False,0,375,False,135,2002,2023
16-11-2020,63,False,1005,0,False,0,373,False,135,2002,2023
09-11-2020,62,False,1005,0,False,0,371,False,135,2002,2023
02-11-2020,59,False,1005,0,False,0,370,False,135,2002,2023
26-10-2020,58,False,1005,0,False,0,368,False,135,2002,2023
19-10-2020,58,False,1005,0,False,0,367,False,135,2002,2023
12-10-2020,57,False,1005,0,False,0,363,False,135,2002,2023
28-09-2020,54,False,1005,0,False,0,357,False,135,2002,2023
21-09-2020,53,False,1005,0,False,0,357,False,135,2002,2023
14-09-2020,54,False,970,0,False,0,353,False,135,2002,2023
31-08-2020,52,False,970,0,False,0,347,True,135,2002,2023
24-08-2020,54,False,935,0,False,0,345,True,135,2002,2023
16-03-2020,54,False,935,70,False,205,345,True,135,2002,2023
09-03-2020,54,False,935,70,False,205,341,True,135,2002,2023
02-03-2020,53,False,935,70,False,205,337,False,135,2002,2023
24-02-2020,53,False,935,57,False,205,343,False,135,2002,2023
17-02-2020,58,False,890,92,False,115,286,False,180,2002,2023
10-02-2020,57,False,890,108,False,70,290,False,180,2002,2023
03-02-2020,59,False,890,93,False,70,289,False,180,2002,2023
20-01-2020,61,False,890,129,False,25,293,True,180,2002,2023
13-01-2020,60,False,890,104,False,25,294,False,180,2002,2023
06-01-2020,57,False,910,0,False,0,293,False,180,2002,2023
30-12-2019,55,False,955,0,False,0,295,False,180,2002,2023
23-12-2019,55,False,955,0,False,0,295,False,180,2002,2023
16-12-2019,55,False,955,0,False,0,296,False,180,2002,2023
09-12-2019,55,False,955,0,False,0,296,False,180,2002,2023
02-12-2019,55,False,955,0,False,0,296,False,180,2002,2023
25-11-2019,55,False,955,0,False,0,296,False,180,2002,2023
18-11-2019,56,False,955,0,False,0,295,False,180,2002,2023
11-11-2019,56,False,955,0,False,0,294,False,180,2002,2023
04-11-2019,57,False,955,57,False,955,294,False,180,2002,2023
28-10-2019,53,False,990,55,False,945,290,True,180,2002,2023
21-10-2019,50,False,1035,54,False,945,288,True,180,2002,2023
14-10-2019,47,False,1035,52,False,945,287,False,180,2002,2023
07-10-2019,49,False,1035,52,False,935,293,False,180,2002,2023
30-09-2019,50,False,1035,49,False,935,208,False,315,2002,2023
23-09-2019,49,False,1035,47,False,935,206,False,315,2002,2023
16-09-2019,37,False,1240,47,False,935,230,False,270,2002,2023
09-09-2019,37,False,1240,47,False,935,223,False,270,2002,2023
26-08-2019,40,False,1240,43,False,890,226,False,270,2002,2023
