rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,296,False,189,381,False,61,1370,True,16,2005,2024
27-05-2024,288,False,189,359,False,61,1368,True,16,2005,2024
20-05-2024,287,False,189,351,False,61,1373,True,16,2005,2024
06-05-2024,291,False,189,316,False,61,1364,True,16,2005,2024
22-04-2024,297,False,189,294,False,61,1364,True,16,2005,2024
15-04-2024,296,False,189,281,False,61,1367,True,16,2005,2024
08-04-2024,299,False,189,271,False,61,1367,True,16,2005,2024
01-04-2024,272,False,209,255,False,61,739,False,61,2005,2024
18-03-2024,278,False,200,275,False,45,562,False,91,2005,2024
04-03-2024,275,False,200,251,False,45,555,False,91,2005,2024
26-02-2024,280,False,200,236,False,45,554,False,91,2005,2024
19-02-2024,283,False,200,213,False,45,559,False,91,2005,2024
12-02-2024,279,False,200,192,False,45,566,False,91,2005,2024
05-02-2024,243,False,245,177,False,45,562,False,91,2005,2024
29-01-2024,245,False,245,162,False,45,571,False,91,2005,2024
15-01-2024,239,False,255,94,False,45,567,False,91,2005,2024
08-01-2024,244,False,249,107,False,33,567,False,91,2005,2024
01-01-2024,249,False,241,93,False,25,567,False,91,2005,2024
25-12-2023,249,False,241,89,False,25,568,False,91,2005,2024
18-12-2023,249,False,241,84,False,25,567,False,91,2005,2024
11-12-2023,249,False,241,82,False,25,569,False,91,2005,2024
04-12-2023,249,False,241,75,False,25,569,False,91,2005,2024
27-11-2023,257,False,232,65,True,16,565,False,91,2005,2024
20-11-2023,258,False,232,31,True,16,565,False,91,2005,2024
13-11-2023,267,False,216,269,False,216,566,False,91,2005,2024
06-11-2023,276,False,209,268,False,209,643,False,75,2005,2024
30-10-2023,278,False,205,276,False,205,643,False,75,2005,2024
23-10-2023,275,False,215,273,False,205,645,False,75,2005,2024
16-10-2023,274,False,215,268,False,205,655,False,75,2005,2024
02-10-2023,285,False,197,271,False,187,648,False,75,2005,2024
25-09-2023,283,False,197,266,False,187,654,False,75,2005,2024
18-09-2023,287,False,197,260,False,187,653,False,75,2005,2024
11-09-2023,289,False,197,256,False,187,653,False,75,2005,2024
28-08-2023,259,False,235,250,False,180,179,False,435,2005,2024
21-08-2023,269,False,218,268,False,163,180,False,435,2005,2024
14-08-2023,270,False,218,264,False,163,176,False,435,2005,2024
07-08-2023,271,False,218,261,False,163,175,False,435,2005,2024
31-07-2023,352,False,143,359,False,88,175,False,435,2005,2024
24-07-2023,320,False,163,353,False,88,177,False,435,2005,2024
17-07-2023,313,False,163,344,False,88,175,False,435,2005,2024
03-07-2023,317,False,163,327,False,88,163,False,480,2005,2024
26-06-2023,313,False,163,321,False,88,162,False,480,2005,2024
19-06-2023,312,False,163,309,False,88,160,False,480,2005,2024
12-06-2023,309,False,163,299,False,88,158,False,480,2005,2024
