rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,1526,True,2,0,False,0,60,False,1245,2007,2024
27-05-2024,1526,True,2,0,False,0,62,False,1245,2007,2024
20-05-2024,1520,True,2,0,False,0,60,False,1245,2007,2024
06-05-2024,1517,True,2,0,False,0,61,False,1290,2007,2024
22-04-2024,1509,True,2,0,False,0,61,False,1340,2007,2024
15-04-2024,1509,True,2,0,False,0,61,False,1340,2007,2024
08-04-2024,1510,True,2,0,False,0,63,False,1340,2007,2024
01-04-2024,1507,True,2,0,False,0,61,False,1340,2007,2024
18-03-2024,1502,True,2,0,False,0,68,False,1205,2007,2024
04-03-2024,1489,True,2,0,False,0,64,False,1250,2007,2024
26-02-2024,1492,True,2,0,False,0,64,False,1250,2007,2024
19-02-2024,1490,True,2,0,False,0,67,False,1205,2007,2024
12-02-2024,1489,True,2,0,False,0,71,False,1160,2007,2024
05-02-2024,1488,True,2,0,False,0,70,False,1160,2007,2024
29-01-2024,1491,True,2,0,False,0,69,False,1160,2007,2024
15-01-2024,1491,True,2,0,False,0,76,False,1070,2007,2024
08-01-2024,1489,True,2,0,False,0,77,False,1070,2007,2024
01-01-2024,1488,True,2,0,False,0,78,False,1085,2007,2024
25-12-2023,1490,True,2,0,False,0,78,False,1085,2007,2024
18-12-2023,1487,True,2,0,False,0,78,False,1085,2007,2024
11-12-2023,1489,True,2,0,False,0,78,False,1085,2007,2024
04-12-2023,1485,True,2,0,False,0,78,False,1085,2007,2024
27-11-2023,1487,True,2,0,False,0,78,False,1085,2007,2024
20-11-2023,1487,True,2,0,False,0,78,False,1085,2007,2024
13-11-2023,1489,True,2,1502,True,2,79,False,1060,2007,2024
06-11-2023,1499,True,2,1485,True,2,79,False,1050,2007,2024
30-10-2023,1499,True,2,1483,True,2,82,False,1005,2007,2024
23-10-2023,1500,True,2,1468,True,2,84,False,1005,2007,2024
16-10-2023,1505,True,2,1462,True,2,85,False,1005,2007,2024
02-10-2023,1514,True,2,1445,True,2,94,False,940,2007,2024
25-09-2023,1509,True,2,1426,True,2,102,False,890,2007,2024
18-09-2023,1504,True,2,1410,True,2,100,False,890,2007,2024
11-09-2023,1500,True,2,1396,True,2,95,False,915,2007,2024
28-08-2023,1505,True,2,1359,True,2,91,False,910,2007,2024
21-08-2023,1505,True,2,1338,True,2,99,False,885,2007,2024
14-08-2023,1499,True,2,1312,True,2,89,False,915,2007,2024
07-08-2023,0,False,0,0,False,0,92,False,915,2007,2024
31-07-2023,0,False,0,0,False,0,91,False,915,2007,2024
24-07-2023,0,False,0,0,False,0,88,False,945,2007,2024
17-07-2023,0,False,0,0,False,0,92,False,920,2007,2024
03-07-2023,0,False,0,0,False,0,89,False,990,2007,2024
26-06-2023,0,False,0,0,False,0,93,False,920,2007,2024
19-06-2023,0,False,0,0,False,0,98,False,861,2007,2024
12-06-2023,0,False,0,0,False,0,96,False,891,2007,2024
29-05-2023,0,False,0,0,False,0,97,False,896,2007,2024
22-05-2023,0,False,0,0,False,0,97,False,896,2007,2024
08-05-2023,0,False,0,0,False,0,97,False,896,2007,2024
24-04-2023,0,False,0,0,False,0,102,False,867,2007,2024
17-04-2023,0,False,0,0,False,0,99,False,867,2007,2024
10-04-2023,0,False,0,0,False,0,94,False,887,2007,2024
03-04-2023,0,False,0,0,False,0,93,False,916,2007,2024
20-03-2023,0,False,0,0,False,0,95,False,912,2007,2024
06-03-2023,0,False,0,0,False,0,90,False,956,2007,2024
27-02-2023,0,False,0,0,False,0,89,False,927,2007,2024
20-02-2023,0,False,0,0,False,0,88,False,956,2007,2024
13-02-2023,0,False,0,0,False,0,93,False,911,2007,2024
06-02-2023,0,False,0,0,False,0,94,False,911,2007,2024
30-01-2023,0,False,0,0,False,0,81,False,1036,2007,2024
16-01-2023,0,False,0,0,False,0,78,False,1036,2007,2024
09-01-2023,0,False,0,0,False,0,78,False,1036,2007,2024
02-01-2023,0,False,0,0,False,0,85,False,1001,2007,2024
26-12-2022,0,False,0,0,False,0,85,False,1001,2007,2024
19-12-2022,0,False,0,0,False,0,85,False,1001,2007,2024
12-12-2022,0,False,0,0,False,0,85,False,1001,2007,2024
05-12-2022,0,False,0,0,False,0,85,False,1001,2007,2024
28-11-2022,0,False,0,0,False,0,85,False,1001,2007,2024
21-11-2022,0,False,0,0,False,0,85,False,1001,2007,2024
14-11-2022,0,False,0,0,False,0,85,False,971,2007,2024
07-11-2022,0,False,0,0,False,0,89,False,907,2007,2024
31-10-2022,0,False,0,0,False,0,92,False,907,2007,2024
24-10-2022,0,False,0,0,False,0,91,False,936,2007,2024
17-10-2022,0,False,0,0,False,0,88,False,936,2007,2024
10-10-2022,0,False,0,0,False,0,95,False,907,2007,2024
