rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
05-02-2024,0,False,0,0,False,0,0,False,0,2008,2024
29-01-2024,0,False,0,0,False,0,0,False,0,2008,2024
15-01-2024,0,False,0,0,False,0,0,False,0,2008,2024
08-01-2024,0,False,0,0,False,0,0,False,0,2008,2024
01-01-2024,0,False,0,0,False,0,0,False,0,2008,2024
25-12-2023,0,False,0,0,False,0,0,False,0,2008,2024
18-12-2023,0,False,0,0,False,0,0,False,0,2008,2024
11-12-2023,0,False,0,0,False,0,0,False,0,2008,2024
04-12-2023,0,False,0,0,False,0,0,False,0,2008,2024
27-11-2023,0,False,0,0,False,0,0,False,0,2008,2024
20-11-2023,0,False,0,0,False,0,0,False,0,2008,2024
13-11-2023,0,False,0,0,False,0,0,False,0,2008,2024
06-11-2023,0,False,0,0,False,0,0,False,0,2008,2024
30-10-2023,0,False,0,0,False,0,0,False,0,2008,2024
23-10-2023,0,False,0,0,False,0,0,False,0,2008,2024
16-10-2023,0,False,0,0,False,0,0,False,0,2008,2024
02-10-2023,1058,False,10,0,False,0,0,False,0,2008,2024
25-09-2023,1057,False,10,0,False,0,0,False,0,2008,2024
18-09-2023,1040,False,10,0,False,0,0,False,0,2008,2024
11-09-2023,1039,False,10,0,False,0,0,False,0,2008,2024
28-08-2023,473,False,90,0,False,0,0,False,0,2008,2024
21-08-2023,450,False,97,0,False,0,0,False,0,2008,2024
14-08-2023,419,False,108,0,False,0,0,False,0,2008,2024
07-08-2023,417,False,108,0,False,0,0,False,0,2008,2024
31-07-2023,397,False,115,0,False,0,0,False,0,2008,2024
24-07-2023,395,False,115,0,False,0,0,False,0,2008,2024
17-07-2023,391,False,115,0,False,0,0,False,0,2008,2024
03-07-2023,382,False,122,0,False,0,0,False,0,2008,2024
26-06-2023,381,False,122,0,False,0,0,False,0,2008,2024
19-06-2023,378,False,122,0,False,0,0,False,0,2008,2024
12-06-2023,372,False,122,0,False,0,0,False,0,2008,2024
29-05-2023,351,False,138,0,False,0,0,False,0,2008,2024
22-05-2023,349,False,138,0,False,0,0,False,0,2008,2024
08-05-2023,352,False,138,0,False,0,0,False,0,2008,2024
24-04-2023,351,False,138,0,False,0,0,False,0,2008,2024
17-04-2023,347,False,138,0,False,0,0,False,0,2008,2024
10-04-2023,349,False,138,0,False,0,0,False,0,2008,2024
03-04-2023,348,False,138,0,False,0,0,False,0,2008,2024
20-03-2023,311,False,168,0,False,0,0,False,0,2008,2024
06-03-2023,305,False,168,0,False,0,0,False,0,2008,2024
27-02-2023,305,False,168,0,False,0,0,False,0,2008,2024
20-02-2023,307,False,168,0,False,0,0,False,0,2008,2024
13-02-2023,303,False,168,0,False,0,0,False,0,2008,2024
