rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,35,False,1180,28,False,805,102,False,830,2008,2024
27-05-2024,41,False,1090,29,False,705,99,False,830,2008,2024
20-05-2024,39,False,1090,27,False,705,100,False,830,2008,2024
06-05-2024,41,False,1120,26,False,675,101,False,830,2008,2024
22-04-2024,24,False,1628,28,False,575,104,False,830,2008,2024
15-04-2024,28,False,1388,64,False,325,121,False,725,2008,2024
08-04-2024,25,False,1493,85,False,225,120,False,725,2008,2024
01-04-2024,26,False,1493,76,False,225,120,False,725,2008,2024
18-03-2024,25,False,1484,88,False,175,118,False,725,2008,2024
04-03-2024,25,False,1531,106,False,125,117,False,725,2008,2024
26-02-2024,25,False,1531,98,False,125,289,True,225,2008,2024
19-02-2024,25,False,1531,82,False,125,292,False,225,2008,2024
12-02-2024,25,False,1526,119,True,75,291,False,225,2008,2024
05-02-2024,25,False,1526,101,True,75,285,True,225,2008,2024
29-01-2024,24,False,1526,91,True,75,280,True,225,2008,2024
15-01-2024,25,False,1511,171,True,25,277,True,225,2008,2024
08-01-2024,24,False,1511,137,True,25,277,True,225,2008,2024
01-01-2024,25,False,1522,0,False,0,277,True,225,2008,2024
25-12-2023,25,False,1522,0,False,0,277,True,225,2008,2024
18-12-2023,25,False,1522,0,False,0,275,True,225,2008,2024
11-12-2023,25,False,1522,0,False,0,274,True,225,2008,2024
04-12-2023,25,False,1522,0,False,0,276,True,225,2008,2024
27-11-2023,25,False,1522,0,False,0,277,False,225,2008,2024
20-11-2023,25,False,1522,0,False,0,281,False,225,2008,2024
13-11-2023,25,False,1522,25,False,1522,285,False,225,2008,2024
06-11-2023,28,False,1442,27,False,1442,281,False,225,2008,2024
30-10-2023,27,False,1482,27,False,1432,224,False,305,2008,2024
23-10-2023,27,False,1447,26,False,1397,230,False,305,2008,2024
16-10-2023,27,False,1447,26,False,1397,230,False,305,2008,2024
02-10-2023,27,False,1462,25,False,1387,235,False,305,2008,2024
25-09-2023,22,False,1494,24,False,1387,236,False,305,2008,2024
18-09-2023,23,False,1474,24,False,1367,238,False,305,2008,2024
11-09-2023,23,False,1474,24,False,1367,236,False,305,2008,2024
28-08-2023,22,False,1482,20,False,1367,234,False,305,2008,2024
21-08-2023,22,False,1482,20,False,1367,235,False,305,2008,2024
14-08-2023,24,False,1489,19,False,1367,237,False,305,2008,2024
07-08-2023,25,False,1496,18,False,1367,233,False,305,2008,2024
31-07-2023,24,False,1496,17,False,1367,230,False,305,2008,2024
24-07-2023,24,False,1500,17,False,1367,227,False,305,2008,2024
17-07-2023,24,False,1500,17,False,1367,185,False,395,2008,2024
03-07-2023,22,False,1625,17,False,1367,152,False,520,2008,2024
26-06-2023,22,False,1625,16,False,1367,152,False,520,2008,2024
19-06-2023,21,False,1587,15,False,1322,195,False,340,2008,2024
12-06-2023,24,False,1437,15,False,1172,171,False,430,2008,2024
29-05-2023,28,False,1447,13,False,1162,179,False,430,2008,2024
22-05-2023,26,False,1447,13,False,1162,178,False,430,2008,2024
08-05-2023,28,False,1387,13,False,1102,178,False,430,2008,2024
24-04-2023,65,False,779,31,False,494,175,False,430,2008,2024
17-04-2023,64,False,779,24,False,494,187,False,385,2008,2024
10-04-2023,100,False,574,65,False,289,183,False,385,2008,2024
03-04-2023,100,False,574,59,False,289,183,False,385,2008,2024
20-03-2023,103,False,543,59,False,248,181,False,385,2008,2024
06-03-2023,134,False,446,98,False,141,165,False,460,2008,2024
27-02-2023,136,False,421,107,False,116,163,False,460,2008,2024
20-02-2023,136,False,421,92,False,116,159,False,460,2008,2024
13-02-2023,156,False,376,139,False,71,159,False,460,2008,2024
06-02-2023,154,False,376,117,False,71,161,False,460,2008,2024
30-01-2023,153,False,376,104,False,71,161,False,460,2008,2024
16-01-2023,167,False,351,139,True,36,139,False,550,2008,2024
09-01-2023,167,False,351,112,True,36,138,False,550,2008,2024
02-01-2023,150,False,375,0,False,0,137,False,550,2008,2024
26-12-2022,150,False,375,0,False,0,137,False,550,2008,2024
19-12-2022,150,False,375,0,False,0,137,False,550,2008,2024
12-12-2022,150,False,375,0,False,0,138,False,550,2008,2024
05-12-2022,151,False,375,0,False,0,139,False,550,2008,2024
28-11-2022,151,False,375,0,False,0,138,False,550,2008,2024
21-11-2022,152,False,375,0,False,0,139,False,550,2008,2024
14-11-2022,151,False,375,0,False,0,138,False,550,2008,2024
07-11-2022,152,False,375,152,False,375,138,False,550,2008,2024
31-10-2022,168,False,335,169,False,325,156,False,470,2008,2024
24-10-2022,132,False,425,163,False,325,152,False,470,2008,2024
17-10-2022,127,False,445,157,False,325,152,False,470,2008,2024
10-10-2022,121,False,470,155,False,325,138,False,560,2008,2024
03-10-2022,118,False,470,149,False,325,135,False,560,2008,2024
