rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,612,False,56,811,False,10,873,True,45,2010,2024
27-05-2024,389,False,122,776,False,10,889,True,45,2010,2024
20-05-2024,390,False,122,752,False,10,882,True,45,2010,2024
06-05-2024,408,False,116,952,True,4,881,False,45,2010,2024
22-04-2024,375,False,132,918,True,4,877,False,45,2010,2024
15-04-2024,377,False,132,898,False,4,877,False,45,2010,2024
08-04-2024,376,False,132,878,False,4,882,False,45,2010,2024
01-04-2024,360,False,138,860,True,4,884,True,45,2010,2024
18-03-2024,354,False,141,0,False,0,883,False,45,2010,2024
04-03-2024,355,False,141,0,False,0,882,False,45,2010,2024
26-02-2024,356,False,141,0,False,0,882,False,45,2010,2024
19-02-2024,352,False,141,0,False,0,710,True,65,2010,2024
12-02-2024,352,False,141,0,False,0,714,True,65,2010,2024
05-02-2024,352,False,141,0,False,0,718,False,65,2010,2024
29-01-2024,353,False,141,0,False,0,724,False,65,2010,2024
15-01-2024,336,False,152,0,False,0,712,False,65,2010,2024
08-01-2024,334,False,152,0,False,0,710,False,65,2010,2024
01-01-2024,335,False,152,0,False,0,702,False,65,2010,2024
25-12-2023,336,False,152,0,False,0,702,False,65,2010,2024
18-12-2023,335,False,152,0,False,0,701,False,65,2010,2024
11-12-2023,334,False,152,0,False,0,702,False,65,2010,2024
04-12-2023,335,False,152,0,False,0,697,False,65,2010,2024
27-11-2023,336,False,152,0,False,0,694,False,65,2010,2024
20-11-2023,280,False,202,0,False,0,697,False,65,2010,2024
13-11-2023,240,False,252,210,False,302,695,False,65,2010,2024
06-11-2023,235,False,259,238,False,252,695,False,65,2010,2024
30-10-2023,227,False,266,230,False,259,552,False,95,2010,2024
23-10-2023,233,False,264,232,False,257,549,False,95,2010,2024
16-10-2023,230,False,271,227,False,257,549,False,95,2010,2024
02-10-2023,226,False,276,224,False,246,498,False,111,2010,2024
25-09-2023,227,False,273,221,False,243,492,False,111,2010,2024
