rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,117,False,550,97,False,325,0,False,0,2013,2024
27-05-2024,118,False,540,125,False,225,0,False,0,2013,2024
20-05-2024,123,False,515,134,False,200,0,False,0,2013,2024
06-05-2024,126,False,505,130,False,190,0,False,0,2013,2024
22-04-2024,132,False,465,156,False,140,339,False,180,2013,2024
15-04-2024,121,False,510,149,False,140,332,False,180,2013,2024
08-04-2024,122,False,510,141,False,140,337,False,180,2013,2024
01-04-2024,121,False,510,126,False,140,337,False,180,2013,2024
18-03-2024,126,False,505,169,False,90,338,False,180,2013,2024
04-03-2024,131,False,485,212,False,60,193,False,360,2013,2024
26-02-2024,120,False,530,195,True,60,194,False,360,2013,2024
19-02-2024,121,False,530,174,False,60,194,False,360,2013,2024
12-02-2024,127,False,505,239,False,35,196,False,360,2013,2024
05-02-2024,127,False,505,219,True,35,193,False,360,2013,2024
29-01-2024,137,False,480,420,True,10,191,False,360,2013,2024
15-01-2024,114,False,560,0,False,0,192,False,360,2013,2024
08-01-2024,116,False,560,0,False,0,190,False,360,2013,2024
01-01-2024,109,False,605,0,False,0,191,False,360,2013,2024
25-12-2023,109,False,605,0,False,0,191,False,360,2013,2024
18-12-2023,109,False,605,0,False,0,191,False,360,2013,2024
11-12-2023,109,False,605,0,False,0,191,False,360,2013,2024
04-12-2023,109,False,605,0,False,0,191,False,360,2013,2024
27-11-2023,106,False,605,0,False,0,190,False,360,2013,2024
20-11-2023,105,False,605,0,False,0,191,False,360,2013,2024
13-11-2023,103,False,605,104,False,605,193,False,360,2013,2024
06-11-2023,102,False,605,102,False,605,195,False,360,2013,2024
30-10-2023,93,False,650,99,False,605,196,False,360,2013,2024
23-10-2023,50,False,950,97,False,605,195,False,360,2013,2024
16-10-2023,45,False,995,94,False,605,198,False,360,2013,2024
02-10-2023,37,False,1175,89,False,605,203,True,360,2013,2024
25-09-2023,30,False,1325,87,False,605,205,True,360,2013,2024
18-09-2023,31,False,1325,86,False,605,204,True,360,2013,2024
11-09-2023,31,False,1325,83,False,605,202,True,360,2013,2024
28-08-2023,26,False,1415,76,False,605,202,True,360,2013,2024
21-08-2023,26,False,1415,76,False,605,201,True,360,2013,2024
14-08-2023,22,False,1505,74,False,605,151,False,540,2013,2024
07-08-2023,23,False,1515,71,False,605,149,False,540,2013,2024
31-07-2023,22,False,1515,67,False,605,150,False,540,2013,2024
24-07-2023,22,False,1515,60,False,605,153,False,540,2013,2024
17-07-2023,23,False,1515,56,False,605,154,False,540,2013,2024
03-07-2023,29,False,1335,79,False,425,148,False,540,2013,2024
26-06-2023,29,False,1335,79,False,425,147,False,540,2013,2024
19-06-2023,27,False,1290,88,False,380,148,False,540,2013,2024
12-06-2023,29,False,1290,80,False,380,117,False,720,2013,2024
29-05-2023,32,False,1210,106,False,290,107,False,810,2013,2024
22-05-2023,31,False,1210,104,False,290,107,False,810,2013,2024
08-05-2023,27,False,1390,90,False,290,111,False,810,2013,2024
24-04-2023,27,False,1425,82,False,280,134,False,630,2013,2024
17-04-2023,28,False,1380,90,False,235,134,False,630,2013,2024
10-04-2023,30,False,1380,84,False,235,133,False,630,2013,2024
03-04-2023,29,False,1380,75,False,235,135,False,630,2013,2024
20-03-2023,30,False,1345,76,False,190,105,False,810,2013,2024
06-03-2023,30,False,1380,67,False,180,119,False,720,2013,2024
27-02-2023,30,False,1335,87,False,135,115,False,720,2013,2024
20-02-2023,27,False,1515,74,False,135,117,False,720,2013,2024
13-02-2023,27,False,1560,58,True,135,97,False,870,2013,2024
06-02-2023,27,False,1560,47,False,135,85,False,960,2013,2024
30-01-2023,27,False,1560,41,False,135,88,False,960,2013,2024
16-01-2023,22,False,1830,95,True,45,88,False,960,2013,2024
09-01-2023,22,False,1830,74,True,45,88,False,960,2013,2024
02-01-2023,18,False,2075,0,False,0,78,False,1080,2013,2024
26-12-2022,18,False,2075,0,False,0,78,False,1080,2013,2024
19-12-2022,18,False,2075,0,False,0,78,False,1080,2013,2024
12-12-2022,18,False,2075,0,False,0,78,False,1080,2013,2024
05-12-2022,18,False,2075,0,False,0,78,False,1080,2013,2024
28-11-2022,18,False,2075,0,False,0,78,False,1080,2013,2024
21-11-2022,18,False,2075,0,False,0,75,False,1080,2013,2024
14-11-2022,18,False,2075,0,False,0,75,False,1080,2013,2024
07-11-2022,17,False,2225,17,False,2225,76,False,1080,2013,2024
31-10-2022,16,False,2180,16,False,2180,80,False,1080,2013,2024
24-10-2022,19,False,1925,19,False,1880,71,False,1170,2013,2024
17-10-2022,20,False,1880,20,False,1835,70,False,1170,2013,2024
10-10-2022,20,False,1925,20,False,1835,60,False,1350,2013,2024
03-10-2022,22,False,1745,21,False,1655,59,False,1350,2013,2024
26-09-2022,24,False,1640,23,False,1505,58,False,1350,2013,2024
19-09-2022,24,False,1640,23,False,1505,56,False,1350,2013,2024
12-09-2022,24,False,1640,23,False,1505,55,False,1350,2013,2024
29-08-2022,21,False,1640,21,False,1415,56,False,1350,2013,2024
22-08-2022,21,False,1640,21,False,1415,55,False,1350,2013,2024
15-08-2022,21,False,1560,21,False,1325,66,False,1170,2013,2024
08-08-2022,22,False,1560,19,False,1315,70,False,1170,2013,2024
01-08-2022,22,False,1573,19,False,1315,58,False,1350,2013,2024
25-07-2022,21,False,1573,17,False,1315,59,False,1350,2013,2024
18-07-2022,21,False,1573,17,False,1315,59,False,1350,2013,2024
11-07-2022,23,False,1573,17,False,1315,61,False,1350,2013,2024
27-06-2022,16,False,2293,17,False,1315,64,False,1350,2013,2024
20-06-2022,16,False,2293,17,False,1315,64,False,1350,2013,2024
13-06-2022,15,False,2473,16,False,1315,76,False,1170,2013,2024
06-06-2022,16,False,2531,16,False,1315,82,False,1155,2013,2024
23-05-2022,15,False,2531,12,False,1305,79,False,1155,2013,2024
16-05-2022,15,False,2671,11,False,1305,78,False,1155,2013,2024
09-05-2022,16,False,2671,12,False,1125,73,False,1245,2013,2024
02-05-2022,16,False,2671,10,False,1080,67,False,1425,2013,2024
25-04-2022,16,False,2671,10,False,1080,65,False,1425,2013,2024
18-04-2022,16,False,2693,9,False,1080,64,False,1425,2013,2024
11-04-2022,15,False,2693,11,False,930,67,False,1425,2013,2024
04-04-2022,15,False,2693,11,False,930,66,False,1425,2013,2024
21-03-2022,14,False,2863,9,False,920,72,False,1335,2013,2024
