rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,43,False,1097,104,False,300,233,False,277,2014,2024
27-05-2024,42,False,1087,97,False,290,335,False,187,2014,2024
20-05-2024,40,False,1087,96,False,290,335,False,187,2014,2024
06-05-2024,39,False,1138,87,False,280,334,False,187,2014,2024
22-04-2024,42,False,1139,106,False,220,328,False,187,2014,2024
15-04-2024,38,False,1139,98,False,220,326,False,187,2014,2024
08-04-2024,41,False,1089,115,False,170,330,False,187,2014,2024
01-04-2024,40,False,1089,101,False,170,332,False,187,2014,2024
18-03-2024,39,False,1085,110,False,140,334,False,187,2014,2024
04-03-2024,42,False,1080,123,False,110,385,False,155,2014,2024
26-02-2024,39,False,1080,113,False,110,382,False,155,2014,2024
19-02-2024,38,False,1080,91,False,110,380,False,155,2014,2024
12-02-2024,39,False,1090,78,False,110,380,False,155,2014,2024
05-02-2024,39,False,1090,65,False,110,378,False,155,2014,2024
29-01-2024,36,False,1190,57,True,110,376,False,155,2014,2024
15-01-2024,36,False,1190,24,True,100,375,False,155,2014,2024
08-01-2024,36,False,1190,16,True,100,377,False,155,2014,2024
01-01-2024,39,False,1122,0,False,0,420,False,135,2014,2024
25-12-2023,39,False,1122,0,False,0,419,False,135,2014,2024
18-12-2023,39,False,1122,0,False,0,419,False,135,2014,2024
11-12-2023,39,False,1122,0,False,0,420,False,135,2014,2024
04-12-2023,39,False,1122,0,False,0,419,False,135,2014,2024
27-11-2023,39,False,1122,0,False,0,413,False,135,2014,2024
20-11-2023,39,False,1122,0,False,0,417,False,135,2014,2024
13-11-2023,39,False,1122,39,False,1122,416,False,135,2014,2024
06-11-2023,39,False,1122,39,False,1122,416,False,135,2014,2024
30-10-2023,45,False,1007,43,False,1007,417,False,135,2014,2024
23-10-2023,43,False,1027,40,False,1007,419,False,135,2014,2024
16-10-2023,42,False,1007,40,False,987,416,False,135,2014,2024
02-10-2023,50,False,962,42,False,942,410,False,135,2014,2024
25-09-2023,41,False,1052,41,False,942,416,False,135,2014,2024
18-09-2023,55,False,902,52,False,792,567,True,90,2014,2024
11-09-2023,56,False,902,52,False,792,571,True,90,2014,2024
28-08-2023,60,False,857,54,False,747,0,False,0,2014,2024
21-08-2023,61,False,857,54,False,747,0,False,0,2014,2024
14-08-2023,63,False,847,50,False,737,0,False,0,2014,2024
07-08-2023,51,False,927,46,False,737,0,False,0,2014,2024
31-07-2023,48,False,943,45,False,737,0,False,0,2014,2024
24-07-2023,47,False,943,39,False,737,0,False,0,2014,2024
17-07-2023,43,False,1023,37,False,737,0,False,0,2014,2024
03-07-2023,92,False,663,92,False,377,0,False,0,2014,2024
26-06-2023,94,False,631,97,False,345,0,False,0,2014,2024
19-06-2023,99,False,611,99,False,325,0,False,0,2014,2024
12-06-2023,99,False,611,97,False,325,0,False,0,2014,2024
29-05-2023,99,False,647,80,False,325,1009,True,30,2014,2024
22-05-2023,98,False,647,79,False,325,1002,True,30,2014,2024
08-05-2023,103,False,586,102,False,264,1007,True,30,2014,2024
24-04-2023,112,False,525,112,False,203,1009,True,30,2014,2024
17-04-2023,106,False,557,103,False,203,1003,True,30,2014,2024
10-04-2023,104,False,557,96,False,203,998,True,30,2014,2024
03-04-2023,102,False,557,85,False,203,1007,True,30,2014,2024
20-03-2023,104,False,538,89,False,177,1002,False,30,2014,2024
06-03-2023,113,False,513,92,False,152,999,False,30,2014,2024
27-02-2023,109,False,513,80,False,152,997,False,30,2014,2024
20-02-2023,97,False,549,63,False,152,997,False,30,2014,2024
13-02-2023,83,False,641,52,False,142,993,False,30,2014,2024
06-02-2023,82,False,641,44,False,142,992,True,30,2014,2024
30-01-2023,100,False,547,183,False,42,981,True,30,2014,2024
16-01-2023,97,False,563,162,True,32,802,True,46,2014,2024
09-01-2023,98,False,563,129,False,32,804,True,46,2014,2024
02-01-2023,88,False,606,0,False,0,323,False,181,2014,2024
26-12-2022,88,False,606,0,False,0,323,False,181,2014,2024
19-12-2022,88,False,606,0,False,0,324,False,181,2014,2024
12-12-2022,88,False,606,0,False,0,324,False,181,2014,2024
05-12-2022,89,False,606,0,False,0,323,False,181,2014,2024
28-11-2022,88,False,606,0,False,0,322,False,181,2014,2024
21-11-2022,89,False,606,0,False,0,317,False,181,2014,2024
14-11-2022,90,False,606,0,False,0,315,False,181,2014,2024
07-11-2022,91,False,606,91,False,606,313,False,181,2014,2024
31-10-2022,92,False,606,87,False,606,319,False,181,2014,2024
24-10-2022,93,False,586,88,False,586,316,False,181,2014,2024
17-10-2022,92,False,586,87,False,586,307,False,181,2014,2024
10-10-2022,93,False,586,86,False,586,306,False,181,2014,2024
03-10-2022,92,False,586,84,False,586,300,False,181,2014,2024
26-09-2022,104,False,506,98,False,496,306,False,181,2014,2024
19-09-2022,107,False,506,95,False,496,306,False,181,2014,2024
12-09-2022,104,False,523,94,False,496,310,False,181,2014,2024
29-08-2022,101,False,530,85,False,496,263,False,225,2014,2024
22-08-2022,101,False,530,84,False,496,264,False,225,2014,2024
15-08-2022,97,False,537,77,False,496,261,False,225,2014,2024
08-08-2022,122,False,465,94,False,416,262,False,225,2014,2024
01-08-2022,124,False,449,93,False,400,263,False,225,2014,2024
25-07-2022,119,False,449,89,False,400,262,False,225,2014,2024
18-07-2022,151,False,369,113,False,320,267,False,225,2014,2024
11-07-2022,148,False,384,109,False,320,266,False,240,2014,2024
27-06-2022,147,False,392,105,False,320,268,False,240,2014,2024
20-06-2022,148,False,392,104,False,320,267,False,240,2014,2024
13-06-2022,152,False,392,100,False,320,274,False,240,2014,2024
06-06-2022,143,False,456,96,False,314,276,False,240,2014,2024
23-05-2022,146,False,428,94,False,284,301,False,210,2014,2024
16-05-2022,147,False,428,90,False,284,298,False,210,2014,2024
09-05-2022,148,False,428,86,False,284,302,False,210,2014,2024
02-05-2022,143,False,434,79,False,284,290,False,220,2014,2024
25-04-2022,145,False,436,78,False,284,291,False,222,2014,2024
18-04-2022,151,False,414,85,False,252,292,False,222,2014,2024
11-04-2022,147,False,424,64,False,252,291,False,222,2014,2024
04-04-2022,149,False,424,60,False,252,286,False,222,2014,2024
21-03-2022,143,False,442,56,False,245,286,False,225,2014,2024
07-03-2022,143,False,453,49,False,245,287,False,225,2014,2024
28-02-2022,147,False,453,47,False,245,283,False,232,2014,2024
21-02-2022,150,False,421,43,False,209,290,False,232,2014,2024
14-02-2022,163,False,392,67,False,107,285,False,247,2014,2024
07-02-2022,146,False,466,54,False,107,239,False,327,2014,2024
31-01-2022,148,False,466,43,False,101,246,False,312,2014,2024
17-01-2022,149,False,455,33,False,75,247,False,311,2014,2024
10-01-2022,146,False,478,26,False,75,255,False,296,2014,2024
03-01-2022,167,False,409,0,False,0,377,False,161,2014,2024
27-12-2021,167,False,409,207,False,219,377,False,161,2014,2024
20-12-2021,167,False,409,207,False,219,358,False,176,2014,2024
13-12-2021,167,False,409,206,False,219,359,False,176,2014,2024
06-12-2021,167,False,409,203,False,219,373,False,161,2014,2024
29-11-2021,168,False,409,200,False,219,373,False,161,2014,2024
22-11-2021,168,False,409,199,False,219,374,False,161,2014,2024
15-11-2021,167,False,409,199,False,219,373,False,161,2014,2024
08-11-2021,166,False,410,194,False,219,373,False,161,2014,2024
01-11-2021,166,False,411,190,False,219,375,False,161,2014,2024
25-10-2021,155,False,432,187,False,219,365,False,176,2014,2024
18-10-2021,160,False,432,185,False,219,364,False,176,2014,2024
04-10-2021,151,False,470,179,False,219,317,False,221,2014,2024
27-09-2021,152,False,467,179,False,209,317,False,221,2014,2024
20-09-2021,154,False,467,171,False,209,318,False,221,2014,2024
13-09-2021,158,False,457,184,True,192,317,False,221,2014,2024
