rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,173,False,354,121,False,260,528,False,100,2016,2024
27-05-2024,253,False,237,193,False,135,534,False,100,2016,2024
20-05-2024,253,False,237,190,False,135,535,False,100,2016,2024
06-05-2024,248,False,237,177,False,135,533,False,100,2016,2024
22-04-2024,251,False,231,171,False,129,531,False,100,2016,2024
15-04-2024,250,False,229,175,False,116,540,False,100,2016,2024
08-04-2024,249,False,229,168,False,116,536,False,100,2016,2024
01-04-2024,250,False,229,159,False,116,1155,True,25,2016,2024
18-03-2024,245,False,236,138,False,116,1141,True,25,2016,2024
04-03-2024,328,False,157,293,False,37,1148,True,25,2016,2024
26-02-2024,308,False,177,277,False,37,1148,True,25,2016,2024
19-02-2024,289,False,197,256,False,37,1146,True,25,2016,2024
12-02-2024,278,False,202,252,False,33,1140,True,25,2016,2024
05-02-2024,307,False,177,517,True,8,1144,True,25,2016,2024
29-01-2024,305,False,177,479,True,8,1146,True,25,2016,2024
15-01-2024,295,False,187,363,True,8,1140,True,25,2016,2024
08-01-2024,292,False,187,313,False,8,1140,True,25,2016,2024
01-01-2024,298,False,179,0,False,0,1137,True,25,2016,2024
25-12-2023,298,False,179,0,False,0,1133,True,25,2016,2024
18-12-2023,298,False,179,0,False,0,1131,True,25,2016,2024
11-12-2023,298,False,179,0,False,0,1133,True,25,2016,2024
04-12-2023,300,False,179,0,False,0,1133,True,25,2016,2024
27-11-2023,300,False,179,0,False,0,1133,True,25,2016,2024
20-11-2023,302,False,179,0,False,0,1140,True,25,2016,2024
13-11-2023,302,False,179,306,False,179,1133,True,25,2016,2024
06-11-2023,304,False,179,298,False,179,1135,True,25,2016,2024
30-10-2023,302,False,179,299,False,179,1134,True,25,2016,2024
23-10-2023,302,False,179,294,False,179,1138,True,25,2016,2024
16-10-2023,301,False,179,289,False,179,1132,True,25,2016,2024
02-10-2023,380,False,129,348,False,129,1133,True,25,2016,2024
25-09-2023,345,False,149,341,False,129,1141,True,25,2016,2024
18-09-2023,339,False,149,335,False,129,1134,True,25,2016,2024
11-09-2023,326,False,160,331,False,129,1127,True,25,2016,2024
28-08-2023,357,False,140,374,False,99,1131,True,25,2016,2024
21-08-2023,347,False,150,363,False,99,1129,True,25,2016,2024
14-08-2023,320,False,166,355,False,99,1130,True,25,2016,2024
07-08-2023,320,False,166,344,False,99,1125,True,25,2016,2024
31-07-2023,293,False,186,333,False,99,565,True,90,2016,2024
24-07-2023,306,False,172,363,False,85,570,True,90,2016,2024
17-07-2023,302,False,172,351,False,85,562,True,90,2016,2024
