rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
08-08-2022,0,False,0,0,False,0,0,False,0,2003,2022
01-08-2022,0,False,0,0,False,0,0,False,0,2003,2022
25-07-2022,1433,True,2,0,False,0,0,False,0,2003,2022
18-07-2022,1450,True,2,0,False,0,0,False,0,2003,2022
11-07-2022,814,True,18,0,False,0,0,False,0,2003,2022
27-06-2022,725,False,26,0,False,0,0,False,0,2003,2022
20-06-2022,547,False,55,0,False,0,0,False,0,2003,2022
13-06-2022,360,False,120,0,False,0,0,False,0,2003,2022
06-06-2022,347,False,130,0,False,0,0,False,0,2003,2022
23-05-2022,297,False,168,0,False,0,0,False,0,2003,2022
16-05-2022,293,False,168,0,False,0,0,False,0,2003,2022
09-05-2022,280,False,177,0,False,0,0,False,0,2003,2022
02-05-2022,274,False,182,0,False,0,0,False,0,2003,2022
25-04-2022,269,False,185,0,False,0,0,False,0,2003,2022
18-04-2022,271,False,185,0,False,0,0,False,0,2003,2022
11-04-2022,268,False,189,0,False,0,0,False,0,2003,2022
04-04-2022,267,False,189,0,False,0,0,False,0,2003,2022
21-03-2022,262,False,195,0,False,0,0,False,0,2003,2022
07-03-2022,263,False,199,0,False,0,0,False,0,2003,2022
28-02-2022,259,False,209,0,False,0,656,False,63,2003,2022
21-02-2022,259,False,209,0,False,0,663,False,63,2003,2022
14-02-2022,245,False,244,0,False,0,668,False,63,2003,2022
07-02-2022,249,False,244,0,False,0,662,False,63,2003,2022
31-01-2022,231,False,276,0,False,0,662,False,63,2003,2022
17-01-2022,232,False,276,0,False,0,669,False,63,2003,2022
10-01-2022,231,False,276,0,False,0,670,False,63,2003,2022
03-01-2022,232,False,276,0,False,0,250,False,313,2003,2022
27-12-2021,232,False,276,284,False,132,250,False,313,2003,2022
20-12-2021,232,False,276,284,False,132,250,False,313,2003,2022
13-12-2021,230,False,276,281,False,132,249,False,313,2003,2022
06-12-2021,229,False,276,274,False,132,248,False,313,2003,2022
29-11-2021,228,False,276,269,False,132,247,False,313,2003,2022
22-11-2021,229,False,276,264,True,132,246,False,313,2003,2022
15-11-2021,228,False,276,261,True,132,243,False,313,2003,2022
08-11-2021,225,False,288,254,True,132,245,False,313,2003,2022
01-11-2021,225,False,288,252,False,132,247,False,313,2003,2022
25-10-2021,220,False,292,249,False,132,249,False,313,2003,2022
18-10-2021,217,False,297,248,False,132,234,False,342,2003,2022
04-10-2021,211,False,309,240,True,132,239,False,357,2003,2022
27-09-2021,211,False,309,239,True,132,229,False,372,2003,2022
20-09-2021,211,False,309,235,True,132,231,False,372,2003,2022
13-09-2021,212,False,309,231,True,132,233,False,372,2003,2022
30-08-2021,218,False,315,220,True,132,240,False,372,2003,2022
23-08-2021,220,False,315,212,True,132,239,False,372,2003,2022
