rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,245,False,249,204,False,141,0,False,0,2008,2024
27-05-2024,247,False,247,194,False,135,0,False,0,2008,2024
20-05-2024,247,False,243,201,False,127,0,False,0,2008,2024
06-05-2024,256,False,230,208,False,111,0,False,0,2008,2024
22-04-2024,256,False,230,194,False,111,1074,True,30,2008,2024
15-04-2024,249,False,230,183,False,111,1077,False,30,2008,2024
08-04-2024,248,False,230,177,False,111,1078,False,30,2008,2024
01-04-2024,284,False,197,213,False,76,1076,False,30,2008,2024
18-03-2024,298,False,187,225,False,64,1076,False,30,2008,2024
04-03-2024,298,False,187,200,False,64,1076,False,30,2008,2024
26-02-2024,299,False,187,181,False,64,1066,False,30,2008,2024
19-02-2024,267,False,213,175,False,60,1063,False,30,2008,2024
12-02-2024,273,False,211,154,False,56,1056,False,30,2008,2024
05-02-2024,277,False,204,162,False,49,1061,False,30,2008,2024
29-01-2024,302,False,180,272,False,24,1062,False,30,2008,2024
15-01-2024,290,False,194,205,False,22,1067,False,30,2008,2024
08-01-2024,287,False,194,166,False,22,1068,False,30,2008,2024
01-01-2024,289,False,192,112,True,20,1065,False,30,2008,2024
25-12-2023,289,False,192,107,True,20,1066,False,30,2008,2024
18-12-2023,289,False,192,100,True,20,1062,False,30,2008,2024
11-12-2023,289,False,192,97,True,20,1061,False,30,2008,2024
04-12-2023,287,False,192,87,True,20,1057,False,30,2008,2024
27-11-2023,278,False,207,55,True,20,1056,False,30,2008,2024
20-11-2023,295,False,187,0,False,0,1052,True,30,2008,2024
13-11-2023,289,False,190,291,False,193,1051,True,30,2008,2024
06-11-2023,292,False,190,287,False,190,1051,True,30,2008,2024
30-10-2023,292,False,190,288,False,189,1051,True,30,2008,2024
23-10-2023,294,False,191,297,False,175,1052,True,30,2008,2024
16-10-2023,294,False,191,293,False,175,1056,True,30,2008,2024
02-10-2023,295,False,190,304,False,159,1025,False,32,2008,2024
25-09-2023,295,False,190,302,False,159,1023,False,32,2008,2024
18-09-2023,296,False,186,302,False,155,1025,False,32,2008,2024
11-09-2023,292,False,194,306,False,148,1018,False,32,2008,2024
28-08-2023,292,False,189,306,False,141,1013,True,32,2008,2024
21-08-2023,291,False,189,301,False,141,1011,False,32,2008,2024
14-08-2023,293,False,189,293,False,141,1006,False,32,2008,2024
07-08-2023,326,False,164,319,False,116,1009,False,32,2008,2024
31-07-2023,333,False,157,319,False,109,998,False,32,2008,2024
24-07-2023,344,False,150,323,False,102,985,False,32,2008,2024
17-07-2023,342,False,150,315,False,102,989,False,32,2008,2024
03-07-2023,353,False,140,323,False,90,992,False,32,2008,2024
26-06-2023,351,False,140,318,False,90,972,False,32,2008,2024
19-06-2023,345,False,140,307,False,90,965,False,32,2008,2024
12-06-2023,378,False,120,347,False,70,967,False,32,2008,2024
29-05-2023,390,False,118,333,False,68,979,False,32,2008,2024
22-05-2023,391,False,115,340,False,65,973,False,32,2008,2024
08-05-2023,394,False,115,324,False,65,979,False,32,2008,2024
24-04-2023,400,False,115,299,False,65,2190,True,2,2008,2024
17-04-2023,382,False,122,281,False,65,2186,True,2,2008,2024
10-04-2023,384,False,122,272,False,65,2178,True,2,2008,2024
03-04-2023,387,False,122,266,False,65,2255,True,2,2008,2024
20-03-2023,384,False,122,229,False,65,2253,True,2,2008,2024
06-03-2023,373,False,131,205,False,65,2302,True,2,2008,2024
27-02-2023,374,False,131,187,False,65,2296,True,2,2008,2024
20-02-2023,430,False,101,281,False,35,2294,True,2,2008,2024
13-02-2023,435,False,101,260,False,35,2296,True,2,2008,2024
06-02-2023,435,False,101,243,False,35,2305,True,2,2008,2024
30-01-2023,432,False,100,227,False,34,2299,True,2,2008,2024
16-01-2023,468,False,84,267,False,18,2311,True,2,2008,2024
09-01-2023,464,False,84,238,False,18,2314,True,2,2008,2024
02-01-2023,462,False,84,158,False,18,2328,True,2,2008,2024
26-12-2022,462,False,84,154,False,18,2325,True,2,2008,2024
19-12-2022,462,False,84,151,False,18,2325,True,2,2008,2024
12-12-2022,465,False,84,145,False,18,2323,True,2,2008,2024
05-12-2022,471,False,84,137,False,18,2321,True,2,2008,2024
28-11-2022,510,False,69,362,True,3,2324,True,2,2008,2024
21-11-2022,508,False,69,284,True,3,2323,True,2,2008,2024
14-11-2022,517,False,66,0,False,0,2329,True,2,2008,2024
07-11-2022,514,False,66,514,False,66,2336,True,2,2008,2024
31-10-2022,513,False,66,508,False,66,2329,True,2,2008,2024
24-10-2022,581,False,50,568,False,50,2325,True,2,2008,2024
17-10-2022,580,False,50,564,False,50,2317,True,2,2008,2024
10-10-2022,577,False,50,551,False,50,2331,True,2,2008,2024
03-10-2022,659,False,35,639,False,35,0,False,0,2008,2024
26-09-2022,660,False,35,632,False,35,0,False,0,2008,2024
19-09-2022,659,False,35,625,False,35,0,False,0,2008,2024
12-09-2022,801,False,20,755,False,20,0,False,0,2008,2024
29-08-2022,825,False,18,759,False,18,0,False,0,2008,2024
22-08-2022,817,False,18,743,False,18,0,False,0,2008,2024
15-08-2022,810,False,18,729,False,18,0,False,0,2008,2024
08-08-2022,813,False,18,715,False,18,0,False,0,2008,2024
01-08-2022,616,False,36,695,False,18,0,False,0,2008,2024
25-07-2022,619,False,36,685,False,18,0,False,0,2008,2024
18-07-2022,518,False,59,671,False,18,0,False,0,2008,2024
11-07-2022,528,False,59,659,False,18,0,False,0,2008,2024
27-06-2022,505,False,69,657,False,16,0,False,0,2008,2024
20-06-2022,428,False,92,646,False,16,0,False,0,2008,2024
13-06-2022,430,False,92,632,False,16,0,False,0,2008,2024
06-06-2022,431,False,92,622,False,16,0,False,0,2008,2024
23-05-2022,417,False,97,593,False,16,0,False,0,2008,2024
16-05-2022,415,False,97,580,False,16,0,False,0,2008,2024
09-05-2022,413,False,97,569,False,16,0,False,0,2008,2024
02-05-2022,416,False,97,556,False,16,0,False,0,2008,2024
25-04-2022,408,False,97,541,False,16,0,False,0,2008,2024
18-04-2022,413,False,97,649,False,9,0,False,0,2008,2024
11-04-2022,368,False,113,523,False,9,0,False,0,2008,2024
04-04-2022,344,False,123,506,False,9,0,False,0,2008,2024
21-03-2022,319,False,143,443,False,9,0,False,0,2008,2024
07-03-2022,320,False,141,0,False,0,0,False,0,2008,2024
28-02-2022,316,False,149,0,False,0,0,False,0,2008,2024
21-02-2022,317,False,149,0,False,0,0,False,0,2008,2024
14-02-2022,260,False,219,0,False,0,0,False,0,2008,2024
07-02-2022,258,False,225,0,False,0,0,False,0,2008,2024
31-01-2022,258,False,225,0,False,0,0,False,0,2008,2024
17-01-2022,262,False,225,0,False,0,0,False,0,2008,2024
10-01-2022,257,False,231,0,False,0,0,False,0,2008,2024
03-01-2022,260,False,231,0,False,0,0,False,0,2008,2024
27-12-2021,260,False,231,312,False,115,0,False,0,2008,2024
20-12-2021,260,False,231,312,False,115,0,False,0,2008,2024
13-12-2021,259,False,231,308,False,115,0,False,0,2008,2024
06-12-2021,254,False,231,303,False,115,0,False,0,2008,2024
29-11-2021,252,False,231,298,False,115,0,False,0,2008,2024
22-11-2021,253,False,231,292,True,115,0,False,0,2008,2024
15-11-2021,250,False,231,288,True,115,0,False,0,2008,2024
08-11-2021,250,False,231,282,True,115,0,False,0,2008,2024
01-11-2021,252,False,231,277,False,115,0,False,0,2008,2024
25-10-2021,255,False,231,274,True,115,0,False,0,2008,2024
18-10-2021,258,False,231,268,False,115,0,False,0,2008,2024
04-10-2021,266,False,231,258,True,115,0,False,0,2008,2024
27-09-2021,261,False,241,257,True,115,0,False,0,2008,2024
20-09-2021,262,False,241,253,True,115,0,False,0,2008,2024
13-09-2021,262,False,241,247,True,115,0,False,0,2008,2024
30-08-2021,265,False,241,239,True,115,0,False,0,2008,2024
23-08-2021,261,False,241,237,True,115,0,False,0,2008,2024
16-08-2021,260,False,241,233,False,115,0,False,0,2008,2024
09-08-2021,259,False,241,226,False,115,0,False,0,2008,2024
02-08-2021,252,False,258,223,False,115,0,False,0,2008,2024
26-07-2021,253,False,258,217,False,115,0,False,0,2008,2024
19-07-2021,242,False,280,206,False,115,0,False,0,2008,2024
12-07-2021,242,False,280,200,False,115,0,False,0,2008,2024
28-06-2021,241,False,285,195,False,107,0,False,0,2008,2024
21-06-2021,224,False,307,192,False,107,0,False,0,2008,2024
14-06-2021,223,False,307,177,True,107,0,False,0,2008,2024
31-05-2021,214,False,322,159,False,107,0,False,0,2008,2024
24-05-2021,213,False,322,155,False,107,0,False,0,2008,2024
17-05-2021,213,False,322,148,False,107,0,False,0,2008,2024
10-05-2021,207,False,338,141,False,107,0,False,0,2008,2024
03-05-2021,206,False,338,134,False,107,0,False,0,2008,2024
26-04-2021,207,False,338,125,False,107,0,False,0,2008,2024
19-04-2021,210,False,331,126,False,100,0,False,0,2008,2024
12-04-2021,216,False,315,144,False,84,0,False,0,2008,2024
05-04-2021,211,False,325,136,False,84,0,False,0,2008,2024
22-03-2021,209,False,330,123,False,77,0,False,0,2008,2024
15-03-2021,211,False,323,116,False,70,0,False,0,2008,2024
08-03-2021,211,False,323,101,False,70,0,False,0,2008,2024
01-03-2021,211,False,323,88,False,70,0,False,0,2008,2024
22-02-2021,209,False,323,69,False,70,0,False,0,2008,2024
08-02-2021,233,False,253,0,False,0,0,False,0,2008,2024
01-02-2021,229,False,253,0,False,0,0,False,0,2008,2024
25-01-2021,229,False,253,0,False,0,0,False,0,2008,2024
18-01-2021,228,False,253,0,False,0,0,False,0,2008,2024
11-01-2021,228,False,253,0,False,0,0,False,0,2008,2024
04-01-2021,228,False,253,0,False,20,0,False,0,2008,2024
28-12-2020,226,False,253,0,False,0,0,False,0,2008,2024
21-12-2020,226,False,253,0,False,0,0,False,0,2008,2024
14-12-2020,226,False,253,0,False,0,0,False,0,2008,2024
07-12-2020,226,False,253,0,False,0,0,False,0,2008,2024
30-11-2020,226,False,253,0,False,0,0,False,0,2008,2024
23-11-2020,226,False,253,0,False,0,0,False,0,2008,2024
16-11-2020,226,False,253,0,False,0,0,False,0,2008,2024
09-11-2020,224,False,253,0,False,0,0,False,0,2008,2024
02-11-2020,223,False,253,0,False,0,0,False,0,2008,2024
26-10-2020,222,False,253,0,False,0,0,False,0,2008,2024
19-10-2020,220,False,253,0,False,0,0,False,0,2008,2024
12-10-2020,217,False,253,0,False,0,0,False,0,2008,2024
28-09-2020,212,False,253,0,False,0,0,False,0,2008,2024
21-09-2020,211,False,253,0,False,0,0,False,0,2008,2024
14-09-2020,209,False,253,0,False,0,0,False,0,2008,2024
31-08-2020,204,False,253,0,False,0,0,False,0,2008,2024
24-08-2020,203,False,253,0,False,0,0,False,0,2008,2024
16-03-2020,202,False,253,383,False,20,0,False,0,2008,2024
09-03-2020,200,False,253,366,False,20,0,False,0,2008,2024
02-03-2020,203,False,245,450,False,12,0,False,0,2008,2024
24-02-2020,201,False,255,426,False,12,0,False,0,2008,2024
17-02-2020,197,False,249,550,True,6,0,False,0,2008,2024
10-02-2020,191,False,263,0,False,0,0,False,0,2008,2024
03-02-2020,190,False,263,0,False,0,0,False,0,2008,2024
20-01-2020,182,False,273,0,False,0,0,False,0,2008,2024
13-01-2020,183,False,273,0,False,0,0,False,0,2008,2024
06-01-2020,182,False,273,0,False,0,0,False,0,2008,2024
30-12-2019,185,False,273,0,False,0,0,False,0,2008,2024
23-12-2019,185,False,273,0,False,0,0,False,0,2008,2024
16-12-2019,185,False,273,0,False,0,0,False,0,2008,2024
09-12-2019,186,False,273,0,False,0,0,False,0,2008,2024
02-12-2019,187,False,273,0,False,0,0,False,0,2008,2024
25-11-2019,187,False,273,0,False,0,0,False,0,2008,2024
18-11-2019,186,False,273,0,False,0,0,False,0,2008,2024
11-11-2019,184,False,273,0,False,0,0,False,0,2008,2024
04-11-2019,187,False,273,187,False,273,0,False,0,2008,2024
28-10-2019,188,False,273,183,False,273,0,False,0,2008,2024
21-10-2019,185,False,273,179,False,273,0,False,0,2008,2024
14-10-2019,184,False,273,174,False,273,0,False,0,2008,2024
07-10-2019,184,False,273,169,False,273,0,False,0,2008,2024
30-09-2019,191,False,263,173,False,263,0,False,0,2008,2024
23-09-2019,109,False,525,171,False,263,0,False,0,2008,2024
16-09-2019,106,False,537,169,False,263,0,False,0,2008,2024
09-09-2019,107,False,537,166,False,263,0,False,0,2008,2024
26-08-2019,85,False,617,157,False,263,0,False,0,2008,2024
19-08-2019,86,False,617,157,False,263,0,False,0,2008,2024
12-08-2019,88,False,617,156,False,263,0,False,0,2008,2024
05-08-2019,95,False,582,170,False,228,0,False,0,2008,2024
29-07-2019,96,False,582,165,False,228,0,False,0,2008,2024
22-07-2019,106,False,537,180,False,183,0,False,0,2008,2024
15-07-2019,103,False,549,179,False,183,0,False,0,2008,2024
01-07-2019,96,False,593,179,False,166,0,False,0,2008,2024
24-06-2019,101,False,548,211,False,121,0,False,0,2008,2024
17-06-2019,102,False,548,205,False,121,0,False,0,2008,2024
10-06-2019,88,False,650,202,False,121,0,False,0,2008,2024
27-05-2019,84,False,665,210,False,101,0,False,0,2008,2024
20-05-2019,82,False,665,204,False,101,0,False,0,2008,2024
13-05-2019,85,False,649,218,False,85,0,False,0,2008,2024
06-05-2019,73,False,724,212,False,85,0,False,0,2008,2024
29-04-2019,76,False,724,202,False,85,0,False,0,2008,2024
22-04-2019,77,False,724,195,False,85,0,False,0,2008,2024
15-04-2019,73,False,724,188,False,85,0,False,0,2008,2024
08-04-2019,79,False,704,212,False,65,0,False,0,2008,2024
01-04-2019,79,False,704,206,False,65,0,False,0,2008,2024
18-03-2019,81,False,679,248,False,40,632,True,15,2008,2024
11-03-2019,82,False,679,230,False,40,630,True,15,2008,2024
04-03-2019,82,False,679,230,False,40,630,True,15,2008,2024
25-02-2019,83,False,669,244,False,30,633,True,15,2008,2024
18-02-2019,85,False,669,224,True,30,622,True,15,2008,2024
11-02-2019,87,False,649,312,True,10,619,True,15,2008,2024
04-02-2019,85,False,649,289,True,10,620,True,15,2008,2024
28-01-2019,86,False,649,277,True,10,619,True,15,2008,2024
14-01-2019,88,False,655,0,False,0,622,True,15,2008,2024
07-01-2019,85,False,655,0,False,0,622,True,15,2008,2024
31-12-2018,83,False,655,0,False,0,624,True,15,2008,2024
24-12-2018,83,False,655,0,False,0,624,True,15,2008,2024
17-12-2018,83,False,655,0,False,0,1229,True,15,2008,2024
10-12-2018,83,False,655,0,False,0,1231,True,15,2008,2024
03-12-2018,83,False,655,0,False,0,1237,True,15,2008,2024
26-11-2018,83,False,655,0,False,0,1239,True,15,2008,2024
19-11-2018,84,False,655,0,False,0,1235,True,15,2008,2024
12-11-2018,83,False,655,0,False,0,1235,True,15,2008,2024
05-11-2018,84,False,664,84,False,664,1237,True,15,2008,2024
29-10-2018,85,False,664,79,False,664,1239,True,15,2008,2024
22-10-2018,83,False,664,78,False,664,1237,True,15,2008,2024
15-10-2018,85,False,670,78,False,664,1238,True,15,2008,2024
08-10-2018,85,False,670,73,False,664,1241,True,15,2008,2024
01-10-2018,76,False,715,73,False,664,1236,True,15,2008,2024
24-09-2018,123,False,453,121,False,402,1235,True,15,2008,2024
17-09-2018,129,False,441,120,False,390,1235,True,15,2008,2024
10-09-2018,129,False,441,118,False,390,1239,True,15,2008,2024
27-08-2018,152,False,371,142,False,310,1251,True,15,2008,2024
20-08-2018,153,False,371,142,False,310,1240,True,15,2008,2024
13-08-2018,152,False,371,140,False,310,1229,True,15,2008,2024
06-08-2018,150,False,371,134,False,310,1234,True,15,2008,2024
30-07-2018,153,False,371,128,False,310,1231,True,15,2008,2024
