rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,134,False,483,339,False,72,0,False,0,2010,2024
27-05-2024,131,False,496,346,False,64,0,False,0,2010,2024
20-05-2024,131,False,496,337,False,64,0,False,0,2010,2024
06-05-2024,117,False,547,303,False,64,0,False,0,2010,2024
22-04-2024,110,False,562,321,False,54,0,False,0,2010,2024
15-04-2024,105,False,601,302,False,54,0,False,0,2010,2024
08-04-2024,97,False,635,291,False,54,0,False,0,2010,2024
01-04-2024,91,False,655,417,False,29,882,True,45,2010,2024
18-03-2024,90,False,655,408,False,23,880,True,45,2010,2024
04-03-2024,91,False,655,380,False,23,880,True,45,2010,2024
26-02-2024,92,False,655,362,False,23,879,True,45,2010,2024
19-02-2024,89,False,655,341,False,23,884,False,45,2010,2024
12-02-2024,90,False,664,323,False,23,884,False,45,2010,2024
05-02-2024,90,False,664,299,False,23,884,False,45,2010,2024
29-01-2024,90,False,664,276,False,23,887,False,45,2010,2024
15-01-2024,92,False,654,282,True,13,889,False,45,2010,2024
08-01-2024,94,False,654,247,True,13,886,False,45,2010,2024
01-01-2024,98,False,652,0,False,0,887,False,45,2010,2024
25-12-2023,98,False,652,0,False,0,886,False,45,2010,2024
18-12-2023,98,False,652,0,False,0,885,False,45,2010,2024
11-12-2023,98,False,652,0,False,0,884,False,45,2010,2024
04-12-2023,98,False,652,0,False,0,876,False,45,2010,2024
27-11-2023,98,False,652,0,False,0,865,False,45,2010,2024
20-11-2023,97,False,652,0,False,0,861,False,45,2010,2024
13-11-2023,95,False,652,95,False,652,857,False,45,2010,2024
06-11-2023,95,False,643,94,False,643,862,False,45,2010,2024
30-10-2023,108,False,573,106,False,573,858,False,45,2010,2024
23-10-2023,99,False,618,106,False,573,858,False,45,2010,2024
16-10-2023,86,False,688,104,False,553,857,False,45,2010,2024
02-10-2023,72,False,756,102,False,542,858,False,45,2010,2024
25-09-2023,81,False,731,106,False,497,861,False,45,2010,2024
18-09-2023,80,False,736,105,False,497,862,False,45,2010,2024
11-09-2023,73,False,771,103,False,497,873,False,45,2010,2024
28-08-2023,81,False,726,103,False,452,880,False,45,2010,2024
21-08-2023,82,False,726,101,False,452,881,False,45,2010,2024
14-08-2023,83,False,706,101,False,452,873,True,45,2010,2024
07-08-2023,84,False,706,97,False,452,877,True,45,2010,2024
31-07-2023,116,False,556,137,False,302,868,True,45,2010,2024
24-07-2023,112,False,581,142,False,282,864,True,45,2010,2024
17-07-2023,94,False,631,146,False,262,852,True,45,2010,2024
03-07-2023,91,False,666,141,False,252,857,False,45,2010,2024
26-06-2023,90,False,666,139,False,252,849,False,45,2010,2024
19-06-2023,89,False,666,137,False,252,849,False,45,2010,2024
12-06-2023,89,False,666,133,False,252,848,False,45,2010,2024
29-05-2023,92,False,666,121,False,231,856,False,45,2010,2024
22-05-2023,91,False,666,121,False,231,845,False,45,2010,2024
08-05-2023,96,False,640,149,False,180,850,True,45,2010,2024
24-04-2023,93,False,625,154,False,155,855,False,45,2010,2024
17-04-2023,101,False,580,192,False,110,853,False,45,2010,2024
10-04-2023,106,False,555,271,False,65,847,False,45,2010,2024
03-04-2023,111,False,510,512,False,20,0,False,0,2010,2024
20-03-2023,106,False,530,467,False,20,0,False,0,2010,2024
06-03-2023,102,False,550,444,False,20,0,False,0,2010,2024
27-02-2023,99,False,550,429,True,20,0,False,0,2010,2024
20-02-2023,96,False,550,407,False,20,0,False,0,2010,2024
13-02-2023,99,False,550,0,False,0,0,False,0,2010,2024
06-02-2023,96,False,550,0,False,0,0,False,0,2010,2024
30-01-2023,99,False,550,0,False,0,0,False,0,2010,2024
16-01-2023,98,False,561,0,False,0,0,False,0,2010,2024
09-01-2023,99,False,561,0,False,0,0,False,0,2010,2024
02-01-2023,102,False,561,0,False,0,0,False,0,2010,2024
26-12-2022,102,False,561,0,False,0,0,False,0,2010,2024
19-12-2022,102,False,561,0,False,0,0,False,0,2010,2024
12-12-2022,103,False,561,0,False,0,0,False,0,2010,2024
05-12-2022,105,False,561,0,False,0,0,False,0,2010,2024
28-11-2022,106,False,561,0,False,0,0,False,0,2010,2024
21-11-2022,106,False,561,0,False,0,0,False,0,2010,2024
14-11-2022,102,False,561,0,False,0,0,False,0,2010,2024
07-11-2022,102,False,561,102,False,561,0,False,0,2010,2024
31-10-2022,100,False,561,100,False,550,0,False,0,2010,2024
24-10-2022,113,False,505,112,False,485,0,False,0,2010,2024
17-10-2022,132,False,426,129,False,415,0,False,0,2010,2024
10-10-2022,165,False,336,147,False,336,0,False,0,2010,2024
03-10-2022,162,False,336,141,False,336,0,False,0,2010,2024
26-09-2022,173,False,316,146,False,316,0,False,0,2010,2024
19-09-2022,182,False,296,157,False,296,0,False,0,2010,2024
12-09-2022,216,False,241,181,False,241,0,False,0,2010,2024
29-08-2022,211,False,241,169,False,241,0,False,0,2010,2024
22-08-2022,231,False,221,183,False,221,0,False,0,2010,2024
15-08-2022,228,False,221,180,False,221,0,False,0,2010,2024
08-08-2022,232,False,221,174,False,221,0,False,0,2010,2024
01-08-2022,172,False,311,172,False,221,0,False,0,2010,2024
25-07-2022,199,False,266,203,False,176,0,False,0,2010,2024
18-07-2022,274,False,176,348,False,86,0,False,0,2010,2024
11-07-2022,339,False,131,491,False,41,0,False,0,2010,2024
27-06-2022,346,False,125,534,False,30,0,False,0,2010,2024
20-06-2022,343,False,125,523,False,30,0,False,0,2010,2024
13-06-2022,352,False,125,512,False,30,0,False,0,2010,2024
06-06-2022,198,False,305,502,False,30,0,False,0,2010,2024
23-05-2022,189,False,295,553,False,20,0,False,0,2010,2024
16-05-2022,194,False,295,540,False,20,0,False,0,2010,2024
09-05-2022,162,False,375,661,False,10,0,False,0,2010,2024
02-05-2022,91,False,725,0,False,0,243,False,300,2010,2024
25-04-2022,93,False,725,0,False,0,242,False,300,2010,2024
18-04-2022,54,False,975,0,False,0,240,False,300,2010,2024
11-04-2022,51,False,1020,0,False,0,220,False,345,2010,2024
04-04-2022,50,False,1020,0,False,0,217,False,345,2010,2024
21-03-2022,50,False,1025,0,False,0,215,False,345,2010,2024
07-03-2022,50,False,1070,0,False,0,213,False,345,2010,2024
28-02-2022,51,False,1070,0,False,0,216,False,345,2010,2024
21-02-2022,52,False,1070,0,False,0,220,False,345,2010,2024
14-02-2022,40,False,1340,0,False,0,228,False,345,2010,2024
07-02-2022,39,False,1340,0,False,0,228,False,345,2010,2024
31-01-2022,37,False,1390,0,False,0,232,False,345,2010,2024
17-01-2022,16,False,2410,0,False,0,234,False,345,2010,2024
10-01-2022,15,False,2410,0,False,0,233,False,345,2010,2024
03-01-2022,15,False,2425,0,False,0,230,False,345,2010,2024
27-12-2021,15,False,2425,69,False,735,230,False,345,2010,2024
20-12-2021,15,False,2425,69,False,735,230,False,345,2010,2024
13-12-2021,15,False,2425,69,False,735,229,False,345,2010,2024
06-12-2021,15,False,2425,69,False,735,227,False,345,2010,2024
29-11-2021,15,False,2425,69,False,735,227,False,345,2010,2024
22-11-2021,15,False,2425,68,False,735,227,False,345,2010,2024
15-11-2021,15,False,2425,65,False,735,227,False,345,2010,2024
08-11-2021,14,False,2425,65,False,735,228,False,345,2010,2024
01-11-2021,12,False,3225,60,False,735,232,False,345,2010,2024
25-10-2021,9,False,3405,59,False,735,234,False,345,2010,2024
18-10-2021,8,False,3815,55,False,735,233,False,345,2010,2024
04-10-2021,8,False,4495,54,False,735,243,False,345,2010,2024
27-09-2021,8,False,4995,54,False,735,206,False,435,2010,2024
20-09-2021,8,False,4995,53,False,735,204,False,435,2010,2024
13-09-2021,8,False,4995,52,False,735,206,False,435,2010,2024
30-08-2021,6,False,6995,47,False,735,209,False,435,2010,2024
23-08-2021,6,False,6995,46,False,735,211,False,435,2010,2024
16-08-2021,6,False,7005,44,False,735,211,False,435,2010,2024
09-08-2021,6,False,7005,43,False,735,211,False,435,2010,2024
02-08-2021,6,False,7095,40,False,735,211,False,435,2010,2024
26-07-2021,6,False,7340,37,False,735,207,False,435,2010,2024
19-07-2021,6,False,7340,34,False,735,207,False,435,2010,2024
12-07-2021,6,False,7425,34,False,735,208,False,435,2010,2024
28-06-2021,5,False,7425,32,False,735,208,False,435,2010,2024
21-06-2021,5,False,7425,31,False,735,206,False,435,2010,2024
14-06-2021,5,False,7425,27,True,735,206,False,435,2010,2024
31-05-2021,4,False,8445,18,False,725,203,False,435,2010,2024
24-05-2021,4,False,8445,17,False,725,203,False,435,2010,2024
17-05-2021,4,False,8445,16,False,725,203,False,435,2010,2024
10-05-2021,4,False,8365,22,False,635,181,False,525,2010,2024
03-05-2021,4,False,8365,56,True,275,132,False,825,2010,2024
26-04-2021,4,False,8365,53,False,275,131,False,825,2010,2024
19-04-2021,4,False,8615,47,False,275,130,False,825,2010,2024
12-04-2021,4,False,8660,43,False,275,120,False,870,2010,2024
05-04-2021,4,False,8660,36,False,275,121,False,870,2010,2024
22-03-2021,4,False,8625,34,False,275,121,False,870,2010,2024
15-03-2021,4,False,8625,28,False,275,120,False,870,2010,2024
08-03-2021,4,False,9125,30,True,230,120,False,870,2010,2024
01-03-2021,4,False,9125,22,True,230,120,False,870,2010,2024
22-02-2021,4,False,9125,17,True,230,118,False,870,2010,2024
08-02-2021,3,False,9125,36,True,50,117,False,870,2010,2024
01-02-2021,3,False,9125,0,False,0,115,False,870,2010,2024
25-01-2021,3,False,9125,0,False,0,113,False,870,2010,2024
18-01-2021,3,False,9125,0,False,0,113,False,870,2010,2024
11-01-2021,3,False,9125,0,False,0,113,False,870,2010,2024
04-01-2021,3,False,9125,0,False,3815,113,False,870,2010,2024
28-12-2020,3,False,9125,0,False,0,112,False,870,2010,2024
21-12-2020,3,False,9125,0,False,0,112,False,870,2010,2024
14-12-2020,3,False,9125,0,False,0,112,False,870,2010,2024
07-12-2020,3,False,9125,0,False,0,112,False,870,2010,2024
30-11-2020,3,False,9125,0,False,0,112,False,870,2010,2024
23-11-2020,3,False,9125,0,False,0,112,False,870,2010,2024
16-11-2020,3,False,9125,0,False,0,112,False,870,2010,2024
09-11-2020,3,False,9125,0,False,0,112,False,870,2010,2024
02-11-2020,3,False,9125,0,False,0,108,False,870,2010,2024
26-10-2020,3,False,9125,0,False,0,108,False,870,2010,2024
19-10-2020,3,False,9125,0,False,0,108,False,870,2010,2024
12-10-2020,3,False,9125,0,False,0,107,False,870,2010,2024
28-09-2020,3,False,9125,0,False,0,103,False,870,2010,2024
21-09-2020,3,False,9125,0,False,0,102,False,870,2010,2024
14-09-2020,3,False,9125,0,False,0,101,False,870,2010,2024
31-08-2020,3,False,7135,0,False,0,100,False,870,2010,2024
24-08-2020,3,False,7045,0,False,0,96,False,870,2010,2024
16-03-2020,3,False,7045,2,False,1355,96,False,870,2010,2024
09-03-2020,3,False,7045,2,False,1355,96,False,870,2010,2024
02-03-2020,3,False,7045,2,False,1355,96,False,870,2010,2024
24-02-2020,4,False,7045,2,False,1355,96,False,870,2010,2024
17-02-2020,4,False,7045,2,False,1265,98,False,870,2010,2024
10-02-2020,4,False,7045,2,False,1265,79,False,1020,2010,2024
03-02-2020,4,False,7045,2,False,1265,80,False,1020,2010,2024
20-01-2020,5,False,5890,52,False,65,77,False,1020,2010,2024
13-01-2020,5,False,5890,43,True,65,77,False,1020,2010,2024
06-01-2020,4,False,5825,0,False,0,75,False,1020,2010,2024
30-12-2019,4,False,5825,0,False,0,78,False,1020,2010,2024
23-12-2019,4,False,5825,0,False,0,78,False,1020,2010,2024
16-12-2019,4,False,5825,0,False,0,78,False,1020,2010,2024
09-12-2019,4,False,5825,0,False,0,78,False,1020,2010,2024
02-12-2019,4,False,5825,0,False,0,78,False,1020,2010,2024
25-11-2019,4,False,5825,0,False,0,78,False,1020,2010,2024
18-11-2019,4,False,5825,0,False,0,78,False,1020,2010,2024
11-11-2019,5,False,5025,0,False,0,79,False,1020,2010,2024
04-11-2019,5,False,5025,5,False,5025,80,False,1020,2010,2024
28-10-2019,5,False,5495,5,False,4935,81,False,1020,2010,2024
21-10-2019,5,False,5085,5,False,4525,80,False,1020,2010,2024
14-10-2019,5,False,5085,5,False,4525,81,False,1020,2010,2024
07-10-2019,5,False,4915,5,False,4345,67,False,1200,2010,2024
30-09-2019,5,False,4415,5,False,3845,75,False,1110,2010,2024
23-09-2019,5,False,4415,5,False,3845,76,False,1110,2010,2024
16-09-2019,5,False,4575,5,False,3845,74,False,1110,2010,2024
09-09-2019,5,False,4575,5,False,3845,75,False,1110,2010,2024
26-08-2019,4,False,4925,4,False,3835,78,False,1110,2010,2024
19-08-2019,4,False,4925,4,False,3835,78,False,1110,2010,2024
12-08-2019,4,False,4925,4,False,3835,77,False,1110,2010,2024
05-08-2019,4,False,4755,4,False,3655,77,False,1110,2010,2024
29-07-2019,4,False,4595,4,False,3405,78,False,1110,2010,2024
22-07-2019,4,False,4595,4,False,3315,80,False,1110,2010,2024
15-07-2019,4,False,4595,4,False,3315,79,False,1110,2010,2024
01-07-2019,4,False,4595,4,False,3305,82,False,1110,2010,2024
24-06-2019,4,False,4595,4,False,3305,80,False,1110,2010,2024
17-06-2019,4,False,4685,4,False,3305,81,False,1110,2010,2024
10-06-2019,4,False,4685,4,False,3305,81,False,1110,2010,2024
27-05-2019,4,False,4685,5,False,2105,81,False,1110,2010,2024
