rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,205,False,297,197,False,146,357,False,178,2011,2024
27-05-2024,211,False,289,189,False,138,355,False,178,2011,2024
20-05-2024,215,False,289,185,False,138,354,False,178,2011,2024
06-05-2024,194,False,308,181,False,132,313,False,203,2011,2024
22-04-2024,193,False,315,168,False,132,370,False,171,2011,2024
15-04-2024,193,False,321,159,False,132,390,False,155,2011,2024
08-04-2024,188,False,330,153,False,132,503,False,112,2011,2024
01-04-2024,186,False,330,142,False,132,500,False,112,2011,2024
18-03-2024,186,False,330,117,False,132,493,False,112,2011,2024
04-03-2024,193,False,311,129,False,107,493,False,112,2011,2024
26-02-2024,203,False,297,134,False,91,500,False,109,2011,2024
19-02-2024,205,False,297,114,False,91,457,False,125,2011,2024
12-02-2024,203,False,297,103,False,91,458,False,125,2011,2024
05-02-2024,213,False,285,95,False,79,453,False,125,2011,2024
29-01-2024,215,False,285,86,False,79,456,False,125,2011,2024
15-01-2024,209,False,293,43,False,79,458,False,125,2011,2024
08-01-2024,211,False,293,33,False,79,457,False,125,2011,2024
01-01-2024,225,False,280,17,False,66,454,False,125,2011,2024
25-12-2023,225,False,280,17,False,66,452,False,125,2011,2024
18-12-2023,225,False,280,17,False,66,452,False,125,2011,2024
11-12-2023,225,False,280,17,False,66,450,False,125,2011,2024
04-12-2023,225,False,280,17,False,66,452,False,125,2011,2024
27-11-2023,238,False,260,19,True,46,447,False,125,2011,2024
20-11-2023,247,False,244,14,True,30,453,False,125,2011,2024
13-11-2023,271,False,214,272,False,214,449,False,125,2011,2024
06-11-2023,266,False,221,264,False,214,449,False,125,2011,2024
30-10-2023,264,False,221,260,False,221,446,False,125,2011,2024
23-10-2023,276,False,214,262,False,214,404,False,141,2011,2024
16-10-2023,285,False,198,273,False,198,403,False,141,2011,2024
02-10-2023,200,False,312,269,False,190,441,False,127,2011,2024
25-09-2023,201,False,312,263,False,190,443,False,127,2011,2024
18-09-2023,203,False,306,263,False,184,435,False,127,2011,2024
11-09-2023,215,False,290,279,False,168,424,False,127,2011,2024
28-08-2023,256,False,238,335,False,116,482,False,111,2011,2024
21-08-2023,255,False,238,331,False,116,478,False,111,2011,2024
14-08-2023,256,False,238,325,False,116,480,False,111,2011,2024
07-08-2023,255,False,240,320,False,116,482,False,111,2011,2024
31-07-2023,246,False,240,306,False,116,480,False,111,2011,2024
24-07-2023,233,False,256,299,False,116,480,False,111,2011,2024
17-07-2023,252,False,231,357,False,84,476,False,111,2011,2024
03-07-2023,246,False,242,336,False,84,462,False,114,2011,2024
26-06-2023,247,False,230,364,False,72,457,False,114,2011,2024
19-06-2023,243,False,230,355,False,72,458,False,114,2011,2024
12-06-2023,245,False,228,349,False,70,461,False,114,2011,2024
29-05-2023,248,False,229,327,False,70,411,False,132,2011,2024
22-05-2023,246,False,229,322,False,70,408,False,132,2011,2024
08-05-2023,241,False,237,395,False,45,439,False,123,2011,2024
24-04-2023,225,False,257,409,False,38,440,False,123,2011,2024
17-04-2023,230,False,249,454,False,30,435,False,123,2011,2024
10-04-2023,240,False,234,594,False,15,442,False,121,2011,2024
03-04-2023,233,False,242,585,False,15,428,False,124,2011,2024
20-03-2023,229,False,245,545,False,15,380,False,149,2011,2024
06-03-2023,211,False,270,512,False,15,343,False,165,2011,2024
27-02-2023,209,False,270,489,True,15,343,False,165,2011,2024
20-02-2023,207,False,271,469,True,15,337,False,174,2011,2024
13-02-2023,209,False,272,439,True,15,334,False,177,2011,2024
06-02-2023,204,False,272,418,True,15,332,False,177,2011,2024
30-01-2023,206,False,272,388,True,15,335,False,177,2011,2024
16-01-2023,211,False,264,432,True,7,197,False,357,2011,2024
09-01-2023,209,False,264,407,True,7,197,False,357,2011,2024
02-01-2023,210,False,264,321,True,7,199,False,357,2011,2024
26-12-2022,210,False,264,314,True,7,199,False,357,2011,2024
19-12-2022,210,False,264,307,True,7,199,False,357,2011,2024
12-12-2022,210,False,264,301,True,7,200,False,357,2011,2024
05-12-2022,213,False,264,286,True,7,200,False,357,2011,2024
28-11-2022,213,False,264,251,True,7,199,False,357,2011,2024
21-11-2022,210,False,264,189,True,7,199,False,357,2011,2024
14-11-2022,208,False,264,111,True,7,200,False,357,2011,2024
07-11-2022,196,False,277,196,False,277,213,False,330,2011,2024
31-10-2022,197,False,277,194,False,277,212,False,330,2011,2024
24-10-2022,190,False,283,191,False,277,217,False,317,2011,2024
17-10-2022,190,False,285,187,False,277,212,False,317,2011,2024
10-10-2022,292,False,171,286,False,162,226,False,298,2011,2024
03-10-2022,298,False,164,287,False,155,223,False,298,2011,2024
26-09-2022,284,False,174,285,False,155,215,False,298,2011,2024
19-09-2022,268,False,183,279,False,155,213,False,308,2011,2024
12-09-2022,270,False,183,276,False,155,217,False,308,2011,2024
29-08-2022,262,False,195,264,False,155,209,False,318,2011,2024
