rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,28,False,1590,41,False,620,581,False,90,2013,2024
27-05-2024,26,False,1630,42,False,570,585,False,90,2013,2024
20-05-2024,26,False,1615,39,False,545,581,False,90,2013,2024
06-05-2024,25,False,1650,35,False,535,237,False,270,2013,2024
22-04-2024,21,False,1685,31,False,525,192,False,360,2013,2024
15-04-2024,23,False,1685,28,False,525,193,False,360,2013,2024
08-04-2024,23,False,1685,26,False,525,191,False,360,2013,2024
01-04-2024,21,False,1770,42,False,360,190,False,360,2013,2024
18-03-2024,22,False,1805,36,False,350,190,False,360,2013,2024
04-03-2024,18,False,2115,42,False,300,197,True,360,2013,2024
26-02-2024,16,False,2155,45,False,250,198,False,360,2013,2024
19-02-2024,15,False,2155,38,False,250,198,False,360,2013,2024
12-02-2024,15,False,2065,60,False,150,200,False,360,2013,2024
05-02-2024,14,False,2060,74,True,100,197,False,360,2013,2024
29-01-2024,14,False,2060,66,True,100,195,False,360,2013,2024
15-01-2024,17,False,2100,72,True,50,197,False,360,2013,2024
08-01-2024,17,False,2100,51,True,50,195,False,360,2013,2024
01-01-2024,16,False,2310,0,False,0,194,False,360,2013,2024
25-12-2023,16,False,2310,0,False,0,194,False,360,2013,2024
18-12-2023,16,False,2310,0,False,0,194,False,360,2013,2024
11-12-2023,16,False,2310,0,False,0,194,False,360,2013,2024
04-12-2023,16,False,2310,0,False,0,194,False,360,2013,2024
27-11-2023,16,False,2310,0,False,0,193,False,360,2013,2024
20-11-2023,16,False,2310,0,False,0,194,False,360,2013,2024
13-11-2023,16,False,2310,16,False,2310,196,False,360,2013,2024
06-11-2023,16,False,2310,16,False,2310,198,False,360,2013,2024
30-10-2023,14,False,2480,14,False,2300,200,False,360,2013,2024
23-10-2023,14,False,2400,15,False,2220,199,False,360,2013,2024
16-10-2023,14,False,2355,15,False,2175,202,False,360,2013,2024
02-10-2023,13,False,2645,13,False,2165,206,False,360,2013,2024
25-09-2023,11,False,2690,13,False,2210,208,False,360,2013,2024
18-09-2023,11,False,2690,13,False,2210,207,False,360,2013,2024
11-09-2023,11,False,2690,13,False,2210,205,False,360,2013,2024
28-08-2023,10,False,3050,14,False,1850,205,False,360,2013,2024
21-08-2023,10,False,3050,14,False,1850,204,False,360,2013,2024
14-08-2023,10,False,3050,14,False,1805,205,False,360,2013,2024
07-08-2023,10,False,3085,13,False,1795,205,False,360,2013,2024
31-07-2023,10,False,3085,14,False,1705,202,False,360,2013,2024
24-07-2023,10,False,3130,14,False,1705,198,False,360,2013,2024
17-07-2023,10,False,3130,14,False,1705,198,False,360,2013,2024
03-07-2023,10,False,3085,14,False,1615,201,False,360,2013,2024
26-06-2023,10,False,3085,13,False,1615,199,False,360,2013,2024
19-06-2023,10,False,3085,12,False,1570,192,False,360,2013,2024
12-06-2023,12,False,2835,14,False,1320,195,False,360,2013,2024
29-05-2023,12,False,2790,12,False,1230,174,False,450,2013,2024
22-05-2023,12,False,2790,12,False,1230,172,False,450,2013,2024
08-05-2023,12,False,2755,12,False,1185,200,False,360,2013,2024
24-04-2023,11,False,2870,12,False,1140,238,False,270,2013,2024
17-04-2023,12,False,2870,12,False,1140,237,False,270,2013,2024
10-04-2023,11,False,2870,10,False,1140,238,False,270,2013,2024
03-04-2023,15,False,2665,10,False,890,237,False,270,2013,2024
20-03-2023,14,False,2710,11,False,845,238,False,270,2013,2024
06-03-2023,16,False,2395,19,False,485,241,False,270,2013,2024
27-02-2023,15,False,2350,16,False,395,236,False,270,2013,2024
20-02-2023,15,False,2350,13,False,395,238,False,270,2013,2024
13-02-2023,15,False,2350,11,False,395,238,False,270,2013,2024
06-02-2023,14,False,2305,12,False,350,240,False,270,2013,2024
30-01-2023,15,False,2305,12,False,350,243,False,270,2013,2024
16-01-2023,17,False,2260,4,False,260,242,False,270,2013,2024
09-01-2023,17,False,2260,2,False,260,240,False,270,2013,2024
02-01-2023,19,False,2000,0,False,0,225,False,290,2013,2024
26-12-2022,19,False,2000,0,False,0,225,False,290,2013,2024
19-12-2022,19,False,2000,0,False,0,225,False,290,2013,2024
12-12-2022,19,False,2000,0,False,0,227,False,290,2013,2024
05-12-2022,19,False,2000,0,False,0,232,False,290,2013,2024
28-11-2022,19,False,2000,0,False,0,232,False,290,2013,2024
21-11-2022,19,False,2000,0,False,0,233,False,290,2013,2024
14-11-2022,19,False,2000,0,False,0,231,False,290,2013,2024
07-11-2022,19,False,2090,19,False,2090,233,False,290,2013,2024
31-10-2022,21,False,1920,20,False,1910,229,False,290,2013,2024
24-10-2022,17,False,2240,17,False,1910,233,False,290,2013,2024
17-10-2022,17,False,2195,19,False,1865,231,False,290,2013,2024
10-10-2022,17,False,2240,19,False,1865,230,False,290,2013,2024
03-10-2022,19,False,1940,23,False,1565,228,False,290,2013,2024
26-09-2022,19,False,1940,22,False,1565,219,False,290,2013,2024
19-09-2022,19,False,1940,22,False,1565,220,False,290,2013,2024
12-09-2022,19,False,1940,22,False,1565,222,False,290,2013,2024
29-08-2022,26,False,1400,44,False,845,223,False,290,2013,2024
22-08-2022,24,False,1445,42,False,845,222,False,290,2013,2024
15-08-2022,25,False,1445,41,False,800,176,False,380,2013,2024
08-08-2022,24,False,1506,42,False,755,174,False,380,2013,2024
01-08-2022,27,False,1416,47,False,665,176,False,380,2013,2024
25-07-2022,29,False,1349,57,False,575,180,False,380,2013,2024
18-07-2022,29,False,1349,56,False,575,182,False,380,2013,2024
11-07-2022,29,False,1349,53,False,575,189,False,380,2013,2024
27-06-2022,28,False,1439,51,False,575,193,False,380,2013,2024
20-06-2022,28,False,1439,49,False,575,193,False,380,2013,2024
13-06-2022,27,False,1519,45,False,575,202,False,380,2013,2024
06-06-2022,27,False,1621,40,False,575,176,False,470,2013,2024
23-05-2022,27,False,1599,39,False,530,205,False,380,2013,2024
16-05-2022,27,False,1599,37,False,530,203,False,380,2013,2024
09-05-2022,26,False,1605,38,False,520,240,False,290,2013,2024
02-05-2022,25,False,1640,34,False,510,245,False,290,2013,2024
25-04-2022,29,False,1513,58,False,360,222,False,335,2013,2024
18-04-2022,29,False,1488,66,False,315,223,False,335,2013,2024
11-04-2022,28,False,1488,75,False,225,223,False,335,2013,2024
04-04-2022,30,False,1453,81,False,180,221,False,335,2013,2024
21-03-2022,31,False,1453,129,False,90,219,False,335,2013,2024
07-03-2022,30,False,1463,178,False,45,217,False,335,2013,2024
28-02-2022,31,False,1467,172,False,45,213,False,360,2013,2024
21-02-2022,34,False,1467,155,False,45,216,False,360,2013,2024
14-02-2022,34,False,1492,142,False,45,177,False,540,2013,2024
07-02-2022,33,False,1492,124,True,45,176,False,540,2013,2024
31-01-2022,32,False,1492,109,True,45,170,False,560,2013,2024
17-01-2022,34,False,1467,0,False,0,170,False,560,2013,2024
10-01-2022,37,False,1492,0,False,0,167,False,605,2013,2024
03-01-2022,38,False,1492,0,False,0,163,False,630,2013,2024
27-12-2021,38,False,1492,24,False,1447,163,False,630,2013,2024
20-12-2021,38,False,1492,24,False,1447,163,False,630,2013,2024
13-12-2021,38,False,1492,24,False,1447,161,False,630,2013,2024
06-12-2021,38,False,1492,24,False,1447,161,False,630,2013,2024
29-11-2021,38,False,1492,24,False,1447,161,False,630,2013,2024
22-11-2021,38,False,1492,24,False,1447,161,False,630,2013,2024
15-11-2021,38,False,1492,24,False,1447,161,False,630,2013,2024
08-11-2021,41,False,1422,27,False,1367,161,False,630,2013,2024
01-11-2021,41,False,1422,24,False,1357,160,False,630,2013,2024
25-10-2021,49,False,1192,37,False,1037,161,False,630,2013,2024
18-10-2021,48,False,1217,36,False,1037,163,False,630,2013,2024
04-10-2021,49,False,1312,36,False,992,162,False,630,2013,2024
27-09-2021,50,False,1312,36,False,992,162,False,630,2013,2024
20-09-2021,51,False,1312,35,False,992,164,False,630,2013,2024
13-09-2021,52,False,1312,35,False,992,164,False,630,2013,2024
30-08-2021,50,False,1312,43,False,812,165,False,630,2013,2024
23-08-2021,51,False,1287,45,False,767,166,False,630,2013,2024
16-08-2021,51,False,1312,46,False,722,187,False,540,2013,2024
09-08-2021,52,False,1226,54,False,616,188,False,540,2013,2024
02-08-2021,53,False,1206,51,False,616,205,False,450,2013,2024
26-07-2021,54,False,1228,49,False,616,201,False,450,2013,2024
