rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,24,False,1639,15,False,1373,260,False,250,2013,2024
27-05-2024,24,False,1645,14,False,1363,256,False,250,2013,2024
20-05-2024,25,False,1645,13,False,1363,256,False,250,2013,2024
06-05-2024,32,False,1320,20,False,963,260,False,250,2013,2024
22-04-2024,38,False,1151,20,False,778,261,False,250,2013,2024
15-04-2024,41,False,1101,20,False,678,260,False,250,2013,2024
08-04-2024,45,False,1051,21,False,628,261,True,250,2013,2024
01-04-2024,48,False,1051,19,False,628,262,True,250,2013,2024
18-03-2024,44,False,1040,19,False,598,266,False,250,2013,2024
04-03-2024,39,False,1116,15,False,568,266,True,250,2013,2024
26-02-2024,51,False,951,19,False,403,877,True,45,2013,2024
19-02-2024,52,False,961,14,False,403,881,False,45,2013,2024
12-02-2024,54,False,936,12,False,378,876,True,45,2013,2024
05-02-2024,54,False,936,10,False,378,875,True,45,2013,2024
29-01-2024,54,False,936,10,False,378,879,True,45,2013,2024
15-01-2024,49,False,970,1,False,368,878,True,45,2013,2024
08-01-2024,82,False,707,15,False,105,875,True,45,2013,2024
01-01-2024,85,False,707,3,False,105,877,True,45,2013,2024
25-12-2023,85,False,707,3,False,105,876,True,45,2013,2024
18-12-2023,85,False,707,3,False,105,875,True,45,2013,2024
11-12-2023,85,False,707,3,False,105,874,True,45,2013,2024
04-12-2023,85,False,707,3,False,105,866,True,45,2013,2024
27-11-2023,86,False,707,1,False,105,855,True,45,2013,2024
20-11-2023,106,False,602,0,False,0,851,True,45,2013,2024
13-11-2023,104,False,602,105,False,602,847,True,45,2013,2024
06-11-2023,109,False,572,109,False,572,852,True,45,2013,2024
30-10-2023,125,False,497,124,False,497,847,True,45,2013,2024
23-10-2023,122,False,497,119,False,497,848,True,45,2013,2024
16-10-2023,119,False,497,115,False,497,847,True,45,2013,2024
02-10-2023,120,False,497,110,False,497,850,True,45,2013,2024
25-09-2023,131,False,472,116,False,472,853,True,45,2013,2024
18-09-2023,125,False,492,111,False,472,855,True,45,2013,2024
11-09-2023,124,False,492,110,False,472,865,True,45,2013,2024
28-08-2023,113,False,537,96,False,472,871,True,45,2013,2024
21-08-2023,110,False,547,95,False,472,872,True,45,2013,2024
14-08-2023,112,False,547,94,False,472,864,True,45,2013,2024
07-08-2023,125,False,522,98,False,447,868,True,45,2013,2024
31-07-2023,122,False,522,95,False,447,861,True,45,2013,2024
24-07-2023,125,False,522,92,False,447,857,True,45,2013,2024
17-07-2023,124,False,522,88,False,447,846,True,45,2013,2024
03-07-2023,145,False,411,103,False,336,851,True,45,2013,2024
26-06-2023,144,False,411,101,False,336,843,True,45,2013,2024
19-06-2023,144,False,407,102,False,320,843,True,45,2013,2024
12-06-2023,148,False,407,98,False,320,844,False,45,2013,2024
29-05-2023,152,False,391,95,False,304,854,False,45,2013,2024
22-05-2023,152,False,391,93,False,304,843,False,45,2013,2024
08-05-2023,190,False,316,114,False,229,849,False,45,2013,2024
24-04-2023,154,False,383,98,False,229,852,True,45,2013,2024
17-04-2023,176,False,333,120,False,179,850,True,45,2013,2024
10-04-2023,161,False,369,111,False,179,687,False,65,2013,2024
03-04-2023,148,False,389,104,False,179,690,False,65,2013,2024
20-03-2023,162,False,370,100,False,160,689,False,65,2013,2024
06-03-2023,187,False,314,236,False,54,680,False,65,2013,2024
27-02-2023,186,False,314,215,False,54,1138,True,20,2013,2024
20-02-2023,148,False,394,234,False,44,1142,False,20,2013,2024
13-02-2023,148,False,394,215,False,44,1148,False,20,2013,2024
06-02-2023,146,False,394,193,False,44,1154,False,20,2013,2024
30-01-2023,97,False,556,176,False,44,1152,False,20,2013,2024
16-01-2023,102,False,547,0,False,0,1154,True,20,2013,2024
09-01-2023,103,False,547,0,False,0,1155,True,20,2013,2024
02-01-2023,100,False,567,0,False,0,476,False,110,2013,2024
26-12-2022,100,False,567,0,False,0,476,False,110,2013,2024
19-12-2022,100,False,567,0,False,0,477,False,110,2013,2024
12-12-2022,101,False,567,0,False,0,477,False,110,2013,2024
05-12-2022,102,False,567,0,False,0,480,False,110,2013,2024
28-11-2022,102,False,567,0,False,0,482,False,110,2013,2024
21-11-2022,86,False,615,0,False,0,479,False,110,2013,2024
14-11-2022,87,False,615,0,False,0,474,False,110,2013,2024
07-11-2022,88,False,615,88,False,615,474,False,110,2013,2024
31-10-2022,80,False,695,84,False,615,474,False,110,2013,2024
24-10-2022,77,False,710,83,False,615,361,False,158,2013,2024
17-10-2022,73,False,710,79,False,615,354,False,158,2013,2024
10-10-2022,68,False,751,77,False,615,351,False,158,2013,2024
03-10-2022,67,False,751,77,False,615,345,False,158,2013,2024
26-09-2022,66,False,761,74,False,615,350,False,158,2013,2024
19-09-2022,70,False,741,72,False,595,356,False,158,2013,2024
12-09-2022,69,False,741,71,False,595,357,False,158,2013,2024
29-08-2022,71,False,696,74,False,550,356,False,158,2013,2024
22-08-2022,72,False,686,74,False,540,354,False,158,2013,2024
15-08-2022,69,False,686,70,False,540,353,False,158,2013,2024
08-08-2022,69,False,690,68,False,540,361,False,158,2013,2024
01-08-2022,71,False,690,65,False,540,357,False,158,2013,2024
25-07-2022,64,False,738,62,False,540,363,False,158,2013,2024
18-07-2022,68,False,742,61,False,540,366,False,158,2013,2024
11-07-2022,72,False,742,59,False,540,372,False,158,2013,2024
27-06-2022,78,False,746,57,False,540,375,False,158,2013,2024
20-06-2022,80,False,738,55,False,528,374,False,158,2013,2024
13-06-2022,81,False,744,53,False,528,377,False,158,2013,2024
06-06-2022,82,False,763,51,False,528,381,False,158,2013,2024
23-05-2022,80,False,771,40,False,528,361,False,168,2013,2024
16-05-2022,78,False,771,38,False,528,360,False,168,2013,2024
09-05-2022,82,False,771,37,False,528,358,False,168,2013,2024
02-05-2022,84,False,763,33,False,512,357,False,168,2013,2024
25-04-2022,91,False,732,34,False,461,330,False,183,2013,2024
18-04-2022,91,False,732,34,False,461,333,False,183,2013,2024
11-04-2022,97,False,703,37,False,377,362,False,163,2013,2024
04-04-2022,100,False,690,39,False,357,358,False,163,2013,2024
21-03-2022,95,False,709,33,False,357,368,False,163,2013,2024
07-03-2022,96,False,691,38,False,307,303,False,208,2013,2024
28-02-2022,98,False,691,38,False,307,310,False,208,2013,2024
21-02-2022,113,False,608,41,False,217,275,False,253,2013,2024
14-02-2022,111,False,630,35,False,217,257,False,282,2013,2024
07-02-2022,112,False,630,28,False,217,257,False,282,2013,2024
31-01-2022,144,False,483,81,False,55,257,False,282,2013,2024
17-01-2022,135,False,518,81,True,20,260,False,282,2013,2024
10-01-2022,136,False,518,56,True,20,263,False,282,2013,2024
03-01-2022,139,False,505,0,False,0,296,False,232,2013,2024
27-12-2021,139,False,505,122,False,405,296,False,232,2013,2024
20-12-2021,139,False,505,122,False,405,297,False,232,2013,2024
13-12-2021,139,False,505,121,False,405,297,False,232,2013,2024
06-12-2021,138,False,505,121,False,405,293,False,232,2013,2024
29-11-2021,135,False,513,121,False,405,287,False,247,2013,2024
22-11-2021,141,False,480,135,False,357,277,False,262,2013,2024
15-11-2021,141,False,480,132,False,357,269,False,277,2013,2024
08-11-2021,140,False,480,129,False,357,266,False,277,2013,2024
01-11-2021,169,False,407,156,False,277,263,False,277,2013,2024
25-10-2021,174,False,399,163,False,262,289,False,244,2013,2024
18-10-2021,174,False,407,162,False,262,281,False,259,2013,2024
04-10-2021,184,False,391,177,True,221,287,False,259,2013,2024
