rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,114,False,570,103,False,303,541,False,96,2015,2024
27-05-2024,110,False,580,91,False,303,546,False,96,2015,2024
20-05-2024,110,False,580,90,False,303,547,False,96,2015,2024
06-05-2024,107,False,588,81,False,303,548,False,96,2015,2024
22-04-2024,107,False,579,81,False,280,544,False,96,2015,2024
15-04-2024,109,False,579,75,False,280,552,False,96,2015,2024
08-04-2024,108,False,583,67,False,280,549,False,96,2015,2024
01-04-2024,106,False,564,69,False,254,548,False,96,2015,2024
18-03-2024,112,False,558,65,False,242,541,False,96,2015,2024
04-03-2024,127,False,494,87,False,155,613,False,82,2015,2024
26-02-2024,127,False,500,79,False,155,607,False,82,2015,2024
19-02-2024,131,False,500,67,False,155,613,False,82,2015,2024
12-02-2024,134,False,494,75,False,117,616,False,82,2015,2024
05-02-2024,135,False,494,62,False,117,614,False,82,2015,2024
29-01-2024,149,False,425,171,False,42,620,False,82,2015,2024
15-01-2024,139,False,442,212,True,20,809,True,52,2015,2024
08-01-2024,140,False,442,174,True,20,807,False,52,2015,2024
01-01-2024,141,False,442,110,True,20,803,False,52,2015,2024
25-12-2023,141,False,442,106,False,20,801,False,52,2015,2024
18-12-2023,141,False,442,99,False,20,798,False,52,2015,2024
11-12-2023,141,False,442,96,False,20,798,False,52,2015,2024
04-12-2023,141,False,442,86,False,20,788,False,52,2015,2024
27-11-2023,141,False,442,54,False,20,779,True,52,2015,2024
20-11-2023,142,False,442,27,True,20,781,True,52,2015,2024
13-11-2023,144,False,428,146,False,428,1022,False,32,2015,2024
06-11-2023,144,False,425,141,False,425,843,False,46,2015,2024
30-10-2023,153,False,409,146,False,409,837,True,46,2015,2024
23-10-2023,153,False,409,146,False,402,838,False,46,2015,2024
16-10-2023,148,False,416,142,False,402,837,False,46,2015,2024
02-10-2023,177,False,356,160,False,342,840,True,46,2015,2024
25-09-2023,151,False,406,159,False,342,720,True,62,2015,2024
18-09-2023,196,False,313,215,False,242,725,False,62,2015,2024
11-09-2023,201,False,306,216,False,235,729,False,62,2015,2024
28-08-2023,202,False,306,205,False,235,734,False,62,2015,2024
21-08-2023,209,False,306,204,False,235,729,False,62,2015,2024
14-08-2023,197,False,317,200,False,235,720,False,62,2015,2024
07-08-2023,171,False,347,236,False,185,470,False,112,2015,2024
31-07-2023,182,False,327,248,False,165,470,False,112,2015,2024
24-07-2023,183,False,331,240,False,165,471,False,112,2015,2024
17-07-2023,178,False,331,229,False,165,468,False,112,2015,2024
03-07-2023,174,False,331,214,False,165,471,False,112,2015,2024
26-06-2023,173,False,331,209,False,165,467,False,112,2015,2024
19-06-2023,173,False,331,206,False,165,469,False,112,2015,2024
12-06-2023,175,False,334,202,False,165,468,False,112,2015,2024
29-05-2023,150,False,392,198,False,149,469,False,112,2015,2024
22-05-2023,150,False,392,194,False,149,466,False,112,2015,2024
08-05-2023,152,False,386,191,False,134,475,False,112,2015,2024
24-04-2023,131,False,459,187,False,127,480,False,112,2015,2024
17-04-2023,130,False,459,175,False,127,476,False,112,2015,2024
10-04-2023,131,False,452,174,False,116,476,False,112,2015,2024
03-04-2023,128,False,464,162,False,116,474,False,112,2015,2024
20-03-2023,127,False,464,145,False,116,475,False,112,2015,2024
06-03-2023,124,False,464,149,False,93,355,False,156,2015,2024
27-02-2023,122,False,456,159,False,81,356,False,156,2015,2024
20-02-2023,115,False,456,138,False,81,353,False,156,2015,2024
13-02-2023,127,False,428,190,False,49,356,False,156,2015,2024
06-02-2023,135,False,422,195,False,43,355,False,156,2015,2024
30-01-2023,136,False,422,178,False,43,357,False,156,2015,2024
16-01-2023,127,False,449,547,True,4,278,False,222,2015,2024
09-01-2023,127,False,445,0,False,0,278,False,222,2015,2024
02-01-2023,126,False,449,0,False,0,279,False,222,2015,2024
26-12-2022,126,False,449,0,False,0,279,False,222,2015,2024
19-12-2022,126,False,449,0,False,0,279,False,222,2015,2024
12-12-2022,126,False,449,0,False,0,281,False,222,2015,2024
05-12-2022,127,False,449,0,False,0,281,False,222,2015,2024
28-11-2022,128,False,449,0,False,0,282,False,222,2015,2024
21-11-2022,128,False,449,0,False,0,280,False,222,2015,2024
14-11-2022,126,False,456,0,False,0,273,False,222,2015,2024
07-11-2022,122,False,467,122,False,467,303,False,192,2015,2024
31-10-2022,123,False,467,119,False,463,306,False,192,2015,2024
24-10-2022,126,False,464,118,False,460,302,False,192,2015,2024
17-10-2022,126,False,457,118,False,457,275,False,221,2015,2024
10-10-2022,123,False,464,113,False,457,273,False,221,2015,2024
03-10-2022,119,False,464,109,False,457,267,False,221,2015,2024
26-09-2022,118,False,462,119,False,407,261,False,234,2015,2024
19-09-2022,119,False,455,118,False,400,261,False,234,2015,2024
12-09-2022,116,False,455,117,False,400,258,False,234,2015,2024
29-08-2022,121,False,455,105,False,400,254,False,234,2015,2024
22-08-2022,99,False,535,103,False,400,255,False,234,2015,2024
