rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,105,False,603,96,False,331,568,True,90,2020,2024
27-05-2024,103,False,613,95,False,296,576,True,90,2020,2024
20-05-2024,101,False,613,93,False,296,573,True,90,2020,2024
06-05-2024,97,False,628,84,False,296,571,True,90,2020,2024
22-04-2024,99,False,630,85,False,266,572,True,90,2020,2024
15-04-2024,99,False,625,90,False,241,577,True,90,2020,2024
08-04-2024,98,False,631,82,False,241,576,True,90,2020,2024
01-04-2024,94,False,641,73,False,241,578,True,90,2020,2024
18-03-2024,80,False,736,73,False,211,576,True,90,2020,2024
04-03-2024,86,False,696,88,False,151,569,True,90,2020,2024
26-02-2024,72,False,808,87,False,138,567,True,90,2020,2024
19-02-2024,71,False,808,74,False,138,575,True,90,2020,2024
12-02-2024,68,False,814,64,False,138,582,True,90,2020,2024
05-02-2024,68,False,814,50,False,138,582,True,90,2020,2024
29-01-2024,68,False,814,43,False,138,589,True,90,2020,2024
15-01-2024,79,False,715,114,False,38,582,True,90,2020,2024
08-01-2024,87,False,687,0,False,0,582,True,90,2020,2024
01-01-2024,90,False,687,0,False,0,494,False,110,2020,2024
25-12-2023,90,False,687,0,False,0,494,False,110,2020,2024
18-12-2023,90,False,687,0,False,0,495,False,110,2020,2024
11-12-2023,90,False,687,0,False,0,496,False,110,2020,2024
04-12-2023,90,False,687,0,False,0,495,False,110,2020,2024
27-11-2023,70,False,756,0,False,0,493,False,110,2020,2024
20-11-2023,66,False,796,0,False,0,499,False,110,2020,2024
13-11-2023,66,False,796,70,False,796,496,False,110,2020,2024
06-11-2023,70,False,755,70,False,751,501,False,110,2020,2024
30-10-2023,69,False,771,68,False,755,496,False,110,2020,2024
23-10-2023,63,False,810,65,False,755,504,False,110,2020,2024
16-10-2023,66,False,810,63,False,755,498,False,110,2020,2024
02-10-2023,66,False,816,62,False,745,503,False,110,2020,2024
25-09-2023,69,False,825,67,False,716,499,False,110,2020,2024
18-09-2023,69,False,825,65,False,716,496,False,110,2020,2024
11-09-2023,69,False,825,64,False,716,488,False,110,2020,2024
28-08-2023,64,False,831,58,False,706,488,False,110,2020,2024
21-08-2023,65,False,831,58,False,706,483,False,110,2020,2024
14-08-2023,68,False,831,59,False,690,484,False,110,2020,2024
07-08-2023,69,False,831,55,False,674,487,False,110,2020,2024
31-07-2023,68,False,831,50,False,674,486,False,110,2020,2024
24-07-2023,77,False,756,62,False,600,485,False,110,2020,2024
17-07-2023,77,False,748,61,False,596,482,False,110,2020,2024
03-07-2023,75,False,758,51,False,586,793,False,50,2020,2024
26-06-2023,79,False,736,52,False,564,787,False,50,2020,2024
19-06-2023,75,False,736,50,False,564,787,False,50,2020,2024
12-06-2023,69,False,758,48,False,564,589,False,80,2020,2024
29-05-2023,82,False,725,44,False,519,605,False,80,2020,2024
22-05-2023,79,False,725,43,False,519,596,False,80,2020,2024
08-05-2023,85,False,716,38,False,509,602,False,80,2020,2024
24-04-2023,86,False,688,34,False,477,463,False,116,2020,2024
17-04-2023,87,False,672,29,False,468,459,False,116,2020,2024
10-04-2023,88,False,658,26,False,452,457,False,116,2020,2024
03-04-2023,91,False,640,26,False,432,454,False,116,2020,2024
20-03-2023,108,False,517,41,False,307,451,False,116,2020,2024
06-03-2023,110,False,517,33,False,307,444,False,116,2020,2024
27-02-2023,149,False,394,57,False,182,446,False,116,2020,2024
20-02-2023,146,False,397,43,False,182,439,False,116,2020,2024
13-02-2023,152,False,383,42,False,166,443,False,116,2020,2024
06-02-2023,145,False,397,37,False,166,446,False,116,2020,2024
30-01-2023,146,False,397,35,False,166,352,False,161,2020,2024
16-01-2023,143,False,403,15,False,155,336,False,176,2020,2024
09-01-2023,142,False,403,12,False,155,335,False,176,2020,2024
02-01-2023,139,False,403,4,False,155,364,False,156,2020,2024
26-12-2022,139,False,403,4,False,155,363,False,156,2020,2024
19-12-2022,137,False,405,4,False,155,363,False,156,2020,2024
12-12-2022,137,False,405,4,False,155,366,False,156,2020,2024
05-12-2022,138,False,405,4,False,155,367,False,156,2020,2024
28-11-2022,176,False,327,20,False,75,365,False,156,2020,2024
21-11-2022,200,False,274,65,True,20,362,False,156,2020,2024
14-11-2022,198,False,274,30,True,20,358,False,156,2020,2024
07-11-2022,210,False,256,210,False,256,359,False,156,2020,2024
31-10-2022,208,False,256,208,False,254,362,False,156,2020,2024
24-10-2022,233,False,228,247,False,201,362,False,156,2020,2024
17-10-2022,241,False,218,259,False,191,358,False,156,2020,2024
10-10-2022,239,False,222,249,False,191,349,False,159,2020,2024
03-10-2022,231,False,222,245,False,191,344,False,159,2020,2024
26-09-2022,289,False,170,314,False,137,348,False,159,2020,2024
19-09-2022,289,False,170,308,False,137,352,False,159,2020,2024
12-09-2022,296,False,167,312,False,132,354,False,159,2020,2024
29-08-2022,289,False,171,329,False,116,352,False,159,2020,2024
22-08-2022,283,False,171,319,False,116,350,False,159,2020,2024
15-08-2022,280,False,171,314,False,116,349,False,159,2020,2024
08-08-2022,283,False,171,309,False,116,357,False,159,2020,2024
01-08-2022,284,False,171,301,False,116,354,False,159,2020,2024
25-07-2022,282,False,171,293,False,114,360,False,159,2020,2024
18-07-2022,283,False,171,276,False,114,350,False,165,2020,2024
11-07-2022,314,False,152,324,False,94,406,False,135,2020,2024
27-06-2022,325,False,146,315,False,88,412,False,135,2020,2024
20-06-2022,319,False,146,305,False,88,413,False,135,2020,2024
13-06-2022,383,False,112,399,False,54,491,False,105,2020,2024
06-06-2022,383,False,112,391,False,54,496,False,105,2020,2024
23-05-2022,380,False,112,369,False,54,486,False,105,2020,2024
16-05-2022,381,False,113,361,False,54,486,False,105,2020,2024
09-05-2022,377,False,113,342,False,54,483,False,105,2020,2024
02-05-2022,373,False,111,344,False,52,620,False,69,2020,2024
25-04-2022,383,False,107,338,False,48,621,False,69,2020,2024
18-04-2022,389,False,105,335,False,46,617,False,69,2020,2024
11-04-2022,389,False,105,285,False,40,624,False,69,2020,2024
04-04-2022,382,False,105,257,False,40,622,False,69,2020,2024
21-03-2022,384,False,104,231,False,38,618,False,69,2020,2024
07-03-2022,386,False,105,203,False,38,617,False,69,2020,2024
28-02-2022,384,False,105,196,False,38,615,False,69,2020,2024
21-02-2022,400,False,98,191,False,31,618,False,69,2020,2024
14-02-2022,406,False,99,180,False,31,626,False,69,2020,2024
07-02-2022,444,False,83,232,False,15,623,False,69,2020,2024
31-01-2022,445,False,83,205,True,15,1068,False,24,2020,2024
17-01-2022,495,False,69,0,False,0,1442,False,11,2020,2024
10-01-2022,501,False,69,0,False,0,1447,False,11,2020,2024
03-01-2022,503,False,69,0,False,0,1440,False,11,2020,2024
27-12-2021,502,False,69,403,False,67,1440,False,11,2020,2024
20-12-2021,517,False,65,420,False,63,1440,False,11,2020,2024
13-12-2021,517,False,65,413,False,63,1434,False,11,2020,2024
06-12-2021,517,False,65,408,False,63,1429,False,11,2020,2024
29-11-2021,511,False,66,404,False,63,1432,False,11,2020,2024
22-11-2021,513,False,66,399,True,63,1420,False,11,2020,2024
15-11-2021,510,False,66,394,True,63,1415,False,11,2020,2024
08-11-2021,516,False,64,392,True,61,1417,False,11,2020,2024
01-11-2021,518,False,64,384,False,61,1406,False,11,2020,2024
25-10-2021,680,False,35,507,True,32,1415,False,11,2020,2024
18-10-2021,682,False,35,500,False,32,1410,False,11,2020,2024
04-10-2021,736,False,29,511,True,26,1568,True,8,2020,2024
27-09-2021,738,False,29,505,True,26,1562,True,8,2020,2024
20-09-2021,740,False,29,491,True,26,1571,True,8,2020,2024
13-09-2021,737,False,29,485,True,26,1575,True,8,2020,2024
30-08-2021,1185,False,7,793,True,4,1584,True,8,2020,2024
23-08-2021,1175,False,7,779,True,4,1577,True,8,2020,2024
16-08-2021,1182,False,7,823,True,4,1590,True,8,2020,2024
09-08-2021,1179,False,7,797,False,4,1579,True,8,2020,2024
02-08-2021,1173,False,7,783,False,4,1576,True,8,2020,2024
26-07-2021,1172,False,7,765,True,4,1580,True,8,2020,2024
19-07-2021,1223,True,6,764,True,3,2287,True,2,2020,2024
12-07-2021,1213,True,6,744,True,3,2278,True,2,2020,2024
28-06-2021,1212,True,6,723,True,3,2284,True,2,2020,2024
21-06-2021,1210,True,6,715,True,3,2280,True,2,2020,2024
14-06-2021,1211,True,6,701,True,3,2277,True,2,2020,2024
31-05-2021,1211,True,6,658,True,3,2279,True,2,2020,2024
24-05-2021,1207,True,6,643,True,3,2270,True,2,2020,2024
17-05-2021,1266,True,5,682,True,2,2269,True,2,2020,2024
10-05-2021,1260,True,5,671,True,2,2274,True,2,2020,2024
03-05-2021,1260,True,5,662,True,2,2281,True,2,2020,2024
26-04-2021,1259,True,5,689,True,2,2280,True,2,2020,2024
19-04-2021,1257,True,5,668,True,2,2278,True,2,2020,2024
12-04-2021,1254,True,5,648,True,2,2277,True,2,2020,2024
05-04-2021,1253,True,5,637,True,2,2272,True,2,2020,2024
22-03-2021,1311,True,4,694,True,1,2281,True,2,2020,2024
15-03-2021,1416,True,3,613,True,1,2264,True,2,2020,2024
08-03-2021,1414,True,3,568,True,1,2263,True,2,2020,2024
01-03-2021,1411,True,3,533,True,1,2257,True,2,2020,2024
22-02-2021,1410,True,3,494,True,1,2255,True,2,2020,2024
08-02-2021,1394,True,3,262,True,1,2239,True,2,2020,2024
01-02-2021,1394,True,3,159,True,1,2239,True,2,2020,2024
25-01-2021,1528,True,2,0,False,0,0,False,0,2020,2024
18-01-2021,1526,True,2,0,False,0,0,False,0,2020,2024
11-01-2021,1520,True,2,0,False,0,0,False,0,2020,2024
04-01-2021,1520,True,2,0,False,2,0,False,0,2020,2024
28-12-2020,1519,True,2,0,False,0,0,False,0,2020,2024
21-12-2020,1519,True,2,0,False,0,0,False,0,2020,2024
14-12-2020,1518,True,2,0,False,0,0,False,0,2020,2024
07-12-2020,1517,True,2,0,False,0,0,False,0,2020,2024
30-11-2020,1793,True,1,0,False,0,0,False,0,2020,2024
23-11-2020,1791,True,1,0,False,0,0,False,0,2020,2024
16-11-2020,1791,True,1,0,False,0,0,False,0,2020,2024
09-11-2020,1789,True,1,0,False,0,0,False,0,2020,2024
02-11-2020,1789,True,1,0,False,0,0,False,0,2020,2024
26-10-2020,1788,True,1,0,False,0,0,False,0,2020,2024
19-10-2020,1787,True,1,0,False,0,0,False,0,2020,2024
