rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,87,False,674,109,False,284,0,False,0,2012,2024
27-05-2024,89,False,672,106,False,266,654,False,75,2012,2024
20-05-2024,93,False,647,118,False,241,650,False,75,2012,2024
06-05-2024,70,False,792,116,False,211,634,False,75,2012,2024
22-04-2024,62,False,857,113,False,201,532,False,100,2012,2024
15-04-2024,65,False,857,107,True,201,541,False,100,2012,2024
08-04-2024,65,False,856,109,True,175,537,False,100,2012,2024
01-04-2024,67,False,818,147,False,125,539,False,100,2012,2024
18-03-2024,65,False,834,139,True,115,534,False,100,2012,2024
04-03-2024,69,False,801,307,True,35,528,False,100,2012,2024
26-02-2024,71,False,809,288,True,35,527,False,100,2012,2024
19-02-2024,72,False,792,510,True,10,479,False,116,2012,2024
12-02-2024,69,False,810,483,True,10,479,False,116,2012,2024
05-02-2024,69,False,810,462,True,10,473,False,116,2012,2024
29-01-2024,69,False,810,427,True,10,479,False,116,2012,2024
15-01-2024,64,False,835,0,False,0,477,False,116,2012,2024
08-01-2024,63,False,835,0,False,0,478,False,116,2012,2024
01-01-2024,62,False,835,0,False,0,476,False,116,2012,2024
25-12-2023,62,False,835,0,False,0,475,False,116,2012,2024
18-12-2023,62,False,835,0,False,0,475,False,116,2012,2024
11-12-2023,62,False,835,0,False,0,475,False,116,2012,2024
04-12-2023,62,False,835,0,False,0,473,False,116,2012,2024
27-11-2023,62,False,855,0,False,0,473,False,116,2012,2024
20-11-2023,61,False,855,0,False,0,475,False,116,2012,2024
13-11-2023,57,False,893,51,False,943,473,False,116,2012,2024
06-11-2023,52,False,927,55,False,893,479,False,116,2012,2024
30-10-2023,50,False,927,51,False,907,475,False,116,2012,2024
23-10-2023,56,False,927,49,False,907,479,False,116,2012,2024
16-10-2023,54,False,927,46,False,907,473,False,116,2012,2024
02-10-2023,54,False,918,47,False,882,476,False,116,2012,2024
25-09-2023,50,False,947,45,False,882,472,False,116,2012,2024
18-09-2023,50,False,947,42,False,882,467,False,116,2012,2024
11-09-2023,50,False,947,42,False,882,460,False,116,2012,2024
28-08-2023,50,False,953,41,False,872,458,False,116,2012,2024
21-08-2023,51,False,949,40,False,872,459,False,116,2012,2024
14-08-2023,48,False,949,36,False,851,460,False,116,2012,2024
07-08-2023,62,False,855,44,False,745,458,False,116,2012,2024
31-07-2023,62,False,855,43,False,745,458,False,116,2012,2024
24-07-2023,82,False,716,57,False,616,455,False,116,2012,2024
17-07-2023,83,False,716,53,False,616,451,False,116,2012,2024
03-07-2023,87,False,679,56,False,571,454,False,116,2012,2024
26-06-2023,91,False,654,57,False,555,449,False,116,2012,2024
19-06-2023,92,False,654,54,False,555,449,False,116,2012,2024
12-06-2023,91,False,654,50,False,555,450,False,116,2012,2024
29-05-2023,97,False,654,39,False,539,896,False,41,2012,2024
22-05-2023,95,False,654,37,False,539,887,False,41,2012,2024
08-05-2023,127,False,493,63,False,380,889,False,41,2012,2024
24-04-2023,142,False,418,69,False,305,1271,True,16,2012,2024
17-04-2023,140,False,418,63,False,305,1268,True,16,2012,2024
10-04-2023,144,False,393,62,False,292,1261,True,16,2012,2024
03-04-2023,151,False,381,60,False,287,1262,True,16,2012,2024
20-03-2023,168,False,355,57,False,261,1263,True,16,2012,2024
06-03-2023,186,False,316,58,False,214,1260,True,16,2012,2024
