rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,433,False,107,479,False,40,0,False,0,2015,2024
27-05-2024,394,False,121,449,False,40,0,False,0,2015,2024
20-05-2024,281,False,200,432,False,40,0,False,0,2015,2024
06-05-2024,270,False,211,406,False,40,0,False,0,2015,2024
22-04-2024,227,False,261,384,False,40,0,False,0,2015,2024
15-04-2024,227,False,261,363,False,40,0,False,0,2015,2024
08-04-2024,220,False,277,349,False,40,0,False,0,2015,2024
01-04-2024,214,False,283,326,False,40,0,False,0,2015,2024
18-03-2024,214,False,283,299,False,40,0,False,0,2015,2024
04-03-2024,210,False,290,279,False,40,0,False,0,2015,2024
26-02-2024,210,False,290,262,False,40,0,False,0,2015,2024
19-02-2024,211,False,290,239,False,40,0,False,0,2015,2024
12-02-2024,208,False,290,216,False,40,0,False,0,2015,2024
05-02-2024,211,False,290,197,False,40,0,False,0,2015,2024
29-01-2024,213,False,290,179,True,40,0,False,0,2015,2024
15-01-2024,214,False,291,0,False,0,0,False,0,2015,2024
08-01-2024,214,False,291,0,False,0,0,False,0,2015,2024
01-01-2024,216,False,291,0,False,0,0,False,0,2015,2024
25-12-2023,216,False,291,0,False,0,0,False,0,2015,2024
18-12-2023,216,False,291,0,False,0,0,False,0,2015,2024
11-12-2023,216,False,291,0,False,0,0,False,0,2015,2024
04-12-2023,216,False,291,0,False,0,0,False,0,2015,2024
27-11-2023,217,False,291,0,False,0,0,False,0,2015,2024
20-11-2023,217,False,291,0,False,0,0,False,0,2015,2024
13-11-2023,216,False,291,218,False,291,0,False,0,2015,2024
06-11-2023,232,False,265,229,False,265,0,False,0,2015,2024
30-10-2023,229,False,265,227,False,265,0,False,0,2015,2024
23-10-2023,232,False,265,225,False,265,0,False,0,2015,2024
16-10-2023,235,False,263,228,False,256,0,False,0,2015,2024
02-10-2023,214,False,291,219,False,254,0,False,0,2015,2024
25-09-2023,236,False,261,234,False,224,0,False,0,2015,2024
18-09-2023,226,False,277,231,False,224,0,False,0,2015,2024
11-09-2023,227,False,279,226,False,224,0,False,0,2015,2024
28-08-2023,225,False,279,217,False,224,0,False,0,2015,2024
21-08-2023,226,False,279,216,False,224,0,False,0,2015,2024
