rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,107,False,601,77,False,405,146,False,563,2015,2024
27-05-2024,96,False,635,71,False,405,146,False,593,2015,2024
20-05-2024,95,False,635,66,False,405,147,False,593,2015,2024
06-05-2024,111,False,572,77,False,324,144,False,593,2015,2024
22-04-2024,119,False,536,80,False,280,143,False,601,2015,2024
15-04-2024,129,False,479,97,False,222,141,False,617,2015,2024
08-04-2024,135,False,468,98,False,200,138,False,617,2015,2024
01-04-2024,138,False,468,87,False,200,135,False,617,2015,2024
18-03-2024,150,False,445,91,False,170,134,False,620,2015,2024
04-03-2024,150,False,445,82,False,164,136,False,588,2015,2024
26-02-2024,145,False,454,76,False,158,137,False,604,2015,2024
19-02-2024,154,False,412,92,False,108,155,False,504,2015,2024
12-02-2024,153,False,405,97,False,94,157,False,500,2015,2024
05-02-2024,180,False,337,330,False,19,156,False,500,2015,2024
29-01-2024,177,False,346,375,False,13,167,False,450,2015,2024
15-01-2024,174,False,354,284,True,13,167,False,450,2015,2024
08-01-2024,176,False,348,0,False,0,167,False,450,2015,2024
01-01-2024,176,False,348,0,False,0,169,False,450,2015,2024
25-12-2023,176,False,348,0,False,0,169,False,450,2015,2024
18-12-2023,177,False,348,0,False,0,170,False,450,2015,2024
11-12-2023,177,False,348,0,False,0,170,False,450,2015,2024
04-12-2023,178,False,348,0,False,0,170,False,450,2015,2024
27-11-2023,178,False,348,0,False,0,167,False,450,2015,2024
20-11-2023,179,False,348,0,False,0,166,False,450,2015,2024
13-11-2023,181,False,348,183,False,348,158,False,466,2015,2024
06-11-2023,177,False,348,176,False,348,160,False,466,2015,2024
30-10-2023,174,False,357,180,False,341,161,False,466,2015,2024
23-10-2023,175,False,357,177,False,341,163,False,466,2015,2024
16-10-2023,177,False,355,177,False,339,167,False,457,2015,2024
02-10-2023,199,False,313,193,False,289,164,False,473,2015,2024
25-09-2023,207,False,305,199,False,280,168,False,460,2015,2024
18-09-2023,204,False,305,192,False,277,174,False,446,2015,2024
11-09-2023,203,False,302,191,False,273,174,False,446,2015,2024
28-08-2023,195,False,313,181,False,270,165,False,461,2015,2024
21-08-2023,199,False,314,180,False,270,166,False,463,2015,2024
14-08-2023,206,False,310,178,False,259,163,False,471,2015,2024
07-08-2023,256,False,239,238,False,184,181,False,421,2015,2024
31-07-2023,249,False,236,230,False,180,184,False,405,2015,2024
24-07-2023,247,False,236,220,False,180,192,False,375,2015,2024
17-07-2023,244,False,242,227,False,171,214,False,319,2015,2024
03-07-2023,237,False,250,215,False,164,252,False,246,2015,2024
26-06-2023,249,False,229,240,False,139,250,False,246,2015,2024
19-06-2023,245,False,229,229,False,139,247,False,246,2015,2024
12-06-2023,254,False,216,244,False,123,249,False,246,2015,2024
29-05-2023,288,False,184,288,False,85,276,False,216,2015,2024
22-05-2023,288,False,184,283,False,85,271,False,216,2015,2024
08-05-2023,307,False,169,309,False,70,273,False,216,2015,2024
24-04-2023,319,False,161,314,False,62,285,False,208,2015,2024
17-04-2023,319,False,161,295,False,62,299,False,192,2015,2024
10-04-2023,331,False,150,324,False,51,301,False,192,2015,2024
03-04-2023,331,False,150,309,False,51,452,False,117,2015,2024
20-03-2023,332,False,150,280,False,51,467,False,114,2015,2024
06-03-2023,329,False,150,246,False,51,459,False,114,2015,2024
27-02-2023,367,False,134,307,False,35,516,False,98,2015,2024
20-02-2023,377,False,126,348,False,27,505,False,98,2015,2024
13-02-2023,379,False,123,341,False,24,587,False,82,2015,2024
06-02-2023,377,False,123,325,True,24,591,False,82,2015,2024
30-01-2023,415,False,107,523,True,8,587,False,82,2015,2024
16-01-2023,434,False,99,0,False,0,589,False,82,2015,2024
09-01-2023,433,False,99,0,False,0,594,False,82,2015,2024
02-01-2023,432,False,99,0,False,0,600,False,82,2015,2024
26-12-2022,431,False,99,0,False,0,601,False,82,2015,2024
19-12-2022,432,False,99,0,False,0,602,False,82,2015,2024
12-12-2022,434,False,99,0,False,0,604,False,82,2015,2024
05-12-2022,432,False,99,0,False,0,605,False,82,2015,2024
28-11-2022,435,False,99,0,False,0,605,False,82,2015,2024
21-11-2022,433,False,99,0,False,0,602,False,82,2015,2024
14-11-2022,434,False,99,0,False,0,681,False,66,2015,2024
07-11-2022,431,False,99,431,False,99,681,False,66,2015,2024
31-10-2022,465,False,83,464,False,83,680,False,66,2015,2024
24-10-2022,465,False,83,459,False,83,673,False,66,2015,2024
17-10-2022,463,False,80,454,False,80,676,False,66,2015,2024
10-10-2022,489,False,72,467,False,72,774,False,50,2015,2024
03-10-2022,485,False,72,460,False,72,761,False,50,2015,2024
26-09-2022,502,False,64,476,False,64,777,False,47,2015,2024
19-09-2022,508,False,61,479,False,61,892,True,35,2015,2024
12-09-2022,506,False,61,469,False,61,885,True,35,2015,2024
29-08-2022,573,False,46,518,False,46,1136,False,18,2015,2024
22-08-2022,619,False,38,559,False,38,1131,False,18,2015,2024
15-08-2022,646,False,34,576,False,34,1382,False,10,2015,2024
08-08-2022,644,False,34,558,False,34,1363,False,10,2015,2024
01-08-2022,644,False,34,551,False,34,1383,False,10,2015,2024
25-07-2022,687,False,30,568,False,30,1387,False,10,2015,2024
18-07-2022,861,False,15,706,False,15,1581,True,6,2015,2024
11-07-2022,0,False,0,0,False,0,1601,True,6,2015,2024
27-06-2022,0,False,0,0,False,0,1772,True,4,2015,2024
20-06-2022,0,False,0,0,False,0,1771,True,4,2015,2024
13-06-2022,0,False,0,0,False,0,1771,True,4,2015,2024
06-06-2022,0,False,0,0,False,0,1794,True,4,2015,2024
23-05-2022,0,False,0,0,False,0,1785,True,4,2015,2024
16-05-2022,0,False,0,0,False,0,1787,True,4,2015,2024
09-05-2022,0,False,0,0,False,0,1794,True,4,2015,2024
02-05-2022,0,False,0,0,False,0,1805,True,4,2015,2024
25-04-2022,0,False,0,0,False,0,1811,True,4,2015,2024
18-04-2022,0,False,0,0,False,0,1817,True,4,2015,2024
11-04-2022,0,False,0,0,False,0,1825,True,4,2015,2024
04-04-2022,0,False,0,0,False,0,1834,True,4,2015,2024
21-03-2022,0,False,0,0,False,0,1831,True,4,2015,2024
07-03-2022,0,False,0,0,False,0,1856,True,4,2015,2024
28-02-2022,0,False,0,0,False,0,1862,True,4,2015,2024
21-02-2022,0,False,0,0,False,0,1864,True,4,2015,2024
14-02-2022,0,False,0,0,False,0,1868,True,4,2015,2024
07-02-2022,0,False,0,0,False,0,1870,True,4,2015,2024
31-01-2022,0,False,0,0,False,0,1865,True,4,2015,2024
17-01-2022,0,False,0,0,False,0,1870,True,4,2015,2024
10-01-2022,0,False,0,0,False,0,1865,True,4,2015,2024
03-01-2022,0,False,0,0,False,0,1860,True,4,2015,2024
27-12-2021,0,False,0,0,False,0,1859,True,4,2015,2024
20-12-2021,0,False,0,0,False,0,1860,True,4,2015,2024
13-12-2021,0,False,0,0,False,0,1867,True,4,2015,2024
06-12-2021,0,False,0,0,False,0,1856,True,4,2015,2024
29-11-2021,0,False,0,0,False,0,1850,True,4,2015,2024
22-11-2021,0,False,0,0,False,0,1835,True,4,2015,2024
15-11-2021,0,False,0,0,False,0,1825,True,4,2015,2024
08-11-2021,0,False,0,0,False,0,1818,True,4,2015,2024
01-11-2021,0,False,0,0,False,0,1813,True,4,2015,2024
25-10-2021,0,False,0,0,False,0,1810,True,4,2015,2024
18-10-2021,0,False,0,0,False,0,1811,True,4,2015,2024
04-10-2021,0,False,0,0,False,0,1816,True,4,2015,2024
27-09-2021,0,False,0,0,False,0,1819,True,4,2015,2024
20-09-2021,0,False,0,0,False,0,0,False,0,2015,2024
13-09-2021,1205,False,6,0,False,0,0,False,0,2015,2024
30-08-2021,1210,False,6,0,False,0,0,False,0,2015,2024
23-08-2021,1202,False,6,0,False,0,0,False,0,2015,2024
16-08-2021,1210,False,6,0,False,0,0,False,0,2015,2024
09-08-2021,1205,False,6,0,False,0,0,False,0,2015,2024
02-08-2021,1199,False,6,0,False,0,0,False,0,2015,2024
26-07-2021,1198,False,6,0,False,0,0,False,0,2015,2024
19-07-2021,1195,False,6,0,False,0,0,False,0,2015,2024
12-07-2021,1184,False,6,0,False,0,0,False,0,2015,2024
28-06-2021,1181,True,6,0,False,0,0,False,0,2015,2024
21-06-2021,1180,True,6,0,False,0,0,False,0,2015,2024
14-06-2021,1179,True,6,0,False,0,0,False,0,2015,2024
31-05-2021,1173,True,6,0,False,0,0,False,0,2015,2024
24-05-2021,1168,True,6,0,False,0,0,False,0,2015,2024
17-05-2021,1167,True,6,0,False,0,0,False,0,2015,2024
10-05-2021,1170,True,6,0,False,0,0,False,0,2015,2024
03-05-2021,1173,True,6,0,False,0,0,False,0,2015,2024
26-04-2021,1175,True,6,0,False,0,0,False,0,2015,2024
19-04-2021,1173,True,6,0,False,0,0,False,0,2015,2024
12-04-2021,1175,True,6,0,False,0,0,False,0,2015,2024
05-04-2021,1177,True,6,0,False,0,0,False,0,2015,2024
22-03-2021,1175,True,6,0,False,0,0,False,0,2015,2024
15-03-2021,1172,True,6,0,False,0,0,False,0,2015,2024
08-03-2021,1168,True,6,0,False,0,0,False,0,2015,2024
01-03-2021,1167,True,6,0,False,0,0,False,0,2015,2024
22-02-2021,1166,True,6,0,False,0,0,False,0,2015,2024
08-02-2021,1160,True,6,0,False,0,0,False,0,2015,2024
01-02-2021,1160,True,6,0,False,0,0,False,0,2015,2024
25-01-2021,1159,True,6,0,False,0,0,False,0,2015,2024
18-01-2021,1158,True,6,0,False,0,0,False,0,2015,2024
11-01-2021,1157,True,6,0,False,0,0,False,0,2015,2024
04-01-2021,1155,True,6,0,False,0,0,False,0,2015,2024
28-12-2020,1155,True,6,0,False,0,0,False,0,2015,2024
21-12-2020,1155,True,6,0,False,0,0,False,0,2015,2024
14-12-2020,1153,True,6,0,False,0,0,False,0,2015,2024
07-12-2020,1147,True,6,0,False,0,0,False,0,2015,2024
30-11-2020,1145,True,6,0,False,0,0,False,0,2015,2024
23-11-2020,1145,True,6,0,False,0,0,False,0,2015,2024
16-11-2020,1145,True,6,0,False,0,0,False,0,2015,2024
09-11-2020,1140,True,6,0,False,0,0,False,0,2015,2024
02-11-2020,1138,True,6,0,False,0,0,False,0,2015,2024
26-10-2020,1137,True,6,0,False,0,0,False,0,2015,2024
19-10-2020,1137,True,6,0,False,0,0,False,0,2015,2024
12-10-2020,1138,True,6,0,False,0,0,False,0,2015,2024
28-09-2020,1137,True,6,0,False,0,0,False,0,2015,2024
21-09-2020,1136,True,6,0,False,0,0,False,0,2015,2024
14-09-2020,1135,True,6,0,False,0,0,False,0,2015,2024
31-08-2020,1130,True,6,0,False,0,0,False,0,2015,2024
24-08-2020,1130,True,6,0,False,0,0,False,0,2015,2024
16-03-2020,1133,True,6,0,False,0,0,False,0,2015,2024
09-03-2020,1125,True,6,0,False,0,0,False,0,2015,2024
02-03-2020,1123,True,6,0,False,0,0,False,0,2015,2024
24-02-2020,1121,False,6,0,False,0,0,False,0,2015,2024
17-02-2020,1116,True,6,0,False,0,0,False,0,2015,2024
10-02-2020,1117,True,6,0,False,0,0,False,0,2015,2024
03-02-2020,1119,True,6,0,False,0,0,False,0,2015,2024
20-01-2020,1119,True,6,0,False,0,0,False,0,2015,2024
13-01-2020,1117,True,6,0,False,0,0,False,0,2015,2024
06-01-2020,1123,True,6,0,False,0,0,False,0,2015,2024
30-12-2019,1123,True,6,0,False,0,0,False,0,2015,2024
23-12-2019,1127,True,6,0,False,0,0,False,0,2015,2024
16-12-2019,1123,True,6,0,False,0,0,False,0,2015,2024
09-12-2019,1118,True,6,0,False,0,0,False,0,2015,2024
02-12-2019,1121,True,6,0,False,0,0,False,0,2015,2024
25-11-2019,1120,True,6,0,False,0,0,False,0,2015,2024
18-11-2019,1122,True,6,0,False,0,0,False,0,2015,2024
11-11-2019,1121,True,6,0,False,0,0,False,0,2015,2024
04-11-2019,1124,True,6,1124,True,6,0,False,0,2015,2024
28-10-2019,1120,True,6,1112,True,6,0,False,0,2015,2024
21-10-2019,1120,True,6,1097,True,6,0,False,0,2015,2024
14-10-2019,1123,True,6,1088,True,6,0,False,0,2015,2024
07-10-2019,1119,True,6,1067,True,6,0,False,0,2015,2024
30-09-2019,1115,True,6,1053,True,6,0,False,0,2015,2024
23-09-2019,1115,True,6,1040,False,6,0,False,0,2015,2024
12-11-2018,0,False,0,0,False,0,0,False,0,2015,2024
05-11-2018,0,False,0,0,False,0,0,False,0,2015,2024
29-10-2018,0,False,0,0,False,0,0,False,0,2015,2024
22-10-2018,0,False,0,0,False,0,0,False,0,2015,2024
15-10-2018,0,False,0,0,False,0,0,False,0,2015,2024
08-10-2018,0,False,0,0,False,0,0,False,0,2015,2024
01-10-2018,0,False,0,0,False,0,0,False,0,2015,2024
24-09-2018,0,False,0,0,False,0,0,False,0,2015,2024
17-09-2018,0,False,0,0,False,0,0,False,0,2015,2024
10-09-2018,0,False,0,0,False,0,0,False,0,2015,2024
27-08-2018,0,False,0,0,False,0,0,False,0,2015,2024
20-08-2018,0,False,0,0,False,0,0,False,0,2015,2024
13-08-2018,0,False,0,0,False,0,0,False,0,2015,2024
06-08-2018,0,False,0,0,False,0,0,False,0,2015,2024
30-07-2018,0,False,0,0,False,0,0,False,0,2015,2024
23-07-2018,0,False,0,0,False,0,0,False,0,2015,2024
16-07-2018,0,False,0,0,False,0,0,False,0,2015,2024
02-07-2018,0,False,0,0,False,0,0,False,0,2015,2024
25-06-2018,0,False,0,0,False,0,0,False,0,2015,2024
18-06-2018,0,False,0,0,False,0,0,False,0,2015,2024
11-06-2018,0,False,0,0,False,0,0,False,0,2015,2024
28-05-2018,0,False,0,0,False,0,0,False,0,2015,2024
21-05-2018,0,False,0,0,False,0,0,False,0,2015,2024
14-05-2018,0,False,0,0,False,0,0,False,0,2015,2024
07-05-2018,0,False,0,0,False,0,0,False,0,2015,2024
30-04-2018,0,False,0,0,False,0,0,False,0,2015,2024
23-04-2018,0,False,0,0,False,0,0,False,0,2015,2024
16-04-2018,0,False,0,0,False,0,0,False,0,2015,2024
09-04-2018,0,False,0,0,False,0,0,False,0,2015,2024
02-04-2018,0,False,0,0,False,0,0,False,0,2015,2024
19-03-2018,0,False,0,0,False,0,0,False,0,2015,2024
05-03-2018,0,False,0,0,False,0,0,False,0,2015,2024
26-02-2018,0,False,0,0,False,0,0,False,0,2015,2024
19-02-2018,0,False,0,0,False,0,0,False,0,2015,2024
12-02-2018,0,False,0,0,False,0,0,False,0,2015,2024
05-02-2018,0,False,0,0,False,0,0,False,0,2015,2024
29-01-2018,0,False,0,0,False,0,0,False,0,2015,2024
15-01-2018,0,False,0,0,False,0,0,False,0,2015,2024
08-01-2018,0,False,0,0,False,0,0,False,0,2015,2024
01-01-2018,0,False,0,0,False,0,0,False,0,2015,2024
25-12-2017,0,False,0,0,False,0,0,False,0,2015,2024
18-12-2017,0,False,0,0,False,0,0,False,0,2015,2024
11-12-2017,0,False,0,0,False,0,0,False,0,2015,2024
04-12-2017,0,False,0,0,False,0,0,False,0,2015,2024
27-11-2017,0,False,0,0,False,0,0,False,0,2015,2024
20-11-2017,0,False,0,0,False,0,0,False,0,2015,2024
13-11-2017,0,False,0,0,False,0,0,False,0,2015,2024
16-10-2017,0,False,0,0,False,0,0,False,0,2015,2024
09-10-2017,1670,True,1,0,False,0,0,False,0,2015,2024
02-10-2017,1484,True,2,0,False,0,0,False,0,2015,2024
25-09-2017,1485,True,2,0,False,0,0,False,0,2015,2024
18-09-2017,1492,True,2,0,False,0,0,False,0,2015,2024
11-09-2017,1497,True,2,0,False,0,0,False,0,2015,2024
28-08-2017,1502,True,2,0,False,0,0,False,0,2015,2024
21-08-2017,1502,True,2,0,False,0,0,False,0,2015,2024
14-08-2017,1503,True,2,0,False,0,0,False,0,2015,2024
07-08-2017,1504,True,2,0,False,0,0,False,0,2015,2024
31-07-2017,1508,True,2,0,False,0,0,False,0,2015,2024
24-07-2017,1501,True,2,0,False,0,0,False,0,2015,2024
17-07-2017,1506,True,2,0,False,0,0,False,0,2015,2024
10-07-2017,1512,True,2,0,False,0,0,False,0,2015,2024
03-07-2017,1512,True,2,0,False,0,0,False,0,2015,2024
26-06-2017,1491,True,2,0,False,0,0,False,0,2015,2024
19-06-2017,1473,True,2,0,False,0,0,False,0,2015,2024
12-06-2017,1477,True,2,0,False,0,0,False,0,2015,2024
29-05-2017,1484,True,2,0,False,0,0,False,0,2015,2024
22-05-2017,1479,True,2,0,False,0,0,False,0,2015,2024
15-05-2017,1482,True,2,0,False,0,0,False,0,2015,2024
08-05-2017,1484,True,2,0,False,0,0,False,0,2015,2024
01-05-2017,1485,True,2,0,False,0,0,False,0,2015,2024
24-04-2017,1486,True,2,0,False,0,0,False,0,2015,2024
17-04-2017,1489,True,2,0,False,0,0,False,0,2015,2024
10-04-2017,1484,True,2,0,False,0,0,False,0,2015,2024
03-04-2017,1480,True,2,0,False,0,0,False,0,2015,2024
20-03-2017,1473,True,2,0,False,0,0,False,0,2015,2024
06-03-2017,1482,True,2,0,False,0,0,False,0,2015,2024
27-02-2017,1507,True,2,0,False,0,0,False,0,2015,2024
20-02-2017,1510,True,2,0,False,0,0,False,0,2015,2024
13-02-2017,1510,True,2,0,False,0,0,False,0,2015,2024
06-02-2017,1507,True,2,0,False,0,0,False,0,2015,2024
30-01-2017,1511,True,2,0,False,0,0,False,0,2015,2024
16-01-2017,1511,True,2,0,False,0,0,False,0,2015,2024
09-01-2017,1509,True,2,0,False,0,0,False,0,2015,2024
02-01-2017,1508,True,2,0,False,0,0,False,0,2015,2024
26-12-2016,1506,True,2,0,False,0,0,False,0,2015,2024
19-12-2016,1505,True,2,0,False,0,0,False,0,2015,2024
12-12-2016,1508,True,2,0,False,0,0,False,0,2015,2024
05-12-2016,1514,True,2,0,False,0,0,False,0,2015,2024
28-11-2016,1513,True,2,0,False,0,0,False,0,2015,2024
21-11-2016,1516,True,2,0,False,0,0,False,0,2015,2024
14-11-2016,1514,True,2,0,False,0,0,False,0,2015,2024
07-11-2016,1506,True,2,1506,True,2,0,False,0,2015,2024
31-10-2016,1497,True,2,1443,True,2,0,False,0,2015,2024
24-10-2016,1517,True,2,1424,True,2,0,False,0,2015,2024
17-10-2016,1527,True,2,1415,True,2,0,False,0,2015,2024
10-10-2016,1924,True,1,1591,True,1,0,False,0,2015,2024
03-10-2016,0,False,0,0,False,0,0,False,0,2015,2024
26-09-2016,0,False,0,0,False,0,0,False,0,2015,2024
19-09-2016,0,False,0,0,False,0,0,False,0,2015,2024
12-09-2016,0,False,0,0,False,0,0,False,0,2015,2024
29-08-2016,0,False,0,0,False,0,0,False,0,2015,2024
22-08-2016,0,False,0,0,False,0,0,False,0,2015,2024
15-08-2016,0,False,0,0,False,0,0,False,0,2015,2024
08-08-2016,0,False,0,0,False,0,0,False,0,2015,2024
01-08-2016,0,False,0,0,False,0,0,False,0,2015,2024
25-07-2016,0,False,0,0,False,0,0,False,0,2015,2024
18-07-2016,0,False,0,0,False,0,0,False,0,2015,2024
11-07-2016,0,False,0,0,False,0,0,False,0,2015,2024
27-06-2016,0,False,0,0,False,0,0,False,0,2015,2024
20-06-2016,0,False,0,0,False,0,0,False,0,2015,2024
13-06-2016,0,False,0,0,False,0,0,False,0,2015,2024
06-06-2016,0,False,0,0,False,0,0,False,0,2015,2024
23-05-2016,0,False,0,0,False,0,0,False,0,2015,2024
16-05-2016,0,False,0,0,False,0,0,False,0,2015,2024
09-05-2016,0,False,0,0,False,0,0,False,0,2015,2024
02-05-2016,0,False,0,0,False,0,0,False,0,2015,2024
25-04-2016,0,False,0,0,False,0,0,False,0,2015,2024
18-04-2016,0,False,0,0,False,0,0,False,0,2015,2024
11-04-2016,0,False,0,0,False,0,0,False,0,2015,2024
04-04-2016,0,False,0,0,False,0,0,False,0,2015,2024
21-03-2016,0,False,0,0,False,0,0,False,0,2015,2024
07-03-2016,0,False,0,0,False,0,0,False,0,2015,2024
29-02-2016,0,False,0,0,False,0,0,False,0,2015,2024
22-02-2016,0,False,0,0,False,0,0,False,0,2015,2024
15-02-2016,0,False,0,0,False,0,0,False,0,2015,2024
08-02-2016,0,False,0,0,False,0,0,False,0,2015,2024
01-02-2016,0,False,0,0,False,0,0,False,0,2015,2024
18-01-2016,0,False,0,0,False,0,0,False,0,2015,2024
11-01-2016,0,False,0,0,False,0,0,False,0,2015,2024
04-01-2016,0,False,0,0,False,0,0,False,0,2015,2024
28-12-2015,0,False,0,0,False,0,0,False,0,2015,2024
21-12-2015,0,False,0,0,False,0,0,False,0,2015,2024
14-12-2015,0,False,0,0,False,0,0,False,0,2015,2024
07-12-2015,0,False,0,0,False,0,0,False,0,2015,2024
30-11-2015,0,False,0,0,False,0,0,False,0,2015,2024
23-11-2015,0,False,0,0,False,0,0,False,0,2015,2024
16-11-2015,0,False,0,0,False,0,0,False,0,2015,2024
09-11-2015,0,False,0,0,False,0,0,False,0,2015,2024
02-11-2015,0,False,0,0,False,0,0,False,0,2015,2024
26-10-2015,0,False,0,0,False,0,0,False,0,2015,2024
19-10-2015,0,False,0,0,False,0,0,False,0,2015,2024
12-10-2015,0,False,0,0,False,0,0,False,0,2015,2024
