rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,106,False,601,225,False,126,0,False,0,2016,2024
27-05-2024,107,False,585,246,False,100,0,False,0,2016,2024
20-05-2024,107,False,595,239,False,100,0,False,0,2016,2024
06-05-2024,101,False,605,337,False,55,0,False,0,2016,2024
22-04-2024,102,False,605,314,False,55,0,False,0,2016,2024
15-04-2024,102,False,605,298,False,55,0,False,0,2016,2024
08-04-2024,102,False,605,288,False,55,0,False,0,2016,2024
01-04-2024,96,False,625,409,False,30,0,False,0,2016,2024
18-03-2024,94,False,640,441,False,20,0,False,0,2016,2024
04-03-2024,94,False,640,561,True,10,569,True,90,2016,2024
26-02-2024,95,False,640,533,True,10,567,True,90,2016,2024
19-02-2024,92,False,640,506,True,10,571,True,90,2016,2024
12-02-2024,94,False,650,483,True,10,578,True,90,2016,2024
05-02-2024,76,False,730,462,True,10,576,True,90,2016,2024
29-01-2024,77,False,730,427,True,10,583,True,90,2016,2024
15-01-2024,57,False,900,0,False,0,578,False,90,2016,2024
08-01-2024,54,False,910,0,False,0,578,False,90,2016,2024
01-01-2024,53,False,910,0,False,0,580,False,90,2016,2024
25-12-2023,53,False,910,0,False,0,581,False,90,2016,2024
18-12-2023,53,False,910,0,False,0,580,False,90,2016,2024
11-12-2023,53,False,910,0,False,0,581,False,90,2016,2024
04-12-2023,53,False,910,0,False,0,581,False,90,2016,2024
27-11-2023,53,False,910,0,False,0,575,False,90,2016,2024
20-11-2023,54,False,910,0,False,0,575,False,90,2016,2024
13-11-2023,54,False,910,55,False,910,578,False,90,2016,2024
06-11-2023,55,False,910,52,False,910,574,False,90,2016,2024
30-10-2023,57,False,885,56,False,875,573,False,90,2016,2024
23-10-2023,59,False,895,56,False,875,574,False,90,2016,2024
16-10-2023,58,False,895,52,False,865,568,False,90,2016,2024
02-10-2023,51,False,955,57,False,775,579,True,90,2016,2024
25-09-2023,51,False,945,58,False,765,576,True,90,2016,2024
18-09-2023,51,False,945,57,False,765,575,True,90,2016,2024
11-09-2023,51,False,945,57,False,765,579,True,90,2016,2024
28-08-2023,45,False,1025,53,False,755,583,False,90,2016,2024
21-08-2023,44,False,1025,53,False,755,572,False,90,2016,2024
14-08-2023,44,False,1015,47,False,745,569,False,90,2016,2024
07-08-2023,43,False,1025,47,False,735,570,True,90,2016,2024
31-07-2023,45,False,1025,54,False,655,563,True,90,2016,2024
24-07-2023,46,False,953,67,False,575,569,False,90,2016,2024
17-07-2023,47,False,953,66,False,575,561,False,90,2016,2024
03-07-2023,48,False,924,64,False,530,561,True,90,2016,2024
26-06-2023,46,False,889,67,False,485,550,True,90,2016,2024
19-06-2023,47,False,889,64,False,475,549,True,90,2016,2024
12-06-2023,46,False,889,61,False,475,547,True,90,2016,2024
29-05-2023,50,False,915,52,False,465,550,True,90,2016,2024
22-05-2023,49,False,905,53,False,445,543,True,90,2016,2024
08-05-2023,54,False,860,57,False,400,547,True,90,2016,2024
24-04-2023,49,False,880,47,False,390,558,True,90,2016,2024
17-04-2023,47,False,896,41,False,390,554,True,90,2016,2024
10-04-2023,46,False,906,35,False,390,553,True,90,2016,2024
03-04-2023,54,False,875,43,False,345,556,True,90,2016,2024
20-03-2023,50,False,891,35,False,320,554,True,90,2016,2024
06-03-2023,44,False,951,32,False,310,0,False,0,2016,2024
27-02-2023,44,False,951,28,False,310,0,False,0,2016,2024
20-02-2023,39,False,998,19,False,310,0,False,0,2016,2024
13-02-2023,39,False,996,17,False,290,0,False,0,2016,2024
06-02-2023,43,False,922,25,False,200,0,False,0,2016,2024
30-01-2023,48,False,922,25,False,200,0,False,0,2016,2024
16-01-2023,67,False,758,239,True,20,0,False,0,2016,2024
09-01-2023,66,False,746,0,False,0,0,False,0,2016,2024
02-01-2023,66,False,746,0,False,0,0,False,0,2016,2024
26-12-2022,66,False,746,0,False,0,0,False,0,2016,2024
19-12-2022,66,False,746,0,False,0,0,False,0,2016,2024
12-12-2022,66,False,746,0,False,0,0,False,0,2016,2024
05-12-2022,66,False,746,0,False,0,0,False,0,2016,2024
28-11-2022,66,False,746,0,False,0,0,False,0,2016,2024
21-11-2022,68,False,746,0,False,0,0,False,0,2016,2024
14-11-2022,65,False,767,0,False,0,0,False,0,2016,2024
07-11-2022,66,False,767,66,False,767,0,False,0,2016,2024
31-10-2022,63,False,780,67,False,751,0,False,0,2016,2024
24-10-2022,56,False,840,66,False,747,0,False,0,2016,2024
17-10-2022,56,False,836,65,False,735,0,False,0,2016,2024
10-10-2022,75,False,694,85,False,592,0,False,0,2016,2024
03-10-2022,75,False,683,85,False,581,0,False,0,2016,2024
26-09-2022,75,False,683,81,False,581,0,False,0,2016,2024
19-09-2022,73,False,692,82,False,561,0,False,0,2016,2024
12-09-2022,72,False,692,81,False,561,0,False,0,2016,2024
29-08-2022,87,False,610,94,False,471,0,False,0,2016,2024
22-08-2022,87,False,610,89,False,471,0,False,0,2016,2024
15-08-2022,83,False,617,83,False,471,0,False,0,2016,2024
08-08-2022,84,False,617,80,False,471,0,False,0,2016,2024
01-08-2022,99,False,531,99,False,381,0,False,0,2016,2024
25-07-2022,103,False,531,95,False,381,0,False,0,2016,2024
18-07-2022,105,False,531,94,False,381,0,False,0,2016,2024
11-07-2022,111,False,517,94,False,365,0,False,0,2016,2024
27-06-2022,116,False,517,92,False,365,0,False,0,2016,2024
