rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,93,False,633,216,False,133,259,False,250,2000,2024
27-05-2024,98,False,628,283,False,83,255,False,250,2000,2024
20-05-2024,97,False,628,275,False,83,255,False,250,2000,2024
06-05-2024,87,False,672,285,False,70,259,False,250,2000,2024
22-04-2024,87,False,697,269,False,70,260,False,250,2000,2024
15-04-2024,86,False,697,247,False,70,259,False,250,2000,2024
08-04-2024,79,False,742,237,False,70,261,True,250,2000,2024
01-04-2024,82,False,717,304,False,45,262,True,250,2000,2024
18-03-2024,83,False,717,274,False,45,265,False,250,2000,2024
04-03-2024,70,False,797,306,False,35,266,True,250,2000,2024
26-02-2024,74,False,797,287,False,35,265,False,250,2000,2024
19-02-2024,67,False,842,264,False,35,269,False,250,2000,2024
12-02-2024,60,False,907,476,True,10,213,False,340,2000,2024
05-02-2024,57,False,907,453,True,10,212,False,340,2000,2024
29-01-2024,56,False,907,416,True,10,209,False,340,2000,2024
15-01-2024,56,False,907,0,False,0,207,False,340,2000,2024
08-01-2024,56,False,907,0,False,0,207,False,340,2000,2024
01-01-2024,49,False,942,0,False,0,205,False,340,2000,2024
25-12-2023,49,False,942,0,False,0,205,False,340,2000,2024
18-12-2023,49,False,942,0,False,0,205,False,340,2000,2024
11-12-2023,49,False,942,0,False,0,205,False,340,2000,2024
04-12-2023,49,False,942,0,False,0,205,False,340,2000,2024
27-11-2023,50,False,942,0,False,0,203,False,340,2000,2024
20-11-2023,50,False,942,0,False,0,203,False,340,2000,2024
13-11-2023,50,False,942,52,False,942,208,False,340,2000,2024
06-11-2023,53,False,922,51,False,922,207,False,340,2000,2024
30-10-2023,51,False,922,50,False,912,208,False,340,2000,2024
23-10-2023,45,False,1012,48,False,912,207,False,340,2000,2024
16-10-2023,46,False,992,48,False,892,208,False,340,2000,2024
02-10-2023,46,False,982,46,False,882,215,False,340,2000,2024
25-09-2023,47,False,982,44,False,882,217,False,340,2000,2024
18-09-2023,40,False,1084,41,False,882,218,False,340,2000,2024
11-09-2023,40,False,1084,41,False,882,217,False,340,2000,2024
28-08-2023,49,False,1004,48,False,792,216,False,340,2000,2024
21-08-2023,49,False,1004,48,False,792,215,False,340,2000,2024
14-08-2023,51,False,924,57,False,702,212,False,340,2000,2024
07-08-2023,49,False,934,53,False,702,210,False,340,2000,2024
31-07-2023,49,False,934,49,False,702,212,False,340,2000,2024
24-07-2023,72,False,784,73,False,552,209,False,340,2000,2024
17-07-2023,74,False,764,73,False,532,567,False,90,2000,2024
03-07-2023,88,False,674,76,False,442,571,False,90,2000,2024
26-06-2023,87,False,674,76,False,442,559,False,90,2000,2024
19-06-2023,86,False,674,72,False,442,559,False,90,2000,2024
12-06-2023,78,False,719,66,False,442,561,False,90,2000,2024
29-05-2023,89,False,684,71,False,397,560,True,90,2000,2024
22-05-2023,88,False,684,68,False,397,553,True,90,2000,2024
08-05-2023,84,False,717,70,False,340,557,True,90,2000,2024
24-04-2023,84,False,692,63,False,315,565,True,90,2000,2024
17-04-2023,84,False,692,57,False,315,562,True,90,2000,2024
10-04-2023,90,False,647,74,False,270,561,True,90,2000,2024
03-04-2023,88,False,647,67,False,270,564,True,90,2000,2024
20-03-2023,87,False,647,54,False,270,458,False,115,2000,2024
06-03-2023,100,False,557,70,False,180,450,False,115,2000,2024
27-02-2023,97,False,557,59,False,180,451,False,115,2000,2024
20-02-2023,105,False,512,75,False,135,444,False,115,2000,2024
13-02-2023,130,False,422,208,False,45,1064,False,25,2000,2024
06-02-2023,134,False,422,187,False,45,1068,False,25,2000,2024
30-01-2023,135,False,422,170,False,45,1062,False,25,2000,2024
16-01-2023,139,False,412,146,False,35,1069,False,25,2000,2024
09-01-2023,139,False,412,115,True,35,1070,False,25,2000,2024
02-01-2023,148,False,377,0,False,0,1082,False,25,2000,2024
26-12-2022,148,False,377,0,False,0,1081,False,25,2000,2024
19-12-2022,148,False,377,0,False,0,1080,False,25,2000,2024
12-12-2022,148,False,377,0,False,0,1080,False,25,2000,2024
05-12-2022,149,False,377,0,False,0,1081,False,25,2000,2024
28-11-2022,150,False,377,0,False,0,1084,False,25,2000,2024
21-11-2022,151,False,377,0,False,0,1082,False,25,2000,2024
14-11-2022,150,False,377,0,False,0,1078,False,25,2000,2024
07-11-2022,150,False,377,150,False,377,1081,False,25,2000,2024
31-10-2022,153,False,367,150,False,367,1072,False,25,2000,2024
24-10-2022,194,False,277,189,False,277,1071,False,25,2000,2024
17-10-2022,193,False,277,185,False,277,1065,False,25,2000,2024
10-10-2022,196,False,277,182,False,277,1065,False,25,2000,2024
03-10-2022,191,False,277,178,False,277,1053,False,25,2000,2024
26-09-2022,193,False,277,173,False,277,1055,True,25,2000,2024
19-09-2022,284,False,175,246,False,175,1047,True,25,2000,2024
12-09-2022,284,False,175,241,False,175,1032,True,25,2000,2024
29-08-2022,295,False,165,245,False,165,1018,True,25,2000,2024
22-08-2022,288,False,165,239,False,165,1013,True,25,2000,2024
15-08-2022,306,False,155,246,False,155,998,True,25,2000,2024
08-08-2022,322,False,145,257,False,145,989,True,25,2000,2024
01-08-2022,288,False,168,246,False,145,617,False,70,2000,2024
25-07-2022,287,False,168,233,False,145,617,False,70,2000,2024
18-07-2022,290,False,168,231,False,145,622,False,70,2000,2024
11-07-2022,290,False,168,224,False,145,622,False,70,2000,2024
27-06-2022,267,False,191,211,False,145,624,False,70,2000,2024
20-06-2022,265,False,191,209,False,145,619,False,70,2000,2024
13-06-2022,290,False,169,272,False,100,625,False,70,2000,2024
06-06-2022,258,False,214,261,False,100,634,False,70,2000,2024
23-05-2022,263,False,204,262,False,90,619,False,70,2000,2024
16-05-2022,257,False,204,247,False,90,616,False,70,2000,2024
09-05-2022,361,False,119,0,False,0,615,False,70,2000,2024
02-05-2022,246,False,209,0,False,0,614,False,70,2000,2024
25-04-2022,244,False,209,0,False,0,616,False,70,2000,2024
18-04-2022,247,False,209,0,False,0,612,False,70,2000,2024
11-04-2022,236,False,232,0,False,0,620,False,70,2000,2024
04-04-2022,236,False,232,0,False,0,619,False,70,2000,2024
21-03-2022,232,False,237,0,False,0,765,True,45,2000,2024
07-03-2022,233,False,237,0,False,0,781,True,45,2000,2024
28-02-2022,237,False,237,0,False,0,783,True,45,2000,2024
21-02-2022,189,False,327,0,False,0,785,True,45,2000,2024
14-02-2022,171,False,372,0,False,0,794,True,45,2000,2024
07-02-2022,173,False,372,0,False,0,797,True,45,2000,2024
31-01-2022,159,False,417,0,False,0,790,True,45,2000,2024
17-01-2022,102,False,732,0,False,0,791,True,45,2000,2024
10-01-2022,103,False,732,0,False,0,793,True,45,2000,2024
03-01-2022,82,False,822,0,False,0,530,True,90,2000,2024
27-12-2021,82,False,822,356,False,90,529,True,90,2000,2024
20-12-2021,82,False,822,356,False,90,529,True,90,2000,2024
13-12-2021,82,False,822,352,False,90,528,True,90,2000,2024
06-12-2021,82,False,822,347,False,90,528,True,90,2000,2024
29-11-2021,82,False,822,342,False,90,529,True,90,2000,2024
22-11-2021,81,False,822,337,True,90,529,True,90,2000,2024
15-11-2021,81,False,822,335,True,90,527,True,90,2000,2024
08-11-2021,83,False,822,327,True,90,527,True,90,2000,2024
01-11-2021,61,False,1002,324,False,90,524,True,90,2000,2024
25-10-2021,64,False,1002,319,True,90,526,False,90,2000,2024
18-10-2021,57,False,1092,310,False,90,527,False,90,2000,2024
04-10-2021,46,False,1355,302,True,90,433,False,135,2000,2024
27-09-2021,47,False,1355,298,True,90,439,False,135,2000,2024
20-09-2021,47,False,1355,292,True,90,433,False,135,2000,2024
13-09-2021,49,False,1355,285,True,90,435,False,135,2000,2024
30-08-2021,33,False,1715,276,True,90,440,False,135,2000,2024
23-08-2021,31,False,1740,273,True,90,437,False,135,2000,2024
16-08-2021,32,False,1900,271,False,90,442,False,135,2000,2024
09-08-2021,31,False,1900,262,False,90,435,False,135,2000,2024
02-08-2021,31,False,1922,257,False,90,361,False,180,2000,2024
26-07-2021,30,False,1922,252,False,90,361,False,180,2000,2024
19-07-2021,29,False,1922,240,True,90,360,False,180,2000,2024
12-07-2021,30,False,1922,232,True,90,355,False,180,2000,2024
28-06-2021,30,False,1944,213,True,90,353,False,180,2000,2024
21-06-2021,30,False,1944,208,True,90,349,False,180,2000,2024
14-06-2021,28,False,1966,196,True,90,347,False,180,2000,2024
31-05-2021,24,False,2281,176,True,90,348,False,180,2000,2024
24-05-2021,24,False,2281,173,True,90,348,False,180,2000,2024
17-05-2021,24,False,2281,168,False,90,346,False,180,2000,2024
10-05-2021,25,False,2268,166,False,90,346,False,180,2000,2024
03-05-2021,21,False,2358,158,False,90,346,False,180,2000,2024
26-04-2021,21,False,2358,153,False,90,348,False,180,2000,2024
19-04-2021,21,False,2358,142,False,90,346,False,180,2000,2024
12-04-2021,20,False,2380,125,False,90,348,False,180,2000,2024
05-04-2021,21,False,2380,120,False,90,347,False,180,2000,2024
22-03-2021,21,False,2365,106,False,90,344,False,180,2000,2024
15-03-2021,21,False,2365,95,False,90,341,False,180,2000,2024
08-03-2021,20,False,2365,80,False,90,298,False,225,2000,2024
01-03-2021,20,False,2365,69,True,90,294,False,225,2000,2024
22-02-2021,20,False,2365,55,True,90,294,False,225,2000,2024
08-02-2021,18,False,2365,42,True,45,286,False,225,2000,2024
01-02-2021,18,False,2365,0,False,0,283,False,225,2000,2024
25-01-2021,18,False,2365,0,False,0,283,False,225,2000,2024
18-01-2021,18,False,2365,0,False,0,284,False,225,2000,2024
11-01-2021,18,False,2365,0,False,0,283,False,225,2000,2024
04-01-2021,18,False,2365,0,False,1060,282,False,225,2000,2024
28-12-2020,18,False,2320,0,False,0,280,False,225,2000,2024
