rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,427,False,108,729,True,13,0,False,0,2015,2024
27-05-2024,401,False,118,699,True,13,571,True,90,2015,2024
20-05-2024,321,False,163,682,True,13,568,True,90,2015,2024
06-05-2024,293,False,188,661,True,13,565,True,90,2015,2024
22-04-2024,286,False,198,641,True,13,565,True,90,2015,2024
15-04-2024,285,False,198,630,True,13,570,True,90,2015,2024
08-04-2024,285,False,198,612,True,13,567,True,90,2015,2024
01-04-2024,298,False,185,0,False,0,569,True,90,2015,2024
18-03-2024,268,False,210,0,False,0,566,True,90,2015,2024
04-03-2024,248,False,235,0,False,0,561,True,90,2015,2024
26-02-2024,249,False,235,0,False,0,559,True,90,2015,2024
19-02-2024,249,False,235,0,False,0,564,True,90,2015,2024
12-02-2024,248,False,235,0,False,0,571,True,90,2015,2024
05-02-2024,139,False,485,0,False,0,569,True,90,2015,2024
29-01-2024,118,False,535,0,False,0,576,True,90,2015,2024
15-01-2024,119,False,535,0,False,0,571,True,90,2015,2024
08-01-2024,122,False,535,0,False,0,571,True,90,2015,2024
01-01-2024,121,False,541,0,False,0,572,False,90,2015,2024
25-12-2023,121,False,541,0,False,0,573,False,90,2015,2024
18-12-2023,121,False,541,0,False,0,572,False,90,2015,2024
11-12-2023,121,False,541,0,False,0,573,False,90,2015,2024
04-12-2023,121,False,541,0,False,0,573,False,90,2015,2024
27-11-2023,119,False,541,0,False,0,567,False,90,2015,2024
20-11-2023,116,False,541,0,False,0,567,False,90,2015,2024
13-11-2023,118,False,541,118,False,541,570,False,90,2015,2024
06-11-2023,117,False,541,117,False,541,566,False,90,2015,2024
30-10-2023,117,False,541,114,False,541,566,False,90,2015,2024
23-10-2023,115,False,541,112,False,541,567,False,90,2015,2024
16-10-2023,114,False,541,107,False,541,561,False,90,2015,2024
02-10-2023,101,False,613,103,False,541,573,False,90,2015,2024
25-09-2023,100,False,613,97,False,541,569,False,90,2015,2024
18-09-2023,98,False,613,95,False,541,567,True,90,2015,2024
11-09-2023,98,False,613,94,False,541,571,True,90,2015,2024
28-08-2023,86,False,683,91,False,496,573,True,90,2015,2024
21-08-2023,89,False,683,91,False,496,562,True,90,2015,2024
14-08-2023,87,False,683,90,False,496,559,False,90,2015,2024
07-08-2023,91,False,683,88,False,496,561,True,90,2015,2024
31-07-2023,90,False,683,87,False,496,556,True,90,2015,2024
24-07-2023,89,False,663,87,False,476,561,True,90,2015,2024
17-07-2023,78,False,743,82,False,476,553,True,90,2015,2024
03-07-2023,62,False,814,73,False,466,561,True,90,2015,2024
26-06-2023,59,False,814,73,False,466,550,True,90,2015,2024
