rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,371,False,135,0,False,0,0,False,0,2014,2024
27-05-2024,345,False,145,0,False,0,0,False,0,2014,2024
20-05-2024,348,False,145,0,False,0,0,False,0,2014,2024
06-05-2024,301,False,177,0,False,0,0,False,0,2014,2024
22-04-2024,306,False,177,0,False,0,0,False,0,2014,2024
15-04-2024,307,False,177,0,False,0,0,False,0,2014,2024
08-04-2024,308,False,177,0,False,0,0,False,0,2014,2024
01-04-2024,306,False,177,0,False,0,0,False,0,2014,2024
18-03-2024,297,False,187,0,False,0,0,False,0,2014,2024
04-03-2024,262,False,212,0,False,0,0,False,0,2014,2024
26-02-2024,234,False,257,0,False,0,0,False,0,2014,2024
19-02-2024,201,False,302,0,False,0,0,False,0,2014,2024
12-02-2024,188,False,322,0,False,0,0,False,0,2014,2024
05-02-2024,189,False,322,0,False,0,0,False,0,2014,2024
29-01-2024,188,False,322,0,False,0,0,False,0,2014,2024
15-01-2024,151,False,412,0,False,0,0,False,0,2014,2024
08-01-2024,137,False,469,0,False,0,0,False,0,2014,2024
01-01-2024,136,False,469,0,False,0,0,False,0,2014,2024
25-12-2023,136,False,469,0,False,0,0,False,0,2014,2024
18-12-2023,136,False,469,0,False,0,0,False,0,2014,2024
11-12-2023,136,False,469,0,False,0,0,False,0,2014,2024
04-12-2023,136,False,469,0,False,0,0,False,0,2014,2024
27-11-2023,135,False,469,0,False,0,0,False,0,2014,2024
20-11-2023,135,False,469,0,False,0,0,False,0,2014,2024
13-11-2023,134,False,469,136,False,469,0,False,0,2014,2024
06-11-2023,131,False,469,130,False,469,0,False,0,2014,2024
30-10-2023,118,False,539,129,False,469,0,False,0,2014,2024
23-10-2023,116,False,539,128,False,469,0,False,0,2014,2024
16-10-2023,104,False,584,123,False,469,0,False,0,2014,2024
02-10-2023,87,False,686,118,False,469,0,False,0,2014,2024
25-09-2023,87,False,686,117,False,469,0,False,0,2014,2024
18-09-2023,85,False,721,112,False,469,0,False,0,2014,2024
11-09-2023,84,False,721,111,False,469,0,False,0,2014,2024
28-08-2023,80,False,731,97,False,469,0,False,0,2014,2024
21-08-2023,80,False,731,97,False,469,0,False,0,2014,2024
14-08-2023,81,False,741,95,False,469,0,False,0,2014,2024
07-08-2023,82,False,741,94,False,459,0,False,0,2014,2024
31-07-2023,56,False,901,94,False,459,0,False,0,2014,2024
24-07-2023,51,False,901,91,False,459,0,False,0,2014,2024
17-07-2023,51,False,901,87,False,459,842,True,45,2014,2024
03-07-2023,59,False,831,93,False,369,846,True,45,2014,2024
26-06-2023,61,False,796,103,False,334,838,True,45,2014,2024
19-06-2023,63,False,796,97,False,334,838,True,45,2014,2024
12-06-2023,62,False,796,95,False,334,839,True,45,2014,2024
29-05-2023,56,False,876,81,False,324,848,True,45,2014,2024
22-05-2023,53,False,876,80,False,324,837,True,45,2014,2024
08-05-2023,52,False,870,89,False,292,843,True,45,2014,2024
24-04-2023,50,False,880,77,False,292,846,True,45,2014,2024
17-04-2023,50,False,880,71,False,292,846,True,45,2014,2024
10-04-2023,51,False,880,64,False,292,842,True,45,2014,2024
03-04-2023,53,False,880,58,False,292,845,True,45,2014,2024
20-03-2023,53,False,870,50,False,282,846,True,45,2014,2024
06-03-2023,57,False,851,49,False,257,835,True,45,2014,2024
27-02-2023,59,False,806,48,False,212,831,True,45,2014,2024
20-02-2023,69,False,761,54,False,167,827,True,45,2014,2024
13-02-2023,72,False,741,51,False,147,827,True,45,2014,2024
06-02-2023,73,False,741,43,False,147,825,True,45,2014,2024
30-01-2023,60,False,831,39,False,147,817,True,45,2014,2024
16-01-2023,69,False,751,78,False,57,813,True,45,2014,2024
09-01-2023,77,False,694,0,False,0,815,True,45,2014,2024
02-01-2023,69,False,739,0,False,0,823,True,45,2014,2024
26-12-2022,69,False,739,0,False,0,822,True,45,2014,2024
19-12-2022,69,False,739,0,False,0,825,True,45,2014,2024
12-12-2022,69,False,739,0,False,0,826,True,45,2014,2024
05-12-2022,69,False,739,0,False,0,829,True,45,2014,2024
28-11-2022,69,False,739,0,False,0,826,True,45,2014,2024
21-11-2022,71,False,739,0,False,0,825,True,45,2014,2024
14-11-2022,72,False,739,0,False,0,824,True,45,2014,2024
07-11-2022,71,False,747,71,False,747,823,True,45,2014,2024
31-10-2022,74,False,712,78,False,677,817,True,45,2014,2024
24-10-2022,76,False,712,77,False,677,818,True,45,2014,2024
17-10-2022,79,False,667,78,False,632,816,False,45,2014,2024
10-10-2022,99,False,565,95,False,530,813,True,45,2014,2024
03-10-2022,96,False,565,92,False,530,796,True,45,2014,2024
26-09-2022,94,False,565,90,False,530,793,True,45,2014,2024
19-09-2022,100,False,540,96,False,485,791,True,45,2014,2024
12-09-2022,98,False,540,95,False,485,783,True,45,2014,2024
29-08-2022,99,False,540,91,False,475,783,True,45,2014,2024
22-08-2022,74,False,680,91,False,465,778,True,45,2014,2024
15-08-2022,77,False,655,91,False,440,771,True,45,2014,2024
08-08-2022,77,False,655,88,False,440,770,True,45,2014,2024
01-08-2022,115,False,475,156,False,260,777,True,45,2014,2024
25-07-2022,108,False,524,146,False,260,766,True,45,2014,2024
18-07-2022,91,False,609,135,False,260,0,False,0,2014,2024
11-07-2022,93,False,619,132,False,260,0,False,0,2014,2024
27-06-2022,88,False,653,131,False,249,0,False,0,2014,2024
20-06-2022,88,False,659,132,False,243,0,False,0,2014,2024
13-06-2022,90,False,664,125,False,243,0,False,0,2014,2024
06-06-2022,83,False,750,118,False,243,0,False,0,2014,2024
23-05-2022,95,False,672,159,False,153,0,False,0,2014,2024
16-05-2022,96,False,679,155,False,153,0,False,0,2014,2024
09-05-2022,98,False,679,151,False,153,0,False,0,2014,2024
02-05-2022,100,False,679,145,False,153,0,False,0,2014,2024
25-04-2022,97,False,704,136,False,153,1402,True,10,2014,2024
18-04-2022,98,False,704,131,False,153,1411,True,10,2014,2024
11-04-2022,96,False,704,115,False,145,1414,True,10,2014,2024
04-04-2022,95,False,718,107,False,145,1418,True,10,2014,2024
21-03-2022,83,False,763,91,False,145,1429,True,10,2014,2024
07-03-2022,83,False,773,73,True,145,1444,True,10,2014,2024
28-02-2022,85,False,773,73,True,145,1452,True,10,2014,2024
21-02-2022,85,False,773,66,True,145,1456,True,10,2014,2024
14-02-2022,75,False,863,48,True,145,1461,True,10,2014,2024
07-02-2022,75,False,863,38,True,145,1461,True,10,2014,2024
31-01-2022,83,False,793,82,True,55,1458,True,10,2014,2024
17-01-2022,86,False,793,47,True,45,1468,True,10,2014,2024
10-01-2022,82,False,815,34,True,45,1470,True,10,2014,2024
03-01-2022,94,False,782,0,False,0,1464,True,10,2014,2024
27-12-2021,94,False,782,82,False,619,1463,True,10,2014,2024
20-12-2021,94,False,782,82,False,619,1465,True,10,2014,2024
13-12-2021,94,False,782,82,False,619,1459,True,10,2014,2024
06-12-2021,94,False,782,82,False,619,1459,True,10,2014,2024
29-11-2021,94,False,782,82,False,619,1458,True,10,2014,2024
22-11-2021,93,False,782,81,False,619,1449,True,10,2014,2024
15-11-2021,91,False,782,80,False,619,1443,True,10,2014,2024
08-11-2021,93,False,782,81,False,611,1443,True,10,2014,2024
01-11-2021,97,False,757,87,False,576,1435,True,10,2014,2024
25-10-2021,101,False,757,84,True,576,1438,True,10,2014,2024
18-10-2021,101,False,757,82,False,576,1435,True,10,2014,2024
04-10-2021,88,False,855,78,False,576,1455,True,10,2014,2024
27-09-2021,87,False,855,76,False,576,1449,True,10,2014,2024
20-09-2021,75,False,960,72,False,556,1455,True,10,2014,2024
13-09-2021,73,False,960,71,False,556,1455,True,10,2014,2024
30-08-2021,72,False,981,64,False,546,1474,True,10,2014,2024
23-08-2021,90,False,843,91,False,396,1465,True,10,2014,2024
16-08-2021,92,False,843,87,False,396,1474,True,10,2014,2024
09-08-2021,92,False,843,83,False,396,1469,True,10,2014,2024
02-08-2021,91,False,843,78,False,396,1467,True,10,2014,2024
26-07-2021,99,False,810,87,False,351,1469,True,10,2014,2024
19-07-2021,96,False,817,97,False,306,1459,True,10,2014,2024
12-07-2021,94,False,825,92,False,306,1453,True,10,2014,2024
28-06-2021,98,False,796,95,False,261,1450,True,10,2014,2024
21-06-2021,98,False,796,96,False,249,1454,True,10,2014,2024
14-06-2021,98,False,796,87,True,249,1453,True,10,2014,2024
31-05-2021,105,False,776,108,False,159,1449,True,10,2014,2024
