rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,140,False,430,130,False,240,0,False,0,2016,2024
27-05-2024,148,False,420,167,False,160,0,False,0,2016,2024
20-05-2024,148,False,420,166,False,160,0,False,0,2016,2024
06-05-2024,144,False,427,155,False,157,0,False,0,2016,2024
22-04-2024,141,False,450,152,False,147,1043,True,32,2016,2024
15-04-2024,146,False,450,143,False,147,1048,False,32,2016,2024
08-04-2024,145,False,450,142,False,140,1049,False,32,2016,2024
01-04-2024,144,False,450,127,False,140,1048,False,32,2016,2024
18-03-2024,144,False,467,108,False,140,1047,False,32,2016,2024
04-03-2024,138,False,467,94,False,140,1047,False,32,2016,2024
26-02-2024,141,False,461,94,False,127,1031,False,32,2016,2024
19-02-2024,133,False,498,86,False,114,1030,False,32,2016,2024
12-02-2024,113,False,560,83,False,101,1024,False,32,2016,2024
05-02-2024,111,False,560,82,False,94,1030,False,32,2016,2024
29-01-2024,110,False,559,77,False,87,1027,False,32,2016,2024
15-01-2024,133,False,487,389,True,7,1029,False,32,2016,2024
08-01-2024,134,False,487,346,True,7,1029,False,32,2016,2024
01-01-2024,135,False,480,0,False,0,1026,False,32,2016,2024
25-12-2023,135,False,480,0,False,0,1027,False,32,2016,2024
18-12-2023,135,False,480,0,False,0,1029,False,32,2016,2024
11-12-2023,135,False,480,0,False,0,1024,False,32,2016,2024
04-12-2023,135,False,480,0,False,0,1022,False,32,2016,2024
27-11-2023,134,False,480,0,False,0,1020,False,32,2016,2024
20-11-2023,134,False,480,0,False,0,1018,False,32,2016,2024
13-11-2023,132,False,480,133,False,480,1015,False,32,2016,2024
06-11-2023,128,False,480,127,False,480,1021,False,32,2016,2024
30-10-2023,130,False,480,127,False,480,1021,False,32,2016,2024
23-10-2023,128,False,487,126,False,471,1020,False,32,2016,2024
16-10-2023,125,False,487,124,False,465,1028,False,32,2016,2024
02-10-2023,129,False,467,122,False,445,1028,False,32,2016,2024
25-09-2023,132,False,472,123,False,434,1026,False,32,2016,2024
18-09-2023,139,False,447,125,False,409,1028,False,32,2016,2024
11-09-2023,136,False,447,121,False,409,1022,False,32,2016,2024
28-08-2023,136,False,442,122,False,377,1021,False,32,2016,2024
21-08-2023,137,False,442,122,False,377,1017,False,32,2016,2024
14-08-2023,141,False,442,118,False,377,1016,False,32,2016,2024
07-08-2023,142,False,442,116,False,377,1018,False,32,2016,2024
31-07-2023,141,False,442,112,False,377,1006,False,32,2016,2024
24-07-2023,119,False,544,109,False,377,995,False,32,2016,2024
17-07-2023,117,False,544,103,False,377,997,False,32,2016,2024
03-07-2023,125,False,497,107,False,319,1003,False,32,2016,2024
26-06-2023,125,False,497,106,False,319,983,False,32,2016,2024
19-06-2023,132,False,452,125,False,274,977,False,32,2016,2024
12-06-2023,128,False,477,118,False,274,977,False,32,2016,2024
29-05-2023,129,False,478,144,False,204,987,False,32,2016,2024
22-05-2023,129,False,478,140,False,204,982,False,32,2016,2024
08-05-2023,120,False,513,128,False,204,984,False,32,2016,2024
24-04-2023,125,False,489,146,False,164,0,False,0,2016,2024
17-04-2023,124,False,489,134,False,164,0,False,0,2016,2024
10-04-2023,124,False,489,125,False,164,0,False,0,2016,2024
03-04-2023,121,False,489,115,False,164,1015,False,30,2016,2024
20-03-2023,124,False,474,129,False,133,712,False,62,2016,2024
06-03-2023,123,False,474,107,False,133,704,False,62,2016,2024
27-02-2023,115,False,481,91,False,133,693,False,62,2016,2024
20-02-2023,127,False,433,131,False,83,691,False,62,2016,2024
13-02-2023,166,False,358,569,False,8,690,False,62,2016,2024
06-02-2023,166,False,358,551,True,8,687,False,62,2016,2024
30-01-2023,168,False,358,511,True,8,690,False,62,2016,2024
16-01-2023,168,False,350,0,False,0,686,False,62,2016,2024
09-01-2023,168,False,350,0,False,0,689,False,62,2016,2024
02-01-2023,161,False,350,0,False,0,694,False,62,2016,2024
26-12-2022,161,False,350,0,False,0,695,False,62,2016,2024
19-12-2022,161,False,350,0,False,0,696,False,62,2016,2024
12-12-2022,162,False,350,0,False,0,698,False,62,2016,2024
05-12-2022,163,False,350,0,False,0,700,False,62,2016,2024
28-11-2022,165,False,350,0,False,0,700,False,62,2016,2024
21-11-2022,162,False,350,0,False,0,699,False,62,2016,2024
14-11-2022,165,False,350,0,False,0,698,False,62,2016,2024
07-11-2022,162,False,350,162,False,350,701,False,62,2016,2024
31-10-2022,163,False,350,156,False,350,702,False,62,2016,2024
24-10-2022,164,False,334,159,False,334,703,False,62,2016,2024
17-10-2022,166,False,328,155,False,328,706,False,62,2016,2024
10-10-2022,170,False,328,153,False,328,701,False,62,2016,2024
03-10-2022,164,False,328,147,False,328,687,False,62,2016,2024
26-09-2022,171,False,319,151,False,312,594,False,77,2016,2024
19-09-2022,169,False,319,148,False,312,597,False,77,2016,2024
12-09-2022,165,False,319,143,False,312,590,False,77,2016,2024
