rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,218,False,279,231,False,124,884,False,45,2013,2024
27-05-2024,219,False,281,221,False,116,895,False,45,2013,2024
20-05-2024,203,False,301,213,False,116,888,False,45,2013,2024
06-05-2024,178,False,340,210,False,110,888,True,45,2013,2024
22-04-2024,147,False,430,196,False,110,884,False,45,2013,2024
15-04-2024,145,False,450,185,False,110,886,True,45,2013,2024
08-04-2024,142,False,453,184,False,103,891,True,45,2013,2024
01-04-2024,143,False,454,259,False,59,896,False,45,2013,2024
18-03-2024,145,False,457,260,False,52,892,False,45,2013,2024
04-03-2024,144,False,457,267,False,42,892,False,45,2013,2024
26-02-2024,143,False,457,251,True,42,890,True,45,2013,2024
19-02-2024,93,False,637,225,True,42,890,False,45,2013,2024
12-02-2024,78,False,720,206,False,42,886,False,45,2013,2024
05-02-2024,79,False,715,346,True,17,887,False,45,2013,2024
29-01-2024,80,False,715,315,False,17,889,False,45,2013,2024
15-01-2024,78,False,715,386,True,7,893,False,45,2013,2024
08-01-2024,77,False,715,0,False,0,888,False,45,2013,2024
01-01-2024,80,False,715,0,False,0,892,False,45,2013,2024
25-12-2023,80,False,715,0,False,0,891,False,45,2013,2024
18-12-2023,80,False,715,0,False,0,889,False,45,2013,2024
11-12-2023,80,False,715,0,False,0,888,False,45,2013,2024
04-12-2023,80,False,715,0,False,0,880,False,45,2013,2024
27-11-2023,81,False,715,0,False,0,870,False,45,2013,2024
20-11-2023,81,False,715,0,False,0,865,False,45,2013,2024
13-11-2023,83,False,715,83,False,715,860,False,45,2013,2024
06-11-2023,81,False,715,79,False,715,863,False,45,2013,2024
30-10-2023,81,False,721,81,False,705,859,False,45,2013,2024
23-10-2023,80,False,721,76,False,705,859,False,45,2013,2024
16-10-2023,80,False,721,73,False,705,858,False,45,2013,2024
02-10-2023,70,False,766,70,False,695,417,False,135,2013,2024
25-09-2023,72,False,766,69,False,695,422,False,135,2013,2024
18-09-2023,74,False,766,68,False,695,413,False,135,2013,2024
11-09-2023,75,False,766,68,False,695,405,False,135,2013,2024
28-08-2023,76,False,776,67,False,650,410,False,135,2013,2024
21-08-2023,75,False,776,66,False,650,404,False,135,2013,2024
14-08-2023,75,False,776,65,False,640,405,False,135,2013,2024
07-08-2023,64,False,846,63,False,630,408,False,135,2013,2024
31-07-2023,63,False,846,58,False,630,410,False,135,2013,2024
24-07-2023,54,False,875,53,False,630,411,False,135,2013,2024
17-07-2023,53,False,871,50,False,620,569,False,90,2013,2024
03-07-2023,53,False,856,58,False,560,576,False,90,2013,2024
26-06-2023,50,False,856,54,False,560,564,False,90,2013,2024
19-06-2023,50,False,856,52,False,560,564,False,90,2013,2024
12-06-2023,50,False,856,49,False,560,563,False,90,2013,2024
29-05-2023,38,False,1051,38,False,550,568,False,90,2013,2024
22-05-2023,37,False,1041,40,False,530,561,False,90,2013,2024
08-05-2023,38,False,1016,40,False,485,564,False,90,2013,2024
24-04-2023,42,False,958,46,False,395,570,False,90,2013,2024
17-04-2023,41,False,968,45,False,375,567,False,90,2013,2024
10-04-2023,41,False,987,42,False,365,566,False,90,2013,2024
03-04-2023,43,False,952,46,False,320,566,True,90,2013,2024
20-03-2023,41,False,958,39,False,310,568,True,90,2013,2024
06-03-2023,42,False,959,37,False,300,563,False,90,2013,2024
27-02-2023,42,False,959,30,False,300,559,False,90,2013,2024
20-02-2023,63,False,786,87,True,120,550,False,90,2013,2024
13-02-2023,74,False,702,295,True,30,544,False,90,2013,2024
06-02-2023,76,False,702,486,True,10,551,False,90,2013,2024
30-01-2023,74,False,716,445,True,10,548,False,90,2013,2024
16-01-2023,72,False,712,0,False,0,556,False,90,2013,2024
09-01-2023,71,False,712,0,False,0,558,False,90,2013,2024
02-01-2023,72,False,712,0,False,0,570,False,90,2013,2024
26-12-2022,72,False,712,0,False,0,571,False,90,2013,2024
19-12-2022,72,False,712,0,False,0,571,False,90,2013,2024
12-12-2022,72,False,712,0,False,0,573,False,90,2013,2024
05-12-2022,72,False,712,0,False,0,574,False,90,2013,2024
28-11-2022,72,False,712,0,False,0,577,False,90,2013,2024
21-11-2022,74,False,712,0,False,0,574,False,90,2013,2024
14-11-2022,74,False,712,0,False,0,574,False,90,2013,2024
07-11-2022,75,False,712,75,False,712,568,False,90,2013,2024
31-10-2022,78,False,696,74,False,696,567,False,90,2013,2024
24-10-2022,79,False,704,73,False,696,562,False,90,2013,2024
17-10-2022,75,False,704,68,False,696,557,False,90,2013,2024
10-10-2022,74,False,699,70,False,676,554,False,90,2013,2024
03-10-2022,80,False,654,76,False,631,0,False,0,2013,2024
26-09-2022,78,False,654,72,False,631,0,False,0,2013,2024
19-09-2022,80,False,660,69,False,631,0,False,0,2013,2024
12-09-2022,80,False,660,67,False,631,0,False,0,2013,2024
29-08-2022,79,False,664,70,False,566,0,False,0,2013,2024
22-08-2022,79,False,664,69,False,566,0,False,0,2013,2024
15-08-2022,74,False,664,64,False,566,0,False,0,2013,2024
08-08-2022,89,False,584,77,False,486,0,False,0,2013,2024
01-08-2022,89,False,584,75,False,486,0,False,0,2013,2024
25-07-2022,82,False,629,78,False,441,0,False,0,2013,2024
18-07-2022,81,False,651,76,False,441,0,False,0,2013,2024
11-07-2022,88,False,627,82,False,411,0,False,0,2013,2024
27-06-2022,90,False,639,88,False,386,0,False,0,2013,2024
20-06-2022,90,False,639,85,False,386,0,False,0,2013,2024
13-06-2022,94,False,643,83,False,386,1554,False,8,2013,2024
06-06-2022,97,False,671,76,False,386,1565,False,8,2013,2024
23-05-2022,130,False,475,136,False,181,1558,False,8,2013,2024
16-05-2022,133,False,475,132,False,181,1553,False,8,2013,2024
09-05-2022,112,False,555,142,False,161,1553,False,8,2013,2024
02-05-2022,113,False,562,138,False,161,1556,False,8,2013,2024
25-04-2022,123,False,538,159,False,129,1557,False,8,2013,2024
18-04-2022,119,False,563,190,False,99,1569,False,8,2013,2024
11-04-2022,123,False,535,203,False,64,1571,False,8,2013,2024
04-04-2022,123,False,540,200,False,58,1578,False,8,2013,2024
21-03-2022,124,False,537,196,True,47,1581,False,8,2013,2024
07-03-2022,118,False,566,190,False,40,1613,False,8,2013,2024
28-02-2022,118,False,566,184,False,40,1617,False,8,2013,2024
21-02-2022,119,False,570,166,False,40,1613,False,8,2013,2024
14-02-2022,125,False,570,154,False,40,920,False,33,2013,2024
07-02-2022,129,False,558,198,True,20,928,False,33,2013,2024
31-01-2022,126,False,586,0,False,0,924,False,33,2013,2024
17-01-2022,125,False,586,0,False,0,918,False,33,2013,2024
10-01-2022,124,False,586,0,False,0,918,False,33,2013,2024
03-01-2022,124,False,586,0,False,0,920,False,33,2013,2024
27-12-2021,124,False,586,95,False,545,921,False,33,2013,2024
20-12-2021,124,False,586,95,False,545,920,False,33,2013,2024
13-12-2021,124,False,586,95,False,545,917,False,33,2013,2024
06-12-2021,124,False,586,95,False,545,916,False,33,2013,2024
29-11-2021,120,False,607,95,False,545,914,False,33,2013,2024
22-11-2021,120,False,607,94,False,545,921,False,33,2013,2024
15-11-2021,121,False,607,92,False,545,921,False,33,2013,2024
08-11-2021,121,False,607,90,False,545,921,False,33,2013,2024
01-11-2021,122,False,607,90,False,545,927,False,33,2013,2024
25-10-2021,125,False,607,89,False,537,772,False,48,2013,2024
18-10-2021,122,False,647,89,False,537,768,False,48,2013,2024
04-10-2021,122,False,661,87,False,522,770,False,48,2013,2024
27-09-2021,120,False,661,81,False,522,771,False,48,2013,2024
20-09-2021,119,False,661,79,False,516,779,False,48,2013,2024
13-09-2021,120,False,661,77,False,516,777,False,48,2013,2024
30-08-2021,116,False,702,82,False,447,681,False,65,2013,2024
23-08-2021,117,False,702,79,False,447,684,False,65,2013,2024
16-08-2021,111,False,753,72,False,447,688,False,65,2013,2024
09-08-2021,112,False,753,70,False,447,690,False,65,2013,2024
02-08-2021,110,False,753,68,False,447,688,False,65,2013,2024
26-07-2021,121,False,672,86,False,357,684,False,65,2013,2024
19-07-2021,121,False,667,86,False,337,680,False,65,2013,2024
12-07-2021,120,False,670,81,False,337,665,False,65,2013,2024
28-06-2021,125,False,650,79,False,302,661,False,65,2013,2024
21-06-2021,125,False,650,75,False,302,664,False,65,2013,2024
14-06-2021,122,False,649,73,False,292,627,False,72,2013,2024
31-05-2021,128,False,631,73,False,257,623,False,72,2013,2024
24-05-2021,128,False,631,70,False,257,618,False,72,2013,2024
17-05-2021,126,False,635,68,False,257,615,False,72,2013,2024
10-05-2021,139,False,543,98,False,157,620,False,72,2013,2024
03-05-2021,134,False,557,94,False,157,622,False,72,2013,2024
